Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,47.28,46.3,Neutral
2017-01-05,46.63,46.7,Negative
2017-01-06,46.52,45.89,Positive
2017-01-09,45.85,46.21,Positive
2017-01-10,46.01,47.08,Positive
2017-01-11,47.0,48.48,Negative
2017-01-12,49.29,48.64,Negative
2017-01-13,48.67,48.1,Negative
2017-01-17,48.16,47.65,Negative
2017-01-18,47.56,46.75,Positive
2017-01-19,46.72,47.64,Negative
2017-01-20,47.64,47.26,Positive
2017-01-23,47.54,48.0,Negative
2017-01-24,47.9,46.94,Positive
2017-01-25,47.05,47.54,Positive
2017-01-26,47.9,47.91,Negative
2017-01-27,48.43,49.59,Negative
2017-01-30,50.0,46.95,Negative
2017-01-31,45.62,44.9,Negative
2017-02-01,44.79,44.25,Negative
2017-02-02,44.75,44.05,Positive
2017-02-03,43.61,44.01,Positive
2017-02-06,44.31,44.2,Positive
2017-02-07,44.8,45.3,Positive
2017-02-08,45.75,45.17,Positive
2017-02-09,45.26,45.06,Positive
2017-02-10,45.07,46.3,Positive
2017-02-13,46.62,46.45,Positive
2017-02-14,46.56,47.41,Negative
2017-02-15,47.26,46.57,Positive
2017-02-16,47.59,47.54,Negative
2017-02-17,47.5,46.97,Negative
2017-02-21,46.83,46.91,Negative
2017-02-22,47.01,46.81,Negative
2017-02-23,46.5,46.32,Neutral
2017-02-24,46.42,46.1,Positive
2017-02-27,46.0,46.28,Positive
2017-02-28,46.18,46.32,Neutral
2017-03-01,46.32,46.36,Positive
2017-03-02,46.79,47.09,Negative
2017-03-03,46.67,45.72,Neutral
2017-03-06,45.85,46.82,Negative
2017-03-07,46.41,45.31,Negative
2017-03-08,45.02,44.84,Negative
2017-03-09,44.79,44.89,Negative
2017-03-10,44.5,43.33,Negative
2017-03-13,43.46,43.9,Negative
2017-03-14,43.73,42.37,Negative
2017-03-15,42.06,41.21,Positive
2017-03-16,40.5,42.09,Negative
2017-03-17,42.18,42.13,Negative
2017-03-20,42.0,41.72,Negative
2017-03-21,42.18,41.7,Negative
2017-03-22,41.88,40.42,Positive
2017-03-23,39.78,40.35,Positive
2017-03-24,40.7,41.41,Positive
2017-03-27,41.69,41.73,Positive
2017-03-28,41.07,41.74,Positive
2017-03-29,41.83,42.6,Negative
2017-03-30,42.69,41.96,Positive
2017-03-31,41.85,42.54,Negative
2017-04-03,42.37,42.3,Negative
2017-04-04,42.33,42.45,Negative
2017-04-05,42.09,40.9,Positive
2017-04-06,41.15,41.31,Positive
2017-04-07,41.4,41.72,Positive
2017-04-10,41.53,41.81,Positive
2017-04-11,41.81,42.32,Positive
2017-04-12,42.78,43.93,Neutral
2017-04-13,44.79,43.96,Negative
