Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,28.95,29.04,Positive
2017-01-05,28.96,29.0,Positive
2017-01-06,28.98,29.15,Positive
2017-01-09,29.2,29.48,Positive
2017-01-10,29.49,29.75,Positive
2017-01-11,29.69,29.78,Neutral
2017-01-12,29.68,29.94,Negative
2017-01-13,29.72,29.81,Positive
2017-01-17,29.78,29.76,Positive
2017-01-18,29.59,30.0,Neutral
2017-01-19,30.0,30.0,Neutral
2017-01-20,29.85,29.95,Neutral
2017-01-23,30.11,30.0,Positive
2017-01-24,30.0,30.02,Positive
2017-01-25,29.89,29.99,Positive
2017-01-26,30.11,30.47,Neutral
2017-01-27,30.42,30.48,Negative
2017-01-30,30.54,30.49,Positive
2017-01-31,30.23,30.41,Positive
2017-02-01,30.29,30.34,Positive
2017-02-02,31.76,32.19,Positive
2017-02-03,31.99,32.13,Positive
2017-02-06,32.08,32.27,Positive
2017-02-07,32.28,32.57,Positive
2017-02-08,32.63,32.88,Positive
2017-02-09,32.84,33.01,Positive
2017-02-10,32.91,33.1,Positive
2017-02-13,33.12,33.03,Positive
2017-02-14,33.27,33.32,Positive
2017-02-15,33.37,33.76,Positive
2017-02-16,33.88,33.88,Positive
2017-02-17,33.92,33.84,Positive
2017-02-21,33.77,33.93,Positive
2017-02-22,34.06,34.17,Neutral
2017-02-23,34.11,34.28,Negative
2017-02-24,34.34,34.13,Positive
2017-02-27,33.98,34.16,Positive
2017-02-28,34.28,34.23,Positive
2017-03-01,34.27,34.25,Positive
2017-03-02,34.47,34.95,Negative
2017-03-03,35.0,34.74,Positive
2017-03-06,34.7,34.95,Negative
2017-03-07,34.84,34.84,Negative
2017-03-08,34.77,34.88,Negative
2017-03-09,34.74,34.75,Neutral
2017-03-10,34.69,34.67,Positive
2017-03-13,34.81,34.78,Positive
2017-03-14,34.71,34.8,Positive
2017-03-15,34.83,34.75,Positive
2017-03-16,34.85,35.12,Neutral
2017-03-17,35.18,35.17,Neutral
2017-03-20,35.25,35.0,Positive
2017-03-21,35.1,35.37,Negative
2017-03-22,35.53,34.96,Positive
2017-03-23,34.96,35.35,Negative
2017-03-24,35.31,35.23,Positive
2017-03-27,35.38,35.16,Positive
2017-03-28,34.85,35.22,Positive
2017-03-29,35.23,35.95,Neutral
2017-03-30,35.92,36.03,Negative
2017-03-31,36.05,35.98,Neutral
2017-04-03,35.93,35.91,Positive
2017-04-04,35.93,35.92,Positive
2017-04-05,35.81,36.19,Negative
2017-04-06,36.05,36.01,Negative
2017-04-07,36.07,35.91,Negative
2017-04-10,35.93,35.84,Negative
2017-04-11,35.9,35.79,Negative
2017-04-12,35.73,35.41,Neutral
2017-04-13,35.4,35.45,Negative
2017-04-17,35.48,35.26,Neutral
2017-04-18,35.37,35.46,Negative
2017-04-19,35.35,35.3,Positive
2017-04-20,35.47,35.17,Positive
2017-04-21,35.3,35.61,Positive
2017-04-24,35.61,35.57,Positive
2017-04-25,35.88,35.91,Positive
2017-04-26,35.98,36.13,Negative
2017-04-27,36.12,35.92,Positive
2017-04-28,35.98,35.95,Positive
2017-05-01,36.02,35.91,Positive
2017-05-02,36.27,36.65,Positive
2017-05-03,36.88,36.88,Neutral
2017-05-04,36.4,36.77,Positive
2017-05-05,36.63,36.63,Positive
2017-05-08,36.69,37.24,Positive
2017-05-09,37.26,38.25,Positive
2017-05-10,38.47,38.5,Positive
2017-05-11,38.41,38.31,Positive
2017-05-12,38.11,38.49,Positive
2017-05-15,38.67,39.02,Negative
2017-05-16,39.0,38.92,Negative
2017-05-17,38.98,38.87,Negative
2017-05-18,38.4,37.56,Positive
2017-05-19,37.82,38.13,Positive
2017-05-22,38.34,38.27,Positive
2017-05-23,38.5,38.5,Negative
2017-05-24,38.73,38.45,Neutral
2017-05-25,38.46,38.34,Positive
2017-05-26,38.43,38.47,Negative
2017-05-30,38.5,38.4,Negative
2017-05-31,38.35,38.42,Neutral
2017-06-01,38.49,38.19,Positive
2017-06-02,38.29,38.3,Positive
2017-06-05,38.4,38.86,Negative
2017-06-06,38.59,38.48,Positive
2017-06-07,38.48,38.61,Negative
2017-06-08,38.76,38.84,Negative
2017-06-09,38.81,38.75,Negative
2017-06-12,38.8,37.24,Negative
2017-06-13,36.44,36.35,Neutral
2017-06-14,36.79,36.65,Negative
2017-06-15,36.88,36.29,Negative
2017-06-16,35.83,36.07,Neutral
2017-06-19,35.95,35.57,Positive
2017-06-20,35.91,36.59,Negative
2017-06-21,36.72,36.25,Positive
2017-06-22,36.38,36.47,Neutral
2017-06-23,36.44,36.41,Negative
2017-06-26,36.28,36.57,Negative
2017-06-27,36.79,36.45,Negative
2017-06-28,36.25,35.93,Positive
2017-06-29,36.12,36.46,Negative
2017-06-30,36.18,35.92,Neutral
2017-07-03,36.11,36.01,Negative
2017-07-05,36.22,35.88,Neutral
2017-07-06,35.92,36.02,Neutral
2017-07-07,35.76,35.68,Positive
2017-07-10,35.73,36.05,Positive
2017-07-11,36.03,36.27,Positive
2017-07-12,36.18,36.38,Positive
2017-07-13,36.47,36.44,Positive
2017-07-14,36.38,36.94,Positive
2017-07-17,36.99,37.26,Positive
2017-07-18,37.2,37.39,Positive
2017-07-19,37.3,37.52,Positive
2017-07-20,37.62,37.76,Neutral
2017-07-21,37.88,37.59,Positive
2017-07-24,37.5,37.57,Positive
2017-07-25,37.65,38.02,Neutral
2017-07-26,37.95,38.19,Negative
2017-07-27,38.34,38.37,Negative
2017-07-28,38.44,37.64,Negative
2017-07-31,37.47,37.38,Positive
2017-08-01,37.48,37.18,Positive
2017-08-02,37.27,37.51,Positive
2017-08-03,39.82,39.28,Neutral
2017-08-04,39.26,38.89,Positive
2017-08-07,39.02,39.1,Positive
2017-08-08,39.27,39.7,Neutral
2017-08-09,39.65,40.02,Negative
2017-08-10,39.81,40.27,Negative
2017-08-11,39.98,38.83,Positive
2017-08-14,39.15,39.37,Positive
2017-08-15,39.83,39.96,Neutral
2017-08-16,40.16,40.4,Negative
2017-08-17,40.48,40.24,Negative
2017-08-18,40.13,39.47,Neutral
2017-08-21,39.47,39.38,Positive
2017-08-22,39.38,39.3,Positive
2017-08-23,39.56,39.95,Neutral
2017-08-24,39.77,39.99,Neutral
2017-08-25,40.11,39.82,Positive
2017-08-28,39.91,39.97,Positive
2017-08-29,40.03,40.37,Positive
2017-08-30,40.02,40.73,Positive
2017-08-31,40.95,40.84,Neutral
2017-09-01,40.91,41.0,Negative
2017-09-05,41.2,41.01,Negative
2017-09-06,40.94,40.52,Negative
2017-09-07,40.68,40.48,Negative
2017-09-08,40.52,40.31,Negative
2017-09-11,40.22,39.66,Positive
2017-09-12,40.12,40.38,Negative
2017-09-13,40.65,40.22,Negative
2017-09-14,39.97,39.91,Negative
2017-09-15,39.75,39.57,Positive
2017-09-18,39.62,39.97,Negative
2017-09-19,40.03,39.67,Negative
2017-09-20,39.88,39.68,Negative
2017-09-21,39.48,39.02,Negative
2017-09-22,38.95,38.35,Negative
2017-09-25,38.01,37.97,Positive
2017-09-26,37.5,37.64,Positive
2017-09-27,37.95,38.28,Positive
2017-09-28,38.45,38.56,Negative
2017-09-29,38.47,38.32,Positive
2017-10-02,38.3,38.53,Neutral
2017-10-03,38.56,38.45,Positive
2017-10-04,38.5,38.62,Neutral
2017-10-05,38.41,38.37,Positive
2017-10-06,38.55,38.85,Neutral
2017-10-09,38.74,38.83,Positive
2017-10-10,38.95,38.96,Positive
2017-10-11,39.01,38.98,Positive
2017-10-12,38.99,39.14,Positive
2017-10-13,39.09,39.0,Positive
2017-10-16,39.18,39.25,Positive
2017-10-17,39.48,39.97,Negative
2017-10-18,39.95,40.12,Negative
2017-10-19,40.1,39.94,Negative
2017-10-20,39.19,38.99,Positive
2017-10-23,39.15,39.06,Neutral
2017-10-24,39.22,39.04,Positive
2017-10-25,39.07,39.27,Positive
2017-10-26,39.23,39.1,Positive
2017-10-27,39.31,39.35,Positive
2017-10-30,39.82,40.76,Positive
2017-10-31,40.97,41.68,Positive
2017-11-01,41.98,42.26,Neutral
2017-11-02,42.47,41.72,Positive
2017-11-03,41.91,42.03,Positive
2017-11-06,43.5,43.12,Positive
2017-11-07,43.09,43.56,Positive
2017-11-08,43.48,43.7,Positive
2017-11-09,43.66,44.06,Negative
2017-11-10,43.78,43.97,Negative
2017-11-13,43.78,43.67,Negative
2017-11-14,43.38,43.49,Negative
2017-11-15,43.26,42.84,Negative
2017-11-16,42.49,42.27,Positive
2017-11-17,42.8,42.77,Neutral
2017-11-20,42.76,42.54,Positive
2017-11-21,42.57,42.49,Positive
2017-11-22,42.7,43.28,Positive
2017-11-24,43.34,43.74,Negative
2017-11-27,43.77,43.74,Negative
2017-11-28,43.76,43.52,Negative
2017-11-29,43.58,43.27,Negative
2017-11-30,43.16,42.37,Positive
2017-12-01,42.61,42.96,Negative
2017-12-04,42.49,42.76,Negative
2017-12-05,43.12,42.45,Negative
2017-12-06,42.27,42.41,Negative
2017-12-07,41.88,42.25,Positive
2017-12-08,42.26,42.33,Positive
2017-12-11,42.62,42.34,Positive
2017-12-12,42.3,43.17,Negative
2017-12-13,43.04,42.92,Positive
2017-12-14,43.12,43.07,Positive
2017-12-15,43.1,43.05,Positive
2017-12-18,43.41,43.49,Positive
2017-12-19,43.72,44.1,Negative
2017-12-20,43.76,43.63,Neutral
2017-12-21,43.72,43.59,Negative
2017-12-22,43.54,43.75,Negative
2017-12-26,43.67,43.75,Negative
2017-12-27,42.7,42.64,Neutral
2017-12-28,42.52,42.65,Neutral
2017-12-29,42.75,42.77,Neutral
2018-01-02,42.63,42.31,Positive
2018-01-03,42.54,43.06,Positive
2018-01-04,43.13,43.06,Positive
2018-01-05,43.13,43.26,Positive
2018-01-08,43.36,43.75,Negative
2018-01-09,43.59,43.59,Neutral
2018-01-10,43.64,43.58,Positive
2018-01-11,43.29,43.57,Positive
2018-01-12,43.65,43.82,Positive
2018-01-16,44.05,44.27,Positive
2018-01-17,44.48,44.05,Positive
2018-01-18,44.04,44.77,Negative
2018-01-19,44.84,44.81,Negative
2018-01-22,44.65,44.62,Negative
2018-01-23,44.33,44.25,Negative
2018-01-24,44.33,44.26,Negative
2018-01-25,44.31,43.55,Negative
2018-01-26,43.63,42.78,Negative
2018-01-29,43.0,42.88,Negative
2018-01-30,42.54,41.99,Negative
2018-01-31,41.38,41.74,Negative
2018-02-01,41.72,41.86,Negative
2018-02-02,41.79,41.95,Negative
2018-02-05,41.5,40.12,Negative
2018-02-06,39.77,39.12,Positive
2018-02-07,38.71,40.76,Negative
2018-02-08,40.77,39.88,Negative
2018-02-09,40.07,38.79,Positive
2018-02-12,39.27,39.1,Positive
2018-02-13,39.62,40.68,Positive
2018-02-14,40.49,41.09,Positive
2018-02-15,40.76,41.84,Positive
2018-02-16,42.45,43.25,Negative
2018-02-20,43.09,43.11,Negative
2018-02-21,43.01,42.96,Positive
2018-02-22,43.21,42.77,Positive
2018-02-23,42.95,43.12,Positive
2018-02-26,43.42,43.88,Positive
2018-02-27,44.09,44.74,Negative
2018-02-28,44.77,44.6,Negative
2018-03-01,44.81,44.53,Negative
2018-03-02,44.63,43.75,Positive
2018-03-05,43.2,44.05,Neutral
2018-03-06,43.8,44.2,Negative
2018-03-07,44.48,44.17,Positive
2018-03-08,43.73,43.76,Positive
2018-03-09,43.87,44.23,Positive
2018-03-12,44.49,44.99,Neutral
2018-03-13,45.07,45.43,Negative
2018-03-14,45.65,44.99,Negative
2018-03-15,45.08,44.61,Negative
2018-03-16,44.62,44.66,Negative
2018-03-19,44.66,44.51,Negative
2018-03-20,44.33,43.83,Negative
2018-03-21,43.81,43.81,Negative
2018-03-22,43.76,42.82,Negative
2018-03-23,42.5,42.21,Neutral
2018-03-26,42.1,41.23,Positive
2018-03-27,42.02,43.19,Negative
2018-03-28,43.42,42.09,Negative
