Date,OpenPrice,ClosePrice,PriceDirection
04/01/2017,106.73,106.15,Negative
05/01/2017,106.41,106.34,Negative
06/01/2017,106.0,105.97,Negative
09/01/2017,105.93,105.27,Negative
10/01/2017,105.5,105.02,Negative
11/01/2017,105.24,103.5,Positive
12/01/2017,103.48,103.83,Positive
13/01/2017,103.69,104.2,Positive
17/01/2017,104.22,103.45,Positive
18/01/2017,103.58,105.17,Negative
19/01/2017,105.26,105.67,Negative
20/01/2017,105.67,104.44,Neutral
23/01/2017,104.84,104.2,Positive
24/01/2017,104.5,104.78,Negative
25/01/2017,104.97,104.57,Negative
26/01/2017,104.82,103.92,Negative
27/01/2017,104.14,104.3,Negative
30/01/2017,104.41,103.82,Negative
31/01/2017,104.05,103.01,Positive
01/02/2017,103.54,103.5,Positive
02/02/2017,103.6,103.28,Positive
03/02/2017,103.28,104.11,Neutral
06/02/2017,104.83,105.25,Negative
07/02/2017,105.06,103.64,Positive
08/02/2017,103.66,103.47,Positive
09/02/2017,103.57,104.3,Positive
10/02/2017,104.2,105.78,Positive
13/02/2017,105.5,105.49,Positive
14/02/2017,105.69,107.55,Negative
15/02/2017,107.64,106.78,Positive
16/02/2017,107.09,107.11,Positive
17/02/2017,106.95,107.71,Positive
21/02/2017,107.89,108.11,Positive
22/02/2017,108.11,111.18,Positive
23/02/2017,111.36,111.02,Positive
24/02/2017,111.17,112.2,Positive
27/02/2017,112.07,112.89,Positive
28/02/2017,114.01,113.34,Positive
01/03/2017,113.14,114.79,Neutral
02/03/2017,114.78,113.84,Positive
03/03/2017,113.81,114.81,Neutral
06/03/2017,114.58,115.67,Negative
07/03/2017,115.38,114.71,Negative
08/03/2017,114.33,114.7,Negative
09/03/2017,114.05,113.24,Positive
10/03/2017,113.42,113.0,Positive
13/03/2017,113.74,113.58,Positive
14/03/2017,113.7,114.26,Positive
15/03/2017,113.9,114.02,Positive
16/03/2017,114.13,115.28,Positive
17/03/2017,115.72,115.09,Positive
20/03/2017,115.36,116.01,Positive
21/03/2017,116.03,115.98,Positive
22/03/2017,116.55,116.74,Positive
23/03/2017,117.53,118.31,Positive
24/03/2017,118.43,118.95,Positive
27/03/2017,119.19,119.32,Positive
28/03/2017,118.72,120.01,Positive
29/03/2017,119.84,120.39,Positive
30/03/2017,120.19,121.04,Neutral
31/03/2017,120.78,120.91,Neutral
03/04/2017,120.64,121.54,Negative
04/04/2017,121.43,121.15,Neutral
05/04/2017,120.91,120.74,Positive
06/04/2017,120.87,120.64,Positive
07/04/2017,120.72,121.95,Positive
10/04/2017,121.97,122.12,Positive
11/04/2017,121.97,122.48,Neutral
12/04/2017,123.05,122.76,Positive
13/04/2017,122.43,122.37,Positive
17/04/2017,122.75,122.6,Positive
18/04/2017,123.07,124.25,Positive
19/04/2017,124.05,124.86,Negative
20/04/2017,125.16,124.67,Negative
21/04/2017,124.71,124.3,Neutral
24/04/2017,124.22,124.43,Negative
25/04/2017,124.92,123.85,Positive
26/04/2017,124.78,123.94,Positive
27/04/2017,123.45,122.81,Positive
28/04/2017,123.08,125.77,Positive
01/05/2017,125.46,125.94,Positive
02/05/2017,126.56,127.51,Neutral
03/05/2017,127.73,127.91,Negative
04/05/2017,128.61,126.79,Positive
05/05/2017,126.71,127.39,Positive
08/05/2017,127.64,128.69,Negative
09/05/2017,129.0,128.87,Negative
10/05/2017,128.88,128.09,Negative
11/05/2017,128.0,127.1,Negative
12/05/2017,127.35,126.28,Positive
15/05/2017,126.3,126.12,Positive
16/05/2017,126.03,127.93,Positive
17/05/2017,127.99,128.37,Positive
18/05/2017,128.14,130.74,Negative
19/05/2017,130.0,127.98,Positive
22/05/2017,128.11,128.32,Positive
23/05/2017,128.29,128.73,Positive
24/05/2017,128.86,128.73,Positive
25/05/2017,128.66,129.3,Positive
26/05/2017,129.57,131.05,Positive
30/05/2017,131.19,131.11,Positive
31/05/2017,131.01,132.12,Negative
01/06/2017,132.48,131.19,Positive
02/06/2017,131.95,131.83,Neutral
05/06/2017,132.43,132.49,Negative
06/06/2017,132.34,131.61,Neutral
07/06/2017,131.73,131.7,Negative
08/06/2017,131.77,131.82,Negative
09/06/2017,132.12,130.97,Negative
12/06/2017,130.43,130.28,Negative
13/06/2017,128.97,129.18,Positive
14/06/2017,129.25,130.19,Positive
15/06/2017,131.34,130.5,Positive
16/06/2017,129.52,130.87,Positive
19/06/2017,131.14,131.95,Negative
20/06/2017,132.29,132.33,Negative
21/06/2017,132.18,131.2,Neutral
22/06/2017,131.19,130.61,Positive
23/06/2017,131.0,130.87,Positive
26/06/2017,130.98,131.88,Positive
27/06/2017,132.2,132.46,Positive
28/06/2017,134.6,135.75,Negative
29/06/2017,135.65,134.53,Negative
30/06/2017,133.33,132.82,Negative
03/07/2017,132.93,132.32,Negative
05/07/2017,132.62,131.41,Positive
06/07/2017,131.27,132.25,Negative
07/07/2017,131.56,131.54,Neutral
10/07/2017,132.08,133.14,Negative
11/07/2017,133.64,131.21,Positive
12/07/2017,131.18,130.93,Positive
13/07/2017,131.8,133.88,Positive
14/07/2017,133.88,134.14,Positive
17/07/2017,134.93,136.04,Negative
18/07/2017,136.07,135.4,Positive
19/07/2017,135.32,136.18,Neutral
20/07/2017,135.6,135.42,Positive
21/07/2017,135.68,136.24,Positive
24/07/2017,135.99,136.9,Positive
25/07/2017,136.97,137.07,Negative
26/07/2017,137.72,136.62,Positive
27/07/2017,136.32,137.87,Negative
28/07/2017,139.12,134.86,Positive
31/07/2017,135.17,138.34,Negative
01/08/2017,138.67,136.33,Positive
02/08/2017,136.23,135.97,Positive
03/08/2017,136.08,137.97,Negative
04/08/2017,138.06,137.15,Neutral
07/08/2017,137.5,137.57,Neutral
08/08/2017,137.38,138.07,Negative
09/08/2017,137.49,136.63,Positive
10/08/2017,136.37,137.85,Neutral
11/08/2017,137.3,136.83,Positive
14/08/2017,137.19,136.68,Positive
15/08/2017,137.4,139.97,Neutral
16/08/2017,139.66,139.69,Positive
17/08/2017,140.0,141.09,Negative
18/08/2017,141.03,139.65,Positive
21/08/2017,139.44,140.0,Positive
22/08/2017,140.19,141.28,Positive
23/08/2017,141.28,142.09,Positive
24/08/2017,141.99,142.84,Positive
25/08/2017,143.05,143.8,Positive
28/08/2017,144.72,144.24,Positive
29/08/2017,144.29,145.78,Positive
30/08/2017,145.09,145.89,Positive
31/08/2017,145.65,147.52,Negative
01/09/2017,147.38,148.05,Negative
05/09/2017,148.33,145.77,Positive
06/09/2017,145.97,146.94,Negative
07/09/2017,147.0,146.07,Neutral
08/09/2017,146.31,146.99,Negative
11/09/2017,146.8,144.99,Neutral
12/09/2017,146.42,146.18,Negative
13/09/2017,146.14,144.83,Negative
14/09/2017,144.93,143.7,Positive
15/09/2017,142.82,142.85,Positive
18/09/2017,143.06,145.01,Negative
19/09/2017,145.02,144.77,Negative
20/09/2017,144.78,140.98,Negative
21/09/2017,141.16,140.4,Negative
22/09/2017,140.53,139.4,Negative
25/09/2017,138.21,137.78,Negative
26/09/2017,137.81,137.39,Negative
27/09/2017,137.4,136.42,Negative
28/09/2017,136.02,134.74,Positive
29/09/2017,134.29,136.1,Positive
02/10/2017,135.72,136.68,Positive
03/10/2017,137.03,135.86,Positive
04/10/2017,136.0,136.66,Positive
05/10/2017,136.9,138.84,Neutral
06/10/2017,139.12,139.25,Negative
09/10/2017,138.51,139.11,Negative
10/10/2017,139.0,137.94,Positive
11/10/2017,138.16,137.09,Positive
12/10/2017,137.02,137.93,Positive
13/10/2017,137.99,140.03,Negative
16/10/2017,140.75,139.97,Negative
17/10/2017,139.71,139.59,Negative
18/10/2017,139.65,139.13,Negative
19/10/2017,138.95,137.48,Positive
20/10/2017,137.42,138.39,Neutral
23/10/2017,138.78,139.07,Negative
24/10/2017,138.63,138.75,Negative
25/10/2017,139.0,138.03,Neutral
26/10/2017,137.67,137.33,Positive
27/10/2017,138.06,138.45,Positive
30/10/2017,139.29,139.03,Positive
31/10/2017,138.76,142.87,Negative
01/11/2017,139.92,143.67,Negative
02/11/2017,144.25,140.81,Positive
03/11/2017,140.65,142.44,Positive
06/11/2017,141.83,142.1,Positive
07/11/2017,145.04,150.16,Positive
08/11/2017,149.99,150.66,Positive
09/11/2017,150.3,152.72,Negative
10/11/2017,151.8,151.82,Negative
13/11/2017,151.33,150.54,Negative
14/11/2017,151.27,150.04,Negative
15/11/2017,150.05,149.49,Negative
16/11/2017,149.55,148.93,Negative
17/11/2017,149.89,148.4,Negative
20/11/2017,147.97,145.87,Neutral
21/11/2017,146.35,146.22,Neutral
22/11/2017,146.38,146.59,Positive
24/11/2017,146.38,145.31,Positive
27/11/2017,145.76,147.3,Positive
28/11/2017,147.51,148.23,Negative
29/11/2017,148.58,148.64,Negative
30/11/2017,148.47,146.3,Negative
01/12/2017,146.72,143.93,Negative
