Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,70.76,70.14,Positive
2017-01-05,70.45,72.14,Neutral
2017-01-06,72.0,71.43,Positive
2017-01-09,72.28,72.4,Positive
2017-01-10,72.48,72.56,Neutral
2017-01-11,72.56,72.73,Negative
2017-01-12,72.48,72.7,Negative
2017-01-13,72.46,72.13,Positive
2017-01-17,72.43,72.15,Positive
2017-01-18,72.16,72.45,Positive
2017-01-19,72.44,73.17,Negative
2017-01-20,73.15,72.49,Positive
2017-01-23,72.87,72.41,Positive
2017-01-24,72.3,72.89,Positive
2017-01-25,72.84,73.83,Neutral
2017-01-26,74.17,74.49,Negative
2017-01-27,74.16,73.34,Neutral
2017-01-30,73.51,73.77,Positive
2017-01-31,73.23,72.91,Positive
2017-02-01,72.66,73.02,Positive
2017-02-02,78.97,79.65,Neutral
2017-02-03,79.67,80.01,Negative
2017-02-06,80.42,79.05,Positive
2017-02-07,78.8,79.51,Negative
2017-02-08,79.4,79.14,Neutral
2017-02-09,78.97,79.41,Negative
2017-02-10,79.51,78.9,Positive
2017-02-13,78.85,79.27,Neutral
2017-02-14,79.37,79.45,Positive
2017-02-15,79.46,79.29,Positive
2017-02-16,79.06,79.54,Positive
2017-02-17,79.83,80.16,Negative
2017-02-21,79.97,79.41,Positive
2017-02-22,79.4,80.35,Neutral
2017-02-23,80.09,79.81,Positive
2017-02-24,80.14,80.65,Neutral
2017-02-27,80.44,80.25,Positive
2017-02-28,80.16,80.7,Positive
2017-03-01,80.5,80.71,Positive
2017-03-02,81.5,81.85,Negative
2017-03-03,81.61,81.77,Negative
2017-03-06,81.72,81.76,Negative
2017-03-07,81.19,81.14,Negative
2017-03-08,81.03,80.4,Negative
2017-03-09,80.39,79.97,Positive
2017-03-10,80.07,79.89,Positive
2017-03-13,80.32,80.5,Negative
2017-03-14,80.51,80.3,Negative
2017-03-15,80.11,79.88,Positive
2017-03-16,79.98,80.57,Negative
2017-03-17,80.68,79.78,Neutral
2017-03-20,79.97,80.39,Negative
2017-03-21,80.23,79.78,Negative
2017-03-22,80.01,78.8,Positive
2017-03-23,78.81,78.91,Positive
2017-03-24,78.98,79.67,Positive
2017-03-27,79.52,79.61,Positive
2017-03-28,78.82,79.61,Positive
2017-03-29,79.63,80.4,Neutral
2017-03-30,80.22,80.34,Positive
2017-03-31,80.32,80.48,Positive
2017-04-03,80.35,80.6,Neutral
2017-04-04,80.86,80.97,Negative
2017-04-05,80.96,80.66,Negative
2017-04-06,80.77,80.08,Negative
2017-04-07,80.14,79.85,Negative
2017-04-10,79.84,79.54,Positive
2017-04-11,79.6,79.83,Negative
2017-04-12,79.53,79.67,Neutral
2017-04-13,79.31,79.64,Positive
2017-04-17,79.68,79.48,Positive
2017-04-18,79.77,80.29,Positive
2017-04-19,80.12,80.74,Positive
2017-04-20,80.86,81.48,Positive
2017-04-21,81.67,82.2,Neutral
2017-04-24,82.17,81.69,Positive
2017-04-25,82.6,82.44,Positive
2017-04-26,82.71,82.41,Positive
2017-04-27,82.17,83.2,Positive
2017-04-28,83.48,83.54,Neutral
2017-05-01,83.47,83.21,Positive
2017-05-02,83.2,83.6,Neutral
2017-05-03,83.6,83.45,Positive
2017-05-04,83.37,83.34,Positive
2017-05-05,83.53,83.7,Neutral
2017-05-08,83.83,84.17,Negative
2017-05-09,84.14,83.76,Negative
2017-05-10,83.73,83.01,Positive
2017-05-11,82.91,83.54,Neutral
2017-05-12,83.17,83.59,Positive
2017-05-15,83.32,83.35,Positive
2017-05-16,83.39,84.17,Negative
2017-05-17,84.2,84.31,Negative
2017-05-18,83.6,82.64,Positive
2017-05-19,82.47,82.5,Positive
2017-05-22,82.75,82.76,Positive
2017-05-23,82.75,83.19,Neutral
2017-05-24,83.3,82.8,Positive
2017-05-25,82.92,82.82,Positive
2017-05-26,83.14,83.83,Positive
2017-05-30,83.73,84.29,Positive
2017-05-31,84.34,84.42,Positive
2017-06-01,84.74,84.26,Positive
2017-06-02,84.29,85.75,Negative
2017-06-05,85.83,84.75,Negative
2017-06-06,84.4,84.13,Negative
2017-06-07,83.94,83.71,Neutral
2017-06-08,84.06,83.59,Positive
2017-06-09,83.45,83.28,Positive
2017-06-12,83.47,84.09,Positive
2017-06-13,84.01,84.45,Positive
2017-06-14,84.43,85.48,Neutral
2017-06-15,85.38,85.45,Positive
2017-06-16,85.31,85.55,Positive
2017-06-19,85.53,85.65,Positive
2017-06-20,85.88,86.67,Positive
2017-06-21,87.76,87.92,Neutral
2017-06-22,87.63,87.73,Positive
2017-06-23,87.85,87.55,Positive
2017-06-26,87.74,88.05,Positive
2017-06-27,88.05,88.17,Neutral
2017-06-28,88.34,88.07,Positive
2017-06-29,88.52,88.78,Negative
2017-06-30,88.85,88.14,Positive
2017-07-03,88.59,88.37,Positive
2017-07-05,88.96,88.87,Positive
2017-07-06,89.02,88.82,Positive
2017-07-07,88.63,89.18,Positive
2017-07-10,89.72,90.78,Positive
2017-07-11,90.6,91.43,Positive
2017-07-12,91.59,91.75,Positive
2017-07-13,92.25,93.22,Positive
2017-07-14,93.45,93.08,Positive
2017-07-17,93.31,94.02,Negative
2017-07-18,94.02,93.98,Neutral
2017-07-19,93.75,93.4,Positive
2017-07-20,93.88,94.07,Neutral
2017-07-21,94.08,94.06,Negative
2017-07-24,94.12,93.89,Negative
2017-07-25,93.77,93.96,Negative
2017-07-26,95.87,91.27,Positive
2017-07-27,91.45,92.34,Neutral
2017-07-28,92.28,91.82,Positive
2017-07-31,91.83,92.03,Positive
2017-08-01,92.49,92.93,Positive
2017-08-02,93.17,93.44,Neutral
2017-08-03,93.34,94.08,Negative
2017-08-04,94.08,93.27,Neutral
2017-08-07,93.52,93.05,Positive
2017-08-08,93.28,93.54,Negative
2017-08-09,93.21,93.4,Negative
2017-08-10,93.34,92.89,Neutral
2017-08-11,92.76,91.93,Positive
2017-08-14,91.92,93.02,Positive
2017-08-15,93.52,93.68,Neutral
2017-08-16,94.03,93.52,Neutral
2017-08-17,93.79,94.65,Negative
2017-08-18,94.44,93.16,Neutral
2017-08-21,93.07,93.04,Neutral
2017-08-22,93.04,92.81,Positive
2017-08-23,92.87,93.19,Neutral
2017-08-24,92.96,93.04,Positive
2017-08-25,93.44,92.96,Positive
2017-08-28,93.39,93.67,Neutral
2017-08-29,94.0,93.3,Positive
2017-08-30,93.1,93.45,Positive
2017-08-31,93.48,94.03,Positive
2017-09-01,94.15,94.26,Neutral
2017-09-05,94.28,95.01,Negative
2017-09-06,94.86,94.8,Negative
2017-09-07,94.89,93.09,Positive
2017-09-08,93.04,92.67,Positive
2017-09-11,92.81,93.19,Positive
2017-09-12,93.67,94.18,Positive
2017-09-13,94.51,95.23,Positive
2017-09-14,95.12,95.01,Positive
2017-09-15,94.99,95.76,Positive
2017-09-18,95.97,96.83,Positive
2017-09-19,97.02,98.91,Neutral
2017-09-20,99.11,98.5,Positive
2017-09-21,98.47,98.88,Neutral
2017-09-22,98.91,98.82,Neutral
2017-09-25,98.69,98.76,Positive
2017-09-26,98.78,98.89,Positive
2017-09-27,98.88,98.61,Positive
2017-09-28,99.07,99.4,Neutral
2017-09-29,99.21,99.93,Negative
2017-10-02,99.57,98.34,Positive
2017-10-03,98.34,99.42,Positive
2017-10-04,99.44,99.26,Positive
2017-10-05,99.32,99.71,Positive
2017-10-06,99.9,99.89,Positive
2017-10-09,99.81,100.34,Positive
2017-10-10,100.54,100.71,Positive
2017-10-11,101.1,100.79,Positive
2017-10-12,101.01,101.21,Positive
2017-10-13,100.75,100.8,Positive
2017-10-16,101.29,101.94,Negative
2017-10-17,102.0,102.18,Negative
2017-10-18,102.44,101.58,Negative
2017-10-19,101.59,100.51,Negative
2017-10-20,100.32,98.79,Positive
2017-10-23,99.15,99.71,Positive
2017-10-24,100.07,99.01,Positive
2017-10-25,99.26,98.91,Positive
2017-10-26,103.79,104.05,Positive
2017-10-27,103.5,104.86,Positive
2017-10-30,105.05,106.11,Neutral
2017-10-31,106.15,105.32,Positive
2017-11-01,105.17,106.17,Positive
2017-11-02,106.71,107.03,Positive
2017-11-03,107.19,108.44,Negative
2017-11-06,108.4,108.09,Negative
2017-11-07,107.87,107.07,Negative
2017-11-08,106.98,107.04,Negative
2017-11-09,107.18,107.75,Negative
2017-11-10,107.16,105.76,Positive
2017-11-13,105.6,105.19,Positive
2017-11-14,104.89,107.94,Neutral
2017-11-15,107.52,108.17,Neutral
2017-11-16,108.17,107.7,Positive
2017-11-17,107.89,108.25,Positive
2017-11-20,107.87,108.29,Positive
2017-11-21,110.0,110.7,Positive
2017-11-22,111.2,110.42,Positive
2017-11-24,110.56,111.1,Positive
2017-11-27,111.13,111.7,Positive
2017-11-28,111.67,111.92,Positive
2017-11-29,112.07,112.0,Positive
2017-11-30,111.93,111.88,Positive
2017-12-01,112.31,114.12,Negative
2017-12-04,114.0,112.63,Negative
2017-12-05,113.42,112.02,Positive
2017-12-06,112.16,113.21,Negative
2017-12-07,112.95,111.51,Positive
2017-12-08,111.56,112.35,Positive
2017-12-11,112.36,113.73,Positive
2017-12-12,113.85,114.98,Negative
2017-12-13,115.0,114.46,Positive
2017-12-14,114.34,114.37,Positive
2017-12-15,114.31,114.28,Positive
2017-12-18,115.67,115.91,Positive
2017-12-19,116.2,116.12,Neutral
2017-12-20,116.5,117.1,Negative
2017-12-21,117.02,116.68,Negative
2017-12-22,117.0,114.02,Positive
2017-12-26,114.17,114.17,Positive
2017-12-27,114.13,114.82,Positive
2017-12-28,114.87,115.14,Neutral
2017-12-29,115.68,115.57,Neutral
2018-01-02,115.58,114.86,Positive
2018-01-03,115.15,115.68,Positive
2018-01-04,115.83,116.01,Positive
2018-01-05,116.42,116.78,Positive
2018-01-08,117.08,118.16,Positive
2018-01-09,118.14,118.6,Positive
2018-01-10,118.72,118.91,Positive
2018-01-11,118.79,118.59,Neutral
2018-01-12,118.89,119.57,Negative
2018-01-16,119.92,119.35,Negative
2018-01-17,119.53,117.38,Positive
2018-01-18,118.05,118.88,Positive
2018-01-19,119.95,120.63,Neutral
2018-01-22,121.43,121.34,Negative
2018-01-23,121.34,120.73,Negative
2018-01-24,120.41,119.74,Positive
2018-01-25,120.14,120.06,Neutral
2018-01-26,120.44,120.96,Negative
2018-01-29,121.4,121.02,Negative
2018-01-30,120.75,118.67,Positive
2018-01-31,118.31,117.33,Positive
2018-02-01,121.28,122.68,Negative
2018-02-02,119.6,120.36,Negative
2018-02-05,119.91,117.63,Negative
2018-02-06,116.79,113.81,Negative
2018-02-07,111.65,114.24,Negative
2018-02-08,114.22,114.78,Negative
2018-02-09,114.63,110.77,Positive
2018-02-12,111.78,111.46,Positive
2018-02-13,112.69,115.65,Positive
2018-02-14,115.24,116.88,Positive
2018-02-15,116.31,118.12,Positive
2018-02-16,118.67,119.53,Negative
2018-02-20,119.31,118.8,Negative
2018-02-21,118.11,117.08,Positive
2018-02-22,117.08,116.92,Positive
2018-02-23,117.6,118.24,Positive
2018-02-26,118.38,119.13,Neutral
2018-02-27,119.62,120.11,Negative
2018-02-28,120.33,118.91,Negative
2018-03-01,119.11,118.15,Negative
2018-03-02,118.21,115.94,Negative
2018-03-05,115.25,115.16,Neutral
2018-03-06,114.37,114.79,Positive
2018-03-07,114.73,114.52,Positive
2018-03-08,113.86,115.79,Positive
2018-03-09,115.91,115.5,Positive
2018-03-12,116.0,117.33,Negative
2018-03-13,117.28,116.52,Negative
2018-03-14,116.77,115.91,Negative
2018-03-15,116.34,114.83,Negative
2018-03-16,115.06,114.15,Negative
2018-03-19,112.89,111.63,Negative
2018-03-20,111.32,110.82,Negative
2018-03-21,109.92,110.76,Negative
2018-03-22,109.74,110.14,Negative
2018-03-23,108.92,105.92,Negative
2018-03-26,105.87,103.06,Positive
2018-03-27,104.06,105.76,Negative
2018-03-28,106.33,104.45,Positive
2018-03-29,104.58,104.05,Positive
2018-04-02,104.62,106.25,Negative
2018-04-03,106.11,103.87,Positive
2018-04-04,104.1,104.56,Positive
2018-04-05,103.16,106.21,Negative
2018-04-06,106.7,106.07,Negative
2018-04-09,105.42,103.2,Positive
2018-04-10,103.97,103.9,Positive
2018-04-11,105.38,106.35,Negative
2018-04-12,105.44,105.29,Neutral
2018-04-13,105.6,105.49,Positive
2018-04-16,105.97,104.8,Positive
2018-04-17,105.53,105.98,Positive
2018-04-18,106.97,107.68,Neutral
2018-04-19,108.0,108.2,Negative
2018-04-20,108.28,107.69,Negative
2018-04-23,108.03,107.12,Negative
2018-04-24,107.25,107.01,Negative
2018-04-25,107.22,105.4,Positive
2018-04-26,104.2,106.67,Negative
2018-04-27,108.82,106.21,Negative
2018-04-30,106.26,104.85,Neutral
2018-05-01,105.09,104.81,Neutral
2018-05-02,104.6,105.47,Negative
2018-05-03,105.36,104.15,Positive
2018-05-04,103.51,104.22,Positive
2018-05-07,103.91,105.73,Neutral
2018-05-08,105.94,105.65,Positive
2018-05-09,105.77,105.5,Positive
2018-05-10,105.87,106.21,Positive
2018-05-11,106.5,107.72,Negative
2018-05-14,107.93,107.67,Neutral
2018-05-15,107.92,108.19,Negative
2018-05-16,108.0,106.34,Positive
2018-05-17,106.52,107.89,Positive
2018-05-18,107.74,108.19,Positive
2018-05-21,108.34,109.1,Positive
2018-05-22,109.51,110.66,Negative
2018-05-23,110.63,110.21,Negative
2018-05-24,109.59,108.35,Negative
2018-05-25,108.46,108.98,Negative
2018-05-29,108.58,108.48,Negative
2018-05-30,107.54,106.18,Neutral
2018-05-31,106.72,106.89,Negative
2018-06-01,107.0,105.03,Positive
2018-06-04,105.89,106.34,Positive
2018-06-05,106.55,106.38,Positive
2018-06-06,106.13,107.16,Neutral
2018-06-07,107.03,106.51,Positive
2018-06-08,106.67,106.3,Positive
2018-06-11,106.2,108.03,Negative
2018-06-12,108.27,107.71,Negative
2018-06-13,107.97,107.41,Negative
2018-06-14,107.5,106.56,Negative
2018-06-15,107.05,106.27,Negative
2018-06-18,105.9,105.94,Negative
2018-06-19,105.61,105.13,Negative
2018-06-20,104.37,102.07,Negative
2018-06-21,102.2,101.55,Negative
2018-06-22,101.48,100.22,Positive
2018-06-25,100.67,100.25,Positive
2018-06-26,100.02,101.92,Negative
2018-06-27,101.85,101.6,Negative
2018-06-28,101.63,100.32,Positive
2018-06-29,100.36,100.64,Positive
2018-07-02,100.92,102.1,Negative
2018-07-03,101.52,100.55,Neutral
2018-07-05,101.02,100.21,Positive
2018-07-06,100.67,100.5,Positive
2018-07-09,100.64,101.07,Positive
2018-07-10,101.5,102.32,Neutral
2018-07-11,102.17,102.71,Neutral
2018-07-12,102.04,101.73,Positive
2018-07-13,102.32,102.24,Positive
2018-07-16,102.48,103.66,Positive
2018-07-17,103.65,103.0,Positive
2018-07-18,102.55,104.48,Negative
2018-07-19,104.46,104.54,Negative
2018-07-20,104.4,103.98,Positive
2018-07-23,103.28,103.95,Positive
2018-07-24,103.9,102.96,Positive
2018-07-25,109.41,114.37,Negative
2018-07-26,115.45,112.32,Positive
2018-07-27,112.3,113.13,Neutral
2018-07-30,113.33,112.46,Positive
2018-07-31,112.68,112.59,Positive
2018-08-01,113.2,114.68,Negative
2018-08-02,114.44,113.41,Negative
2018-08-03,112.53,112.37,Positive
2018-08-06,112.7,113.15,Negative
2018-08-07,112.76,113.59,Negative
2018-08-08,113.48,112.29,Negative
2018-08-09,112.65,111.37,Negative
2018-08-10,111.76,111.44,Negative
2018-08-13,111.02,110.16,Negative
2018-08-14,110.48,108.5,Negative
2018-08-15,108.53,107.82,Negative
2018-08-16,107.29,107.0,Positive
2018-08-17,107.79,107.31,Neutral
2018-08-20,106.86,106.95,Positive
2018-08-21,107.07,107.97,Negative
2018-08-22,107.88,107.23,Negative
2018-08-23,107.39,106.39,Negative
2018-08-24,106.13,105.37,Positive
2018-08-27,105.54,105.79,Positive
2018-08-28,105.95,106.56,Negative
2018-08-29,106.84,106.42,Negative
2018-08-30,106.03,106.5,Negative
2018-08-31,106.39,105.21,Negative
2018-09-04,104.96,105.18,Negative
2018-09-05,104.56,103.98,Positive
2018-09-06,104.21,105.28,Neutral
2018-09-07,105.19,105.13,Positive
2018-09-10,104.65,105.38,Positive
2018-09-11,105.91,105.87,Positive
2018-09-12,105.43,105.6,Positive
2018-09-13,105.7,105.8,Positive
2018-09-14,107.82,108.49,Positive
2018-09-17,108.48,109.06,Positive
2018-09-18,109.11,109.35,Positive
2018-09-19,109.31,111.82,Positive
2018-09-20,111.85,111.62,Positive
2018-09-21,112.13,112.58,Negative
2018-09-24,112.87,112.76,Negative
2018-09-25,112.76,111.34,Negative
2018-09-26,111.23,110.07,Negative
2018-09-27,110.11,108.85,Negative
2018-09-28,108.93,107.82,Positive
2018-10-01,107.56,108.35,Positive
2018-10-02,108.9,109.13,Negative
2018-10-03,109.28,109.14,Negative
2018-10-04,109.33,107.56,Negative
2018-10-05,107.23,107.04,Negative
2018-10-08,107.22,106.66,Negative
2018-10-09,106.61,106.91,Negative
2018-10-10,106.63,104.72,Negative
2018-10-11,104.65,100.48,Negative
2018-10-12,100.56,97.19,Positive
2018-10-15,98.5,98.02,Positive
2018-10-16,98.07,98.39,Positive
2018-10-17,98.8,100.33,Negative
2018-10-18,100.2,99.55,Negative
2018-10-19,98.86,97.86,Negative
2018-10-22,98.07,97.58,Negative
2018-10-23,97.87,96.97,Negative
2018-10-24,96.69,92.4,Negative
2018-10-25,93.13,88.93,Neutral
2018-10-26,89.55,89.0,Positive
2018-10-29,87.56,88.12,Positive
2018-10-30,88.94,89.39,Positive
2018-10-31,89.69,90.59,Positive
2018-11-01,91.33,90.72,Positive
2018-11-02,91.32,93.08,Negative
2018-11-05,92.99,92.42,Neutral
2018-11-06,92.56,91.94,Positive
2018-11-07,91.89,91.97,Positive
2018-11-08,93.14,93.33,Negative
2018-11-09,93.01,93.62,Negative
2018-11-12,93.19,92.0,Negative
2018-11-13,92.06,91.45,Positive
2018-11-14,91.72,91.94,Positive
2018-11-15,92.54,91.62,Positive
2018-11-16,90.77,92.02,Positive
2018-11-19,91.8,93.91,Negative
2018-11-20,93.53,92.44,Neutral
2018-11-21,91.47,92.3,Positive
2018-11-23,92.64,92.42,Positive
2018-11-26,91.61,92.59,Positive
2018-11-27,93.21,93.49,Positive
2018-11-28,92.98,92.94,Positive
2018-11-29,93.21,96.04,Neutral
2018-11-30,95.7,95.33,Neutral
2018-12-03,95.45,96.4,Negative
2018-12-04,97.97,96.19,Negative
2018-12-06,95.53,93.67,Negative
2018-12-07,92.38,93.85,Negative
2018-12-10,93.85,91.97,Negative
2018-12-11,91.79,91.17,Neutral
2018-12-12,92.41,91.1,Neutral
2018-12-13,92.3,91.54,Negative
2018-12-14,91.48,90.77,Negative
2018-12-17,90.36,91.2,Negative
2018-12-18,90.7,89.17,Negative
2018-12-19,89.8,89.6,Negative
2018-12-20,89.59,88.19,Negative
2018-12-21,87.87,86.69,Negative
2018-12-24,86.28,85.95,Positive
2018-12-26,85.59,83.79,Positive
2018-12-27,83.96,87.13,Positive
2018-12-28,85.74,89.32,Positive
2018-12-31,89.74,88.83,Neutral
2019-01-02,89.1,89.83,Negative
2019-01-03,88.64,89.99,Negative
2019-01-04,89.63,87.07,Positive
2019-01-07,88.27,90.45,Positive
2019-01-08,90.4,90.88,Positive
2019-01-09,91.4,91.81,Positive
2019-01-10,91.48,91.73,Positive
2019-01-11,91.51,93.62,Positive
2019-01-14,93.11,94.61,Negative
2019-01-15,93.95,93.97,Neutral
2019-01-16,94.0,93.74,Positive
2019-01-17,93.54,93.33,Positive
2019-01-18,93.06,94.82,Positive
2019-01-22,95.15,96.57,Negative
2019-01-23,96.5,96.51,Negative
2019-01-24,97.21,95.48,Positive
