Date,OpenPrice,ClosePrice,PriceDirection
04/01/2017,72.37,72.25,Positive
05/01/2017,72.49,72.81,Negative
06/01/2017,72.69,72.93,Negative
09/01/2017,72.65,72.84,Negative
10/01/2017,72.88,71.35,Negative
11/01/2017,71.21,70.72,Neutral
12/01/2017,70.66,70.57,Positive
13/01/2017,70.6,70.69,Positive
17/01/2017,70.62,70.82,Positive
18/01/2017,71.11,72.07,Neutral
19/01/2017,72.01,72.6,Negative
20/01/2017,71.81,71.87,Neutral
23/01/2017,71.82,71.93,Neutral
24/01/2017,72.01,71.77,Positive
25/01/2017,71.77,71.91,Positive
26/01/2017,71.44,71.72,Positive
27/01/2017,71.67,72.19,Positive
30/01/2017,72.3,72.31,Neutral
31/01/2017,71.92,71.91,Positive
01/02/2017,71.95,73.44,Negative
02/02/2017,72.91,71.8,Positive
03/02/2017,71.91,72.99,Negative
06/02/2017,72.69,72.41,Neutral
07/02/2017,72.54,72.09,Positive
08/02/2017,72.05,72.09,Positive
09/02/2017,72.23,72.93,Positive
10/02/2017,72.97,72.85,Positive
13/02/2017,72.87,73.46,Negative
14/02/2017,73.38,73.22,Neutral
15/02/2017,72.92,72.81,Positive
16/02/2017,72.47,73.01,Positive
17/02/2017,73.12,73.44,Positive
21/02/2017,73.44,73.81,Positive
22/02/2017,73.81,74.38,Positive
23/02/2017,75.0,74.92,Positive
24/02/2017,75.01,75.57,Positive
27/02/2017,75.71,76.3,Positive
28/02/2017,76.22,76.45,Positive
01/03/2017,76.49,78.0,Negative
02/03/2017,77.04,77.66,Negative
03/03/2017,77.54,77.84,Negative
06/03/2017,77.88,77.34,Negative
07/03/2017,77.23,77.3,Negative
08/03/2017,77.3,76.89,Negative
09/03/2017,76.32,75.47,Positive
10/03/2017,75.49,75.28,Positive
13/03/2017,75.81,75.92,Positive
14/03/2017,76.0,76.09,Positive
15/03/2017,76.0,76.01,Positive
16/03/2017,75.52,77.22,Negative
17/03/2017,76.9,75.74,Positive
20/03/2017,75.66,76.2,Positive
21/03/2017,76.4,75.93,Positive
22/03/2017,76.0,76.49,Positive
23/03/2017,76.86,77.16,Negative
24/03/2017,77.0,76.49,Positive
27/03/2017,76.63,77.09,Neutral
28/03/2017,77.58,76.84,Positive
29/03/2017,76.71,77.19,Neutral
30/03/2017,77.07,77.17,Neutral
31/03/2017,77.05,77.0,Positive
03/04/2017,77.09,77.77,Neutral
04/04/2017,77.59,77.14,Positive
05/04/2017,77.26,77.72,Positive
06/04/2017,77.7,78.29,Negative
07/04/2017,78.06,77.94,Neutral
10/04/2017,78.03,77.9,Positive
11/04/2017,78.0,78.02,Positive
12/04/2017,77.94,78.3,Positive
13/04/2017,78.37,78.82,Positive
17/04/2017,78.79,78.57,Positive
18/04/2017,78.6,79.16,Positive
19/04/2017,79.22,79.5,Positive
20/04/2017,79.48,79.32,Positive
21/04/2017,79.27,79.17,Positive
24/04/2017,79.28,80.51,Neutral
25/04/2017,80.51,80.77,Negative
26/04/2017,80.5,80.97,Negative
27/04/2017,80.52,80.23,Negative
28/04/2017,80.34,80.41,Negative
01/05/2017,80.35,79.76,Negative
02/05/2017,79.83,78.99,Negative
03/05/2017,79.11,79.11,Negative
04/05/2017,78.74,77.7,Negative
05/05/2017,76.44,75.68,Positive
08/05/2017,76.06,76.65,Negative
09/05/2017,76.87,76.57,Negative
10/05/2017,76.26,75.3,Positive
11/05/2017,75.27,75.68,Positive
12/05/2017,75.44,75.72,Positive
15/05/2017,75.71,76.31,Negative
16/05/2017,76.22,76.5,Negative
17/05/2017,76.69,75.85,Negative
18/05/2017,75.28,75.55,Positive
19/05/2017,75.66,75.25,Positive
22/05/2017,75.4,75.86,Positive
23/05/2017,75.52,76.37,Positive
24/05/2017,76.21,76.57,Positive
25/05/2017,76.51,77.04,Positive
26/05/2017,77.04,77.73,Neutral
30/05/2017,77.9,77.53,Positive
31/05/2017,77.46,77.77,Positive
01/06/2017,77.62,78.18,Positive
02/06/2017,78.29,78.8,Neutral
05/06/2017,79.0,79.0,Neutral
06/06/2017,78.88,78.81,Neutral
07/06/2017,79.03,78.75,Positive
08/06/2017,78.94,79.36,Neutral
09/06/2017,79.1,78.69,Positive
12/06/2017,78.62,79.26,Positive
13/06/2017,79.28,79.7,Positive
