Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,156.3,156.97,Positive
2017-01-05,157.81,158.62,Neutral
2017-01-06,158.41,158.71,Neutral
2017-01-09,158.98,159.1,Neutral
2017-01-10,159.0,158.32,Positive
2017-01-11,158.96,159.07,Neutral
2017-01-12,159.54,159.4,Negative
2017-01-13,159.15,158.29,Neutral
2017-01-17,158.74,158.83,Negative
2017-01-18,158.2,157.67,Positive
2017-01-19,157.55,158.32,Positive
2017-01-20,158.87,159.0,Neutral
2017-01-23,159.81,159.53,Positive
2017-01-24,158.94,157.84,Positive
2017-01-25,158.58,160.55,Positive
2017-01-26,163.59,167.36,Neutral
2017-01-27,167.25,169.12,Negative
2017-01-30,169.21,167.7,Negative
2017-01-31,165.92,165.57,Negative
2017-02-01,164.96,163.42,Negative
2017-02-02,164.25,163.97,Negative
2017-02-03,163.22,162.26,Positive
2017-02-06,162.99,162.4,Positive
2017-02-07,162.42,163.98,Positive
2017-02-08,165.0,166.5,Negative
2017-02-09,165.0,163.81,Positive
2017-02-10,164.67,164.28,Positive
2017-02-13,165.25,166.23,Positive
2017-02-14,166.45,168.03,Positive
2017-02-15,167.7,168.5,Positive
2017-02-16,168.42,169.3,Positive
2017-02-17,169.64,170.81,Positive
2017-02-21,170.41,172.71,Positive
2017-02-22,173.92,175.56,Positive
2017-02-23,174.98,175.36,Positive
2017-02-24,175.97,176.86,Positive
2017-02-27,176.75,177.44,Positive
2017-02-28,178.0,179.43,Positive
2017-03-01,180.34,180.23,Positive
2017-03-02,181.85,183.91,Negative
2017-03-03,184.0,182.99,Negative
2017-03-06,183.04,182.18,Negative
2017-03-07,181.4,180.93,Positive
2017-03-08,180.64,182.02,Negative
2017-03-09,182.4,181.74,Negative
2017-03-10,181.43,180.57,Negative
2017-03-13,181.9,178.7,Neutral
2017-03-14,177.16,179.05,Negative
2017-03-15,178.54,178.73,Neutral
2017-03-16,179.0,178.71,Positive
2017-03-17,179.82,178.19,Neutral
2017-03-20,178.31,180.1,Negative
2017-03-21,180.1,179.39,Negative
2017-03-22,179.99,175.96,Positive
2017-03-23,175.96,176.98,Negative
2017-03-24,177.34,177.26,Negative
2017-03-27,176.85,175.82,Positive
2017-03-28,174.37,176.1,Positive
2017-03-29,176.29,177.36,Neutral
2017-03-30,177.4,177.63,Negative
2017-03-31,177.25,177.98,Negative
2017-04-03,178.02,176.86,Positive
2017-04-04,177.08,176.65,Positive
2017-04-05,176.88,178.7,Negative
2017-04-06,179.0,177.08,Positive
2017-04-07,177.56,177.37,Positive
2017-04-10,178.39,178.85,Negative
2017-04-11,179.0,177.56,Negative
2017-04-12,177.5,178.57,Negative
2017-04-13,178.25,176.05,Positive
2017-04-17,175.74,175.62,Positive
2017-04-18,175.84,179.02,Negative
2017-04-19,178.59,177.85,Positive
2017-04-20,178.47,178.4,Positive
2017-04-21,178.74,179.3,Positive
2017-04-24,179.42,180.38,Positive
2017-04-25,181.75,182.06,Positive
2017-04-26,182.53,183.51,Neutral
2017-04-27,182.31,181.71,Positive
2017-04-28,182.59,183.22,Neutral
2017-05-01,183.42,184.83,Negative
2017-05-02,184.23,182.39,Positive
2017-05-03,182.54,183.44,Positive
2017-05-04,183.45,183.39,Positive
2017-05-05,183.33,183.07,Positive
2017-05-08,183.16,185.01,Neutral
2017-05-09,185.38,186.02,Negative
2017-05-10,186.11,186.91,Negative
2017-05-11,185.14,183.18,Neutral
2017-05-12,182.9,183.94,Negative
2017-05-15,183.71,183.25,Negative
2017-05-16,183.3,182.39,Negative
