Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,22.6,22.53,Positive
2017-01-05,22.72,22.95,Negative
2017-01-06,22.82,22.68,Neutral
2017-01-09,22.78,22.68,Positive
2017-01-10,22.51,22.55,Positive
2017-01-11,22.59,22.94,Positive
2017-01-12,22.94,23.07,Negative
2017-01-13,23.01,22.92,Negative
2017-01-17,23.21,23.01,Negative
2017-01-18,22.68,22.05,Positive
2017-01-19,22.3,22.63,Negative
2017-01-20,22.73,22.53,Positive
2017-01-23,22.66,22.64,Positive
2017-01-24,22.62,22.56,Positive
2017-01-25,22.61,22.95,Positive
2017-01-26,23.32,23.37,Negative
2017-01-27,23.41,23.44,Negative
2017-01-30,23.43,23.36,Negative
2017-01-31,23.2,22.95,Negative
2017-02-01,22.77,22.64,Positive
2017-02-02,22.97,22.89,Positive
2017-02-03,22.74,22.72,Positive
2017-02-06,23.15,23.29,Negative
2017-02-07,23.15,23.12,Negative
2017-02-08,23.28,22.9,Positive
2017-02-09,22.73,22.67,Positive
2017-02-10,22.76,23.12,Positive
2017-02-13,23.19,23.08,Positive
2017-02-14,23.17,23.4,Positive
2017-02-15,23.4,24.06,Positive
2017-02-16,24.34,24.58,Neutral
2017-02-17,24.54,24.58,Positive
2017-02-21,24.28,24.52,Positive
2017-02-22,24.59,24.78,Negative
2017-02-23,24.61,24.79,Negative
2017-02-24,24.79,24.58,Negative
2017-02-27,24.12,24.23,Positive
2017-02-28,24.2,24.57,Positive
2017-03-01,24.48,24.68,Positive
2017-03-02,25.37,25.5,Negative
2017-03-03,25.68,25.23,Positive
2017-03-06,25.3,25.44,Negative
2017-03-07,25.33,25.25,Neutral
2017-03-08,25.22,25.21,Positive
2017-03-09,25.6,25.26,Positive
2017-03-10,25.35,25.35,Neutral
2017-03-13,25.62,25.31,Neutral
2017-03-14,25.3,25.3,Negative
2017-03-15,25.19,25.32,Negative
2017-03-16,25.39,25.18,Negative
2017-03-17,25.24,25.22,Negative
2017-03-20,25.22,24.86,Negative
