Date,OpenPrice,ClosePrice,PriceDirection
04/01/2017,52.23,52.14,Positive
05/01/2017,52.45,52.82,Positive
06/01/2017,53.05,53.71,Positive
09/01/2017,53.59,53.65,Positive
10/01/2017,53.37,53.69,Positive
11/01/2017,53.9,54.25,Negative
12/01/2017,54.29,54.56,Negative
13/01/2017,54.22,53.64,Negative
17/01/2017,53.47,53.46,Neutral
18/01/2017,53.48,53.09,Positive
19/01/2017,52.79,53.6,Neutral
20/01/2017,53.6,53.45,Positive
23/01/2017,53.53,53.3,Positive
24/01/2017,53.33,53.77,Positive
25/01/2017,53.72,54.53,Positive
26/01/2017,54.7,55.83,Positive
27/01/2017,56.81,56.93,Negative
30/01/2017,56.94,56.29,Negative
31/01/2017,56.0,55.64,Negative
01/02/2017,55.64,55.38,Neutral
02/02/2017,55.27,55.47,Neutral
03/02/2017,55.45,55.31,Neutral
06/02/2017,55.42,55.28,Positive
07/02/2017,55.08,55.5,Positive
08/02/2017,55.56,55.45,Positive
09/02/2017,55.7,55.59,Positive
10/02/2017,55.47,56.31,Neutral
13/02/2017,56.02,56.25,Positive
14/02/2017,56.63,56.46,Negative
15/02/2017,56.53,56.37,Negative
16/02/2017,56.03,56.48,Negative
17/02/2017,56.34,56.03,Negative
21/02/2017,55.76,55.4,Positive
22/02/2017,55.53,55.89,Neutral
23/02/2017,55.37,55.5,Positive
24/02/2017,56.62,55.92,Neutral
27/02/2017,55.89,56.03,Positive
28/02/2017,56.11,56.05,Positive
01/03/2017,56.22,55.95,Positive
02/03/2017,56.51,56.5,Negative
03/03/2017,56.54,56.57,Negative
06/03/2017,56.26,55.72,Negative
07/03/2017,55.6,55.74,Neutral
08/03/2017,55.65,55.53,Positive
09/03/2017,55.78,55.53,Positive
10/03/2017,55.78,56.2,Positive
13/03/2017,56.64,57.21,Neutral
14/03/2017,57.36,57.11,Positive
15/03/2017,57.06,56.99,Positive
16/03/2017,57.05,57.37,Positive
17/03/2017,57.27,57.54,Positive
20/03/2017,57.75,57.64,Positive
21/03/2017,57.76,57.76,Positive
22/03/2017,58.37,57.79,Positive
23/03/2017,57.58,58.29,Positive
24/03/2017,58.47,58.52,Positive
27/03/2017,58.82,58.6,Positive
28/03/2017,58.47,58.87,Positive
29/03/2017,59.88,59.26,Negative
30/03/2017,59.09,58.96,Neutral
31/03/2017,59.37,59.29,Negative
03/04/2017,59.17,58.91,Negative
04/04/2017,59.0,58.72,Neutral
05/04/2017,58.86,58.64,Positive
06/04/2017,58.7,58.8,Neutral
07/04/2017,58.63,59.06,Negative
10/04/2017,58.96,58.61,Negative
11/04/2017,58.8,58.44,Negative
12/04/2017,58.75,57.78,Neutral
13/04/2017,58.23,57.73,Positive
17/04/2017,57.77,57.47,Positive
18/04/2017,57.71,58.46,Positive
19/04/2017,58.58,58.37,Positive
20/04/2017,58.83,58.68,Positive
21/04/2017,59.06,59.21,Positive
24/04/2017,59.14,58.96,Positive
25/04/2017,59.91,59.62,Positive
26/04/2017,60.0,60.03,Positive
27/04/2017,60.19,60.55,Positive
28/04/2017,60.9,60.98,Positive
01/05/2017,61.61,61.77,Positive
02/05/2017,61.78,62.55,Positive
03/05/2017,62.55,62.7,Positive
04/05/2017,62.7,62.64,Positive
05/05/2017,63.12,62.97,Neutral
08/05/2017,63.29,63.02,Negative
09/05/2017,62.97,62.73,Negative
10/05/2017,62.97,63.22,Negative
11/05/2017,62.92,62.14,Negative
12/05/2017,61.92,61.99,Negative
15/05/2017,61.88,61.19,Negative
16/05/2017,61.03,60.91,Negative
17/05/2017,61.19,61.2,Negative
18/05/2017,61.0,59.75,Positive
19/05/2017,60.61,61.04,Positive
22/05/2017,61.58,61.5,Positive
23/05/2017,61.85,62.05,Positive
24/05/2017,62.09,61.92,Positive
25/05/2017,61.94,62.02,Positive
26/05/2017,62.52,62.77,Positive
30/05/2017,62.87,63.36,Positive
31/05/2017,63.27,63.74,Positive
01/06/2017,63.94,64.07,Positive
02/06/2017,64.31,65.4,Negative
05/06/2017,65.9,65.47,Negative
06/06/2017,65.19,65.06,Negative
07/06/2017,64.9,64.33,Negative
08/06/2017,64.87,64.3,Negative
09/06/2017,64.35,64.33,Negative
12/06/2017,64.2,63.34,Positive
13/06/2017,63.27,63.59,Positive
14/06/2017,64.0,64.06,Positive
15/06/2017,64.81,64.76,Positive
16/06/2017,64.29,65.5,Positive
19/06/2017,65.45,65.64,Positive
20/06/2017,65.95,66.32,Negative
21/06/2017,66.32,65.7,Positive
22/06/2017,65.98,66.43,Negative
23/06/2017,66.12,65.69,Positive
26/06/2017,65.85,66.45,Negative
27/06/2017,66.52,66.0,Negative
28/06/2017,65.9,65.05,Positive
29/06/2017,65.78,66.1,Negative
30/06/2017,66.03,65.15,Positive
03/07/2017,65.71,65.57,Positive
05/07/2017,65.65,65.25,Positive
06/07/2017,65.59,66.54,Negative
07/07/2017,65.68,65.48,Positive
10/07/2017,65.77,65.83,Neutral
11/07/2017,65.81,65.84,Neutral
12/07/2017,65.5,65.75,Positive
13/07/2017,66.1,65.97,Positive
14/07/2017,65.98,66.17,Positive
17/07/2017,66.1,65.75,Positive
18/07/2017,66.06,67.02,Neutral
19/07/2017,66.83,66.75,Positive
20/07/2017,66.89,66.77,Positive
21/07/2017,66.98,67.58,Negative
24/07/2017,67.21,67.0,Neutral
25/07/2017,67.13,66.99,Negative
26/07/2017,67.62,67.15,Negative
27/07/2017,67.26,66.7,Negative
28/07/2017,67.35,66.34,Positive
31/07/2017,66.27,66.4,Positive
01/08/2017,66.95,66.78,Positive
02/08/2017,68.17,67.48,Neutral
03/08/2017,67.91,67.5,Positive
04/08/2017,67.11,67.42,Positive
07/08/2017,67.5,67.81,Positive
08/08/2017,68.03,68.0,Negative
09/08/2017,68.05,68.03,Negative
10/08/2017,67.85,68.16,Negative
11/08/2017,68.0,67.38,Positive
14/08/2017,67.59,67.48,Positive
15/08/2017,68.25,68.03,Positive
16/08/2017,68.56,68.71,Negative
17/08/2017,68.9,68.87,Negative
18/08/2017,68.81,67.51,Positive
21/08/2017,67.59,67.46,Positive
22/08/2017,67.67,68.5,Negative
23/08/2017,68.38,68.29,Negative
24/08/2017,67.74,67.72,Positive
25/08/2017,68.14,68.18,Neutral
28/08/2017,68.25,68.17,Positive
29/08/2017,68.17,68.55,Positive
30/08/2017,67.79,68.11,Positive
31/08/2017,68.17,68.54,Neutral
01/09/2017,68.89,69.48,Negative
05/09/2017,69.82,69.13,Negative
06/09/2017,68.77,66.97,Negative
07/09/2017,66.41,66.96,Negative
08/09/2017,66.97,65.66,Positive
11/09/2017,65.75,65.57,Positive
12/09/2017,66.93,67.65,Positive
13/09/2017,67.82,68.18,Negative
14/09/2017,67.91,68.42,Negative
15/09/2017,67.9,68.74,Negative
18/09/2017,67.27,65.94,Negative
19/09/2017,65.5,65.19,Negative
20/09/2017,65.2,65.22,Negative
21/09/2017,65.24,64.48,Negative
22/09/2017,64.67,64.45,Neutral
25/09/2017,64.5,64.33,Negative
26/09/2017,63.81,63.5,Positive
27/09/2017,64.96,65.32,Negative
28/09/2017,65.3,63.68,Positive
29/09/2017,63.12,64.37,Neutral
02/10/2017,64.34,64.57,Neutral
03/10/2017,64.06,64.43,Positive
04/10/2017,64.21,64.1,Positive
05/10/2017,64.5,65.19,Positive
06/10/2017,64.96,65.91,Positive
09/10/2017,65.92,65.63,Positive
10/10/2017,65.61,66.45,Positive
11/10/2017,66.64,67.08,Positive
12/10/2017,67.13,67.2,Positive
13/10/2017,66.97,66.86,Positive
16/10/2017,67.38,67.94,Neutral
17/10/2017,67.64,68.24,Negative
18/10/2017,67.83,68.13,Negative
19/10/2017,68.16,67.46,Negative
20/10/2017,67.33,65.79,Positive
23/10/2017,66.29,65.88,Positive
24/10/2017,65.8,66.1,Positive
25/10/2017,66.25,66.42,Neutral
26/10/2017,66.41,65.84,Positive
27/10/2017,66.24,66.6,Neutral
30/10/2017,66.5,67.21,Negative
31/10/2017,67.21,66.02,Negative
01/11/2017,66.16,66.39,Negative
02/11/2017,66.58,64.57,Positive
03/11/2017,64.57,65.2,Positive
06/11/2017,65.33,65.43,Positive
07/11/2017,65.37,65.67,Positive
08/11/2017,66.87,66.38,Negative
09/11/2017,65.89,65.93,Negative
10/11/2017,65.67,66.18,Negative
13/11/2017,65.79,64.66,Positive
14/11/2017,64.46,65.98,Neutral
15/11/2017,65.93,66.02,Neutral
16/11/2017,65.89,65.78,Positive
17/11/2017,66.02,65.82,Positive
20/11/2017,65.79,66.22,Positive
21/11/2017,66.29,66.13,Positive
22/11/2017,66.75,67.0,Negative
24/11/2017,66.7,66.79,Negative
27/11/2017,66.67,66.71,Negative
28/11/2017,66.76,66.16,Negative
29/11/2017,66.37,66.51,Negative
30/11/2017,66.51,65.7,Positive
01/12/2017,65.42,65.64,Positive
04/12/2017,65.32,66.0,Positive
05/12/2017,67.08,67.25,Negative
06/12/2017,67.03,65.94,Positive
07/12/2017,66.38,66.06,Positive
08/12/2017,66.03,66.18,Positive
11/12/2017,66.32,66.91,Negative
12/12/2017,66.76,67.03,Negative
13/12/2017,66.48,66.55,Negative
14/12/2017,66.35,65.41,Positive
15/12/2017,65.42,65.18,Positive
18/12/2017,64.92,65.95,Positive
19/12/2017,66.6,66.6,Positive
20/12/2017,67.35,68.13,Negative
21/12/2017,68.5,67.7,Negative
22/12/2017,67.45,66.34,Neutral
26/12/2017,66.33,66.35,Neutral
27/12/2017,66.38,65.69,Positive
28/12/2017,66.16,66.76,Negative
29/12/2017,66.93,66.48,Positive
02/01/2018,66.9,66.37,Positive
03/01/2018,67.22,66.75,Neutral
04/01/2018,66.74,66.9,Negative
05/01/2018,66.9,66.85,Negative
08/01/2018,67.0,66.3,Positive
09/01/2018,66.22,66.05,Positive
10/01/2018,67.13,67.63,Positive
11/01/2018,68.19,67.95,Positive
12/01/2018,68.83,68.8,Positive
16/01/2018,68.98,69.69,Negative
17/01/2018,69.4,68.52,Positive
18/01/2018,68.56,69.45,Negative
19/01/2018,69.56,69.02,Negative
22/01/2018,69.33,68.56,Positive
23/01/2018,68.59,68.86,Positive
24/01/2018,68.73,68.51,Positive
25/01/2018,69.38,71.17,Positive
26/01/2018,71.17,70.76,Positive
29/01/2018,71.01,71.65,Neutral
30/01/2018,71.44,71.94,Negative
31/01/2018,71.65,71.79,Negative
01/02/2018,71.81,71.61,Negative
02/02/2018,71.93,71.11,Negative
05/02/2018,71.0,69.95,Negative
06/02/2018,69.72,68.04,Positive
07/02/2018,67.43,69.27,Negative
08/02/2018,68.61,69.12,Negative
09/02/2018,69.59,66.76,Positive
12/02/2018,67.3,67.07,Positive
13/02/2018,67.57,68.77,Positive
14/02/2018,68.61,68.75,Positive
15/02/2018,68.27,69.92,Negative
16/02/2018,69.9,69.6,Neutral
20/02/2018,69.16,69.5,Negative
21/02/2018,69.33,69.45,Negative
22/02/2018,70.07,69.58,Negative
23/02/2018,69.24,68.2,Neutral
26/02/2018,68.43,68.76,Negative
27/02/2018,68.75,68.64,Negative
28/02/2018,68.74,67.49,Negative
01/03/2018,67.85,66.91,Negative
02/03/2018,66.61,65.98,Negative
05/03/2018,65.71,64.97,Positive
06/03/2018,65.13,65.19,Positive
07/03/2018,65.6,66.15,Positive
08/03/2018,65.84,66.01,Positive
09/03/2018,66.45,66.73,Positive
12/03/2018,67.0,67.47,Negative
13/03/2018,67.58,67.36,Negative
14/03/2018,67.71,67.57,Negative
15/03/2018,67.67,66.96,Neutral
16/03/2018,67.22,66.73,Positive
19/03/2018,66.82,66.91,Positive
20/03/2018,67.17,67.63,Negative
21/03/2018,68.01,67.85,Negative
22/03/2018,67.88,67.06,Negative
23/03/2018,68.72,66.2,Negative
26/03/2018,67.35,64.41,Positive
27/03/2018,65.05,65.8,Negative
28/03/2018,66.08,65.73,Negative
29/03/2018,65.77,64.64,Positive
02/04/2018,64.82,65.58,Negative
03/04/2018,65.68,64.62,Positive
04/04/2018,64.95,64.49,Positive
05/04/2018,64.07,64.98,Neutral
06/04/2018,65.2,65.51,Negative
09/04/2018,65.62,64.51,Negative
10/04/2018,65.35,64.86,Negative
11/04/2018,65.53,63.1,Positive
12/04/2018,63.24,63.64,Neutral
13/04/2018,64.04,63.75,Neutral
16/04/2018,64.23,62.94,Positive
17/04/2018,63.72,64.08,Positive
18/04/2018,64.68,64.17,Positive
19/04/2018,64.6,65.27,Positive
20/04/2018,65.24,65.06,Positive
23/04/2018,64.94,65.88,Neutral
24/04/2018,65.88,66.27,Negative
25/04/2018,66.51,65.54,Negative
26/04/2018,65.55,66.07,Negative
27/04/2018,66.4,64.31,Negative
30/04/2018,64.37,64.36,Negative
01/05/2018,65.01,63.06,Positive
02/05/2018,63.24,64.11,Negative
03/05/2018,64.24,62.85,Positive
04/05/2018,62.98,63.3,Neutral
07/05/2018,63.0,63.57,Negative
08/05/2018,63.64,62.93,Positive
09/05/2018,63.23,63.15,Positive
10/05/2018,63.5,63.95,Positive
11/05/2018,63.99,64.06,Positive
14/05/2018,64.02,64.02,Positive
15/05/2018,64.0,64.82,Positive
16/05/2018,64.96,65.18,Negative
17/05/2018,65.28,65.46,Negative
18/05/2018,65.54,64.82,Neutral
21/05/2018,64.91,64.84,Neutral
22/05/2018,64.98,64.77,Negative
23/05/2018,64.88,65.05,Negative
24/05/2018,64.87,64.68,Negative
25/05/2018,64.35,64.15,Negative
29/05/2018,64.08,64.25,Negative
30/05/2018,63.69,62.55,Positive
31/05/2018,62.66,62.88,Neutral
01/06/2018,63.04,62.28,Neutral
04/06/2018,62.68,63.17,Negative
05/06/2018,63.39,63.34,Negative
06/06/2018,60.68,60.59,Positive
07/06/2018,60.37,61.45,Negative
08/06/2018,61.37,61.33,Neutral
11/06/2018,61.03,60.94,Positive
12/06/2018,61.0,61.14,Positive
13/06/2018,61.29,62.17,Positive
