Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,24.72,24.59,Positive
2017-01-05,24.7,24.81,Positive
2017-01-06,24.79,24.81,Positive
2017-01-09,24.8,25.36,Negative
2017-01-10,25.41,24.88,Positive
2017-01-11,24.86,24.95,Positive
2017-01-12,24.92,25.42,Neutral
2017-01-13,25.41,25.33,Positive
2017-01-17,25.27,25.42,Positive
2017-01-18,25.48,25.49,Positive
2017-01-19,25.44,25.68,Negative
2017-01-20,25.6,25.44,Positive
2017-01-23,25.49,25.6,Positive
2017-01-24,25.61,25.44,Positive
2017-01-25,25.51,25.62,Positive
2017-01-26,25.56,25.95,Neutral
2017-01-27,25.97,25.99,Neutral
2017-01-30,26.0,26.06,Negative
2017-01-31,26.06,25.83,Positive
2017-02-01,25.87,26.21,Negative
2017-02-02,26.09,25.93,Positive
2017-02-03,25.91,26.19,Neutral
2017-02-06,26.25,26.3,Negative
2017-02-07,26.39,26.09,Positive
2017-02-08,26.11,26.17,Positive
2017-02-09,26.1,26.42,Positive
2017-02-10,26.38,26.47,Negative
2017-02-13,26.46,26.49,Negative
2017-02-14,26.48,26.67,Negative
2017-02-15,26.32,26.05,Positive
2017-02-16,25.86,26.07,Positive
2017-02-17,26.04,26.37,Positive
2017-02-21,26.41,26.51,Positive
2017-02-22,26.47,26.61,Positive
2017-02-23,26.6,26.57,Positive
2017-02-24,26.68,26.84,Positive
2017-02-27,26.86,27.02,Positive
2017-02-28,26.99,26.79,Positive
2017-03-01,25.91,27.32,Positive
2017-03-02,27.19,27.7,Positive
2017-03-03,27.56,27.77,Positive
2017-03-06,27.79,27.9,Negative
2017-03-07,27.9,27.96,Negative
2017-03-08,28.0,28.0,Negative
2017-03-09,27.83,27.44,Positive
2017-03-10,27.45,27.37,Positive
2017-03-13,27.5,27.71,Neutral
2017-03-14,27.69,27.61,Positive
2017-03-15,27.55,27.5,Positive
2017-03-16,27.67,28.09,Negative
2017-03-17,27.75,27.59,Neutral
2017-03-20,27.63,27.68,Neutral
2017-03-21,27.76,27.45,Positive
2017-03-22,27.45,27.58,Positive
2017-03-23,27.72,27.88,Negative
2017-03-24,27.91,27.75,Neutral
2017-03-27,27.8,27.87,Negative
2017-03-28,27.94,27.69,Neutral
2017-03-29,27.65,27.69,Neutral
2017-03-30,27.72,27.85,Negative
2017-03-31,27.79,27.51,Positive
2017-04-03,27.46,27.57,Positive
2017-04-04,27.55,27.55,Positive
2017-04-05,27.54,27.77,Positive
2017-04-06,27.76,27.84,Positive
