Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,64.87,63.63,Positive
2017-01-05,63.84,64.28,Positive
2017-01-06,63.97,65.15,Negative
2017-01-09,64.97,65.38,Negative
2017-01-10,65.26,64.47,Negative
2017-01-11,63.98,63.88,Negative
2017-01-12,63.84,63.31,Positive
2017-01-13,63.19,64.11,Negative
2017-01-17,63.94,63.39,Neutral
2017-01-18,63.54,63.48,Negative
2017-01-19,63.51,63.6,Negative
2017-01-20,63.37,63.0,Neutral
2017-01-23,63.2,63.36,Negative
2017-01-24,63.17,63.02,Negative
2017-01-25,63.08,62.29,Negative
2017-01-26,62.28,61.7,Negative
2017-01-27,61.98,61.52,Negative
2017-01-30,61.66,61.02,Negative
2017-01-31,60.82,60.7,Negative
2017-02-01,60.77,60.77,Negative
2017-02-02,60.74,59.9,Positive
2017-02-03,59.78,60.76,Negative
2017-02-06,61.16,60.38,Positive
2017-02-07,60.36,60.56,Positive
2017-02-08,60.48,60.66,Positive
2017-02-09,60.86,61.42,Positive
2017-02-10,61.45,61.41,Positive
2017-02-13,61.3,61.93,Neutral
2017-02-14,61.9,62.14,Negative
2017-02-15,61.7,62.0,Negative
2017-02-16,61.61,61.66,Positive
2017-02-17,61.6,61.88,Neutral
2017-02-21,62.01,61.58,Positive
2017-02-22,61.44,62.42,Neutral
2017-02-23,62.51,61.93,Positive
2017-02-24,62.21,62.76,Positive
2017-02-27,62.6,62.78,Positive
2017-02-28,62.92,63.26,Negative
2017-03-01,63.22,63.07,Negative
2017-03-02,62.93,63.02,Negative
2017-03-03,62.89,63.26,Negative
2017-03-06,62.99,62.32,Positive
2017-03-07,62.15,62.42,Neutral
2017-03-08,62.29,62.55,Negative
2017-03-09,62.24,62.67,Negative
2017-03-10,62.74,62.13,Positive
2017-03-13,62.63,61.96,Positive
2017-03-14,62.09,62.57,Positive
2017-03-15,62.51,62.33,Positive
2017-03-16,62.26,63.42,Neutral
2017-03-17,63.34,63.39,Negative
2017-03-20,63.59,63.43,Negative
2017-03-21,63.54,63.19,Neutral
2017-03-22,63.3,62.99,Positive
2017-03-23,63.28,63.37,Negative
2017-03-24,62.89,63.15,Negative
2017-03-27,63.35,62.94,Negative
2017-03-28,62.84,62.2,Neutral
2017-03-29,62.2,62.41,Negative
2017-03-30,62.36,62.29,Neutral
2017-03-31,62.27,62.19,Neutral
2017-04-03,62.11,62.22,Positive
2017-04-04,62.24,62.14,Positive
2017-04-05,62.19,62.33,Positive
2017-04-06,62.4,63.01,Positive
2017-04-07,62.96,62.9,Positive
2017-04-10,62.99,63.04,Positive
2017-04-11,62.92,63.49,Neutral
2017-04-12,63.44,63.92,Negative
2017-04-13,63.95,63.44,Positive
2017-04-17,63.42,63.24,Positive
2017-04-18,63.33,64.11,Positive
2017-04-19,63.92,64.39,Neutral
2017-04-20,64.3,64.34,Neutral
2017-04-21,64.47,64.4,Neutral
2017-04-24,64.2,64.28,Positive
2017-04-25,64.8,64.2,Positive
2017-04-26,64.31,64.93,Negative
2017-04-27,64.76,65.28,Negative
2017-04-28,65.31,64.53,Positive
2017-05-01,64.36,64.58,Neutral
2017-05-02,64.77,64.83,Negative
2017-05-03,64.9,64.73,Neutral
2017-05-04,64.87,63.92,Positive
2017-05-05,63.75,64.41,Positive
2017-05-08,64.64,65.49,Negative
2017-05-09,65.63,65.02,Neutral
2017-05-10,64.93,64.84,Neutral
2017-05-11,64.73,65.15,Negative
2017-05-12,64.79,64.81,Neutral
2017-05-15,65.09,64.9,Negative
2017-05-16,64.82,64.84,Neutral
2017-05-17,64.65,64.52,Positive
2017-05-18,64.55,64.34,Positive
2017-05-19,64.46,65.41,Neutral
2017-05-22,65.41,65.55,Negative
2017-05-23,65.5,65.36,Negative
2017-05-24,65.27,64.93,Positive
2017-05-25,65.14,65.2,Neutral
2017-05-26,65.47,65.07,Neutral
2017-05-30,65.2,65.17,Neutral
2017-05-31,65.16,65.31,Positive
2017-06-01,65.33,65.09,Positive
2017-06-02,65.06,64.93,Positive
2017-06-05,65.29,66.72,Positive
2017-06-06,66.41,67.42,Negative
2017-06-07,67.39,66.9,Positive
2017-06-08,66.9,67.09,Positive
2017-06-09,67.18,67.44,Negative
2017-06-12,67.31,67.63,Negative
2017-06-13,67.42,66.95,Positive
2017-06-14,67.06,67.11,Positive
2017-06-15,67.56,67.19,Positive
2017-06-16,67.04,67.77,Positive
2017-06-19,68.29,68.57,Negative
2017-06-20,68.75,68.13,Negative
2017-06-21,68.18,68.16,Negative
2017-06-22,68.03,68.01,Negative
2017-06-23,67.37,67.04,Neutral
2017-06-26,67.01,67.21,Negative
2017-06-27,67.39,67.14,Negative
2017-06-28,66.9,66.41,Negative
2017-06-29,66.52,66.37,Negative
2017-06-30,66.2,66.3,Neutral
2017-07-03,66.28,65.83,Positive
2017-07-05,66.04,66.57,Negative
2017-07-06,66.67,66.78,Negative
2017-07-07,66.13,64.89,Negative
2017-07-10,64.92,64.98,Negative
2017-07-11,65.15,64.73,Neutral
2017-07-12,64.9,64.41,Positive
2017-07-13,64.66,65.05,Positive
2017-07-14,64.98,65.01,Positive
2017-07-17,65.32,65.46,Positive
2017-07-18,65.47,66.25,Positive
2017-07-19,66.14,66.05,Positive
2017-07-20,66.05,67.16,Negative
2017-07-21,67.13,67.16,Negative
2017-07-24,67.13,67.16,Negative
2017-07-25,67.18,66.65,Positive
2017-07-26,66.66,66.07,Positive
2017-07-27,66.08,67.36,Positive
2017-07-28,67.23,67.5,Positive
2017-07-31,67.62,67.71,Positive
2017-08-01,67.73,68.06,Negative
2017-08-02,68.2,67.84,Negative
2017-08-03,67.64,67.76,Negative
2017-08-04,67.64,67.3,Neutral
2017-08-07,67.31,67.32,Neutral
2017-08-08,67.21,67.24,Neutral
2017-08-09,67.11,67.15,Neutral
2017-08-10,67.33,67.35,Neutral
2017-08-11,67.17,67.08,Positive
2017-08-14,66.87,66.98,Positive
2017-08-15,67.23,67.98,Neutral
2017-08-16,67.82,68.31,Negative
2017-08-17,68.44,67.91,Negative
2017-08-18,67.8,67.65,Neutral
2017-08-21,67.53,67.17,Positive
2017-08-22,67.29,67.77,Neutral
2017-08-23,67.77,67.74,Positive
2017-08-24,67.75,67.98,Negative
2017-08-25,68.13,67.97,Negative
2017-08-28,68.07,67.94,Negative
2017-08-29,67.99,67.37,Negative
2017-08-30,67.41,67.15,Neutral
2017-08-31,67.07,67.31,Negative
2017-09-01,67.33,67.15,Neutral
2017-09-05,67.15,66.99,Positive
2017-09-06,67.1,67.14,Positive
2017-09-07,67.4,67.22,Positive
2017-09-08,67.38,67.72,Positive
2017-09-11,67.58,68.09,Negative
2017-09-12,68.2,68.61,Negative
2017-09-13,68.38,67.61,Neutral
2017-09-14,67.55,67.31,Positive
2017-09-15,67.38,67.39,Neutral
2017-09-18,67.24,67.88,Negative
2017-09-19,67.82,67.34,Negative
2017-09-20,67.64,66.83,Negative
2017-09-21,66.88,66.72,Negative
2017-09-22,66.73,66.47,Negative
2017-09-25,66.1,65.88,Neutral
2017-09-26,66.0,66.08,Negative
2017-09-27,66.15,66.03,Negative
2017-09-28,65.84,65.62,Positive
2017-09-29,65.67,65.84,Negative
2017-10-02,65.75,65.93,Neutral
2017-10-03,66.09,65.6,Positive
2017-10-04,65.65,65.55,Positive
2017-10-05,65.64,66.52,Neutral
2017-10-06,66.7,66.57,Negative
2017-10-09,66.47,66.42,Neutral
2017-10-10,66.44,66.44,Positive
2017-10-11,66.54,66.4,Positive
2017-10-12,66.4,66.47,Positive
2017-10-13,66.48,67.23,Neutral
2017-10-16,67.61,67.49,Negative
2017-10-17,67.41,67.27,Negative
2017-10-18,67.06,66.88,Negative
2017-10-19,66.76,66.72,Negative
2017-10-20,66.91,66.06,Positive
2017-10-23,66.18,66.14,Positive
2017-10-24,66.42,66.67,Neutral
2017-10-25,66.37,65.79,Positive
