Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,12.2,12.59,Positive
2017-01-05,12.77,13.17,Negative
2017-01-06,13.21,12.77,Neutral
2017-01-09,12.8,12.76,Negative
2017-01-10,12.79,12.63,Positive
2017-01-11,12.7,12.85,Negative
2017-01-12,12.71,12.67,Negative
2017-01-13,12.66,12.59,Negative
2017-01-17,12.62,12.63,Negative
2017-01-18,12.65,12.61,Negative
2017-01-19,12.43,12.41,Negative
2017-01-20,12.4,12.43,Neutral
2017-01-23,12.45,12.36,Positive
2017-01-24,12.35,12.31,Positive
2017-01-25,12.35,12.61,Negative
2017-01-26,12.71,12.79,Negative
2017-01-27,12.65,12.37,Positive
2017-01-30,12.48,12.49,Negative
2017-01-31,12.46,12.37,Negative
2017-02-01,12.31,12.36,Positive
2017-02-02,12.45,12.32,Positive
2017-02-03,12.3,12.28,Positive
2017-02-06,12.42,12.56,Negative
2017-02-07,12.55,12.52,Negative
2017-02-08,12.5,12.34,Positive
2017-02-09,12.34,12.38,Positive
2017-02-10,12.4,12.38,Positive
2017-02-13,12.44,12.51,Positive
2017-02-14,12.54,12.56,Positive
2017-02-15,12.64,12.65,Negative
2017-02-16,12.62,12.63,Negative
2017-02-17,12.61,12.54,Positive
2017-02-21,12.5,12.58,Positive
2017-02-22,12.61,12.69,Negative
2017-02-23,12.66,12.67,Negative
2017-02-24,12.7,12.56,Neutral
2017-02-27,12.51,12.47,Positive
2017-02-28,12.49,12.66,Negative
2017-03-01,12.63,12.53,Positive
2017-03-02,12.66,12.69,Negative
2017-03-03,12.72,12.66,Negative
2017-03-06,12.66,12.65,Negative
2017-03-07,12.58,12.52,Neutral
2017-03-08,12.51,12.46,Positive
2017-03-09,12.5,12.53,Neutral
2017-03-10,12.54,12.5,Positive
2017-03-13,12.55,12.53,Positive
2017-03-14,12.56,12.54,Positive
2017-03-15,12.51,12.55,Positive
2017-03-16,12.56,12.65,Negative
2017-03-17,12.65,12.7,Negative
2017-03-20,12.74,12.48,Negative
2017-03-21,12.48,12.28,Negative
2017-03-22,12.3,11.72,Negative
2017-03-23,11.78,11.77,Negative
2017-03-24,11.57,11.67,Negative
2017-03-27,11.66,11.62,Negative
2017-03-28,11.51,11.46,Positive
2017-03-29,11.51,11.65,Neutral
2017-03-30,11.73,11.68,Negative
2017-03-31,11.67,11.68,Negative
2017-04-03,11.66,11.64,Negative
2017-04-04,11.64,11.44,Negative
2017-04-05,11.38,11.37,Negative
2017-04-06,11.48,11.26,Neutral
2017-04-07,11.27,11.27,Neutral
2017-04-10,11.26,11.23,Positive
2017-04-11,11.26,11.25,Negative
2017-04-12,11.27,11.28,Negative
2017-04-13,11.27,11.23,Negative
2017-04-17,11.22,11.11,Positive
2017-04-18,11.22,11.28,Neutral
2017-04-19,11.15,11.14,Positive
2017-04-20,11.19,11.19,Positive
2017-04-21,11.25,11.47,Negative
2017-04-24,11.46,11.34,Positive
2017-04-25,11.48,11.43,Positive
2017-04-26,11.47,11.48,Positive
2017-04-27,11.47,11.6,Negative
2017-04-28,11.66,11.47,Negative
2017-05-01,11.51,11.47,Negative
2017-05-02,11.49,11.42,Negative
2017-05-03,11.3,10.92,Positive
2017-05-04,10.92,11.07,Neutral
2017-05-05,11.09,11.0,Positive
2017-05-08,11.01,11.14,Negative
2017-05-09,11.18,11.13,Negative
2017-05-10,11.14,11.16,Negative
2017-05-11,11.16,11.04,Negative
2017-05-12,11.04,11.01,Negative
2017-05-15,11.0,10.92,Negative
2017-05-16,10.96,10.94,Negative
