Date,OpenPrice,ClosePrice,PriceDirection
2019-03-15,39.5,39.96,Positive
2019-03-18,40.55,41.02,Negative
2019-03-19,41.73,40.86,Negative
2019-03-20,41.4,39.55,Negative
2019-03-21,39.85,37.6,Neutral
2019-03-22,38.0,38.88,Negative
2019-03-25,38.76,37.46,Negative
2019-03-26,37.57,36.45,Negative
2019-03-27,36.46,36.71,Negative
2019-03-28,36.75,36.2,Negative
2019-03-29,36.14,35.67,Positive
2019-04-01,35.88,35.88,Negative
2019-04-02,36.17,36.15,Negative
2019-04-03,36.21,35.7,Positive
2019-04-04,35.78,35.5,Positive
2019-04-05,35.56,36.03,Positive
2019-04-08,35.99,36.98,Negative
2019-04-09,36.94,36.85,Negative
2019-04-10,36.81,36.89,Negative
2019-04-11,36.91,35.93,Positive
2019-04-12,35.98,36.41,Positive
2019-04-15,36.47,36.95,Positive
2019-04-16,36.91,36.98,Positive
2019-04-17,37.11,37.21,Positive
2019-04-18,37.18,38.21,Negative
2019-04-22,38.34,37.92,Negative
2019-04-23,37.84,37.24,Positive
2019-04-24,37.22,37.6,Neutral
2019-04-25,37.51,37.45,Positive
2019-04-26,37.48,37.64,Positive
2019-04-29,37.8,37.91,Positive
2019-04-30,37.74,38.73,Negative
2019-05-01,38.59,38.5,Negative
2019-05-02,38.66,38.74,Negative
2019-05-03,38.75,36.84,Positive
2019-05-06,36.86,37.02,Negative
2019-05-07,36.72,37.31,Negative
2019-05-08,36.97,36.7,Positive
2019-05-09,36.56,36.82,Positive
2019-05-10,38.08,37.97,Negative
2019-05-13,37.9,38.05,Negative
2019-05-14,37.48,37.5,Negative
2019-05-15,37.54,37.48,Negative
2019-05-16,37.24,37.23,Negative
2019-05-17,37.28,36.32,Positive
2019-05-20,36.08,36.83,Neutral
2019-05-21,36.54,36.68,Positive
2019-05-22,36.82,37.18,Negative
2019-05-23,37.1,36.67,Negative
2019-05-24,36.39,36.51,Negative
2019-05-28,36.51,36.45,Negative
2019-05-29,36.59,36.16,Negative
2019-05-30,36.0,35.3,Negative
2019-05-31,35.36,34.81,Negative
2019-06-03,34.55,34.71,Negative
2019-06-04,34.61,33.78,Positive
2019-06-05,34.03,34.09,Negative
2019-06-06,34.24,34.02,Negative
2019-06-07,34.01,33.74,Neutral
2019-06-10,33.84,33.68,Positive
2019-06-11,33.86,33.74,Positive
2019-06-12,33.77,33.83,Positive
2019-06-13,33.81,34.7,Positive
2019-06-14,34.96,34.94,Positive
2019-06-17,34.99,34.96,Positive
2019-06-18,35.18,35.8,Negative
2019-06-19,36.09,35.83,Negative
2019-06-20,35.88,35.74,Negative
2019-06-21,36.15,35.35,Positive
2019-06-24,35.36,35.88,Negative
2019-06-25,35.72,35.54,Negative
2019-06-26,35.45,35.19,Positive
2019-06-27,35.46,35.31,Positive
2019-06-28,35.36,35.75,Positive
2019-07-01,35.89,36.53,Negative
2019-07-02,36.82,35.96,Positive
2019-07-03,35.96,36.53,Negative
2019-07-05,36.7,36.35,Negative
2019-07-08,36.28,36.56,Negative
2019-07-09,36.36,36.13,Neutral
2019-07-10,35.98,36.01,Positive
2019-07-11,36.11,36.14,Positive
2019-07-12,36.13,36.31,Positive
2019-07-15,36.32,36.96,Negative
2019-07-16,37.12,37.04,Negative
2019-07-17,37.08,36.69,Negative
2019-07-18,36.62,36.17,Positive
2019-07-19,36.1,36.61,Negative
2019-07-22,36.71,36.45,Positive
2019-07-23,36.47,36.32,Positive
2019-07-24,36.35,36.51,Positive
2019-07-25,36.46,36.89,Positive
2019-07-26,36.91,37.43,Positive
2019-07-29,37.37,37.49,Positive
2019-07-30,37.44,37.69,Negative
2019-07-31,37.5,37.85,Negative
2019-08-01,37.7,37.2,Negative
2019-08-02,37.16,36.84,Negative
2019-08-05,36.84,36.56,Negative
2019-08-06,36.28,36.0,Neutral
2019-08-07,35.93,36.4,Negative
2019-08-08,36.05,36.79,Negative
2019-08-09,37.34,35.0,Neutral
2019-08-12,34.95,35.37,Negative
2019-08-13,35.28,34.81,Negative
2019-08-14,34.67,35.0,Negative
2019-08-15,34.78,33.66,Negative
2019-08-16,33.65,32.81,Positive
2019-08-19,33.09,33.01,Positive
2019-08-20,33.31,33.6,Negative
2019-08-21,33.5,33.36,Negative
2019-08-22,33.47,33.15,Negative
2019-08-23,33.19,32.82,Negative
2019-08-26,32.66,31.44,Positive
2019-08-27,31.67,31.71,Positive
2019-08-28,31.9,31.62,Positive
2019-08-29,31.67,31.56,Positive
2019-08-30,31.78,32.45,Positive
2019-09-03,33.27,32.8,Positive
2019-09-04,32.4,32.43,Positive
2019-09-05,32.65,33.21,Positive
2019-09-06,33.52,33.91,Positive
2019-09-09,33.95,33.87,Positive
2019-09-10,33.68,33.99,Neutral
2019-09-11,33.76,34.22,Negative
2019-09-12,34.1,33.97,Negative
2019-09-13,34.12,33.7,Negative
2019-09-16,33.68,33.71,Negative
2019-09-17,33.52,33.49,Negative
2019-09-18,33.46,32.82,Negative
2019-09-19,32.68,32.5,Negative
2019-09-20,32.57,31.97,Neutral
2019-09-23,31.89,32.08,Negative
2019-09-24,32.16,32.18,Negative
2019-09-25,32.32,31.53,Positive
2019-09-26,31.48,32.0,Negative
2019-09-27,32.06,31.47,Negative
2019-09-30,31.51,31.48,Negative
2019-10-01,31.68,31.54,Negative
2019-10-02,31.7,31.18,Negative
2019-10-03,30.99,30.31,Positive
2019-10-04,30.25,30.39,Neutral
2019-10-07,30.5,30.48,Negative
2019-10-08,30.51,30.49,Negative
2019-10-09,30.21,30.04,Positive
2019-10-10,30.21,30.26,Positive
2019-10-11,30.22,30.43,Positive
2019-10-14,30.65,31.16,Positive
2019-10-15,31.06,31.01,Positive
2019-10-16,31.02,31.44,Positive
2019-10-17,31.35,31.59,Positive
2019-10-18,31.5,31.49,Positive
2019-10-21,31.63,31.52,Positive
2019-10-22,31.71,32.09,Positive
2019-10-23,32.16,32.77,Negative
2019-10-24,32.87,32.61,Negative
2019-10-25,32.56,31.6,Positive
2019-10-28,31.62,31.7,Positive
2019-10-29,31.72,32.21,Negative
2019-10-30,32.16,32.05,Negative
2019-10-31,31.98,31.36,Positive
2019-11-01,31.17,31.24,Positive
2019-11-04,31.36,31.86,Positive
2019-11-05,32.04,31.9,Positive
2019-11-06,31.9,32.15,Positive
2019-11-07,32.18,32.33,Positive
2019-11-08,33.15,34.25,Negative
2019-11-11,34.14,34.43,Negative
2019-11-12,34.24,34.22,Negative
2019-11-13,34.21,33.81,Negative
2019-11-14,33.63,33.57,Positive
2019-11-15,33.46,33.45,Positive
2019-11-18,33.75,33.59,Positive
2019-11-19,33.58,34.46,Positive
2019-11-20,34.67,35.43,Negative
2019-11-21,35.19,34.99,Negative
2019-11-22,35.0,34.78,Positive
2019-11-25,34.77,34.88,Positive
2019-11-26,34.88,34.85,Positive
2019-11-27,34.88,35.19,Negative
2019-11-29,35.3,35.03,Negative
2019-12-02,34.9,34.98,Negative
2019-12-03,34.96,34.81,Negative
2019-12-04,34.54,34.35,Positive
2019-12-05,34.29,34.64,Neutral
2019-12-06,34.79,34.63,Positive
2019-12-09,34.88,34.6,Positive
2019-12-10,34.67,34.79,Positive
2019-12-11,34.77,34.92,Positive
2019-12-12,35.02,35.29,Positive
2019-12-13,35.38,35.96,Neutral
2019-12-16,35.92,35.86,Positive
2019-12-17,36.03,35.89,Positive
2019-12-18,35.87,36.24,Negative
2019-12-19,36.28,36.0,Positive
2019-12-20,35.9,36.05,Positive
2019-12-23,36.14,36.22,Positive
2019-12-24,36.16,36.63,Neutral
2019-12-26,36.61,36.5,Positive
2019-12-27,36.64,36.8,Negative
2019-12-30,36.95,36.73,Negative
2019-12-31,36.79,36.44,Negative
2020-01-02,36.32,36.4,Negative
2020-01-03,36.5,36.46,Negative
2020-01-06,36.01,36.1,Positive
2020-01-07,35.94,36.02,Positive
2020-01-08,35.89,36.47,Negative
2020-01-09,36.58,36.42,Negative
2020-01-10,36.5,36.5,Negative
2020-01-13,36.55,36.09,Positive
2020-01-14,36.09,36.3,Positive
2020-01-15,36.13,36.54,Positive
2020-01-16,36.57,36.79,Positive
2020-01-17,36.91,38.23,Positive
2020-01-21,38.31,38.58,Negative
2020-01-22,38.4,38.41,Negative
2020-01-23,38.41,38.4,Negative
2020-01-24,38.11,36.9,Negative
2020-01-27,36.94,36.04,Positive
2020-01-28,35.81,36.37,Neutral
2020-01-29,36.5,36.62,Negative
2020-01-30,36.38,35.99,Positive
2020-01-31,35.6,36.46,Positive
2020-02-03,36.35,36.33,Positive
2020-02-04,36.5,36.83,Positive
2020-02-05,37.27,37.4,Negative
2020-02-06,37.81,37.93,Negative
2020-02-07,38.26,36.5,Positive
2020-02-10,36.45,36.37,Positive
2020-02-11,36.22,36.78,Positive
2020-02-12,36.85,36.61,Positive
2020-02-13,36.77,37.16,Positive
2020-02-14,36.95,37.52,Negative
2020-02-18,37.53,37.31,Negative
2020-02-19,37.26,37.22,Negative
2020-02-20,37.24,37.53,Negative
2020-02-21,37.18,36.54,Negative
2020-02-24,36.29,35.5,Negative
2020-02-25,35.27,34.27,Negative
2020-02-26,34.41,32.83,Negative
2020-02-27,33.36,32.4,Negative
2020-02-28,31.99,30.99,Neutral
2020-03-02,30.2,30.45,Positive
2020-03-03,30.48,31.79,Negative
2020-03-04,31.19,30.71,Negative
2020-03-05,31.04,30.67,Negative
2020-03-06,29.83,29.12,Negative
2020-03-09,27.71,28.52,Negative
2020-03-10,26.75,27.13,Positive
2020-03-11,27.96,28.76,Negative
2020-03-12,27.82,27.52,Negative
2020-03-13,26.55,25.56,Negative
2020-03-16,26.4,25.38,Negative
2020-03-17,23.3,23.19,Negative
2020-03-18,23.5,23.79,Negative
2020-03-19,22.35,21.41,Negative
2020-03-20,21.5,21.94,Negative
2020-03-23,22.3,20.05,Positive
2020-03-24,20.13,19.81,Positive
2020-03-25,20.83,21.65,Positive
2020-03-26,21.66,23.34,Positive
2020-03-27,23.67,24.6,Negative
2020-03-30,23.51,22.04,Positive
2020-03-31,22.11,23.77,Negative
2020-04-01,23.95,22.88,Negative
2020-04-02,21.85,21.57,Positive
2020-04-03,21.56,21.84,Positive
2020-04-06,21.73,21.59,Positive
2020-04-07,22.78,24.45,Positive
2020-04-08,25.69,24.97,Positive
2020-04-09,25.04,25.82,Negative
2020-04-13,25.92,25.64,Negative
2020-04-14,25.46,25.4,Neutral
2020-04-15,25.8,26.01,Negative
2020-04-16,25.15,25.17,Positive
2020-04-17,25.16,25.13,Positive
2020-04-20,25.75,26.23,Negative
2020-04-21,25.46,25.69,Negative
2020-04-22,24.91,25.05,Negative
2020-04-23,25.68,24.59,Positive
2020-04-24,24.63,24.45,Positive
2020-04-27,24.48,24.52,Positive
2020-04-28,24.83,26.01,Positive
2020-04-29,26.65,26.97,Negative
2020-04-30,27.73,27.95,Negative
2020-05-01,27.4,25.56,Negative
2020-05-04,25.0,25.02,Negative
2020-05-05,24.85,24.63,Negative
2020-05-06,24.82,23.85,Positive
2020-05-07,23.89,24.61,Positive
2020-05-08,26.25,25.01,Positive
2020-05-11,25.62,25.73,Negative
2020-05-12,25.81,25.45,Negative
2020-05-13,25.59,24.89,Neutral
2020-05-14,24.66,24.06,Positive
2020-05-15,23.67,25.12,Positive
2020-05-18,24.79,25.5,Positive
2020-05-19,26.66,26.85,Positive
2020-05-20,26.81,26.94,Positive
2020-05-21,27.04,27.37,Positive
2020-05-22,27.21,27.23,Positive
2020-05-26,27.16,27.37,Positive
2020-05-27,28.33,28.59,Positive
2020-05-28,28.99,29.3,Negative
2020-05-29,29.42,28.66,Positive
2020-06-01,28.56,28.78,Positive
2020-06-02,28.92,29.14,Positive
2020-06-03,29.26,28.87,Positive
2020-06-04,29.41,30.22,Positive
2020-06-05,30.21,29.95,Positive
2020-06-08,30.96,30.25,Positive
2020-06-09,30.66,31.68,Negative
2020-06-10,31.06,30.33,Negative
2020-06-11,30.25,29.73,Negative
2020-06-12,28.71,27.62,Positive
2020-06-15,28.38,27.95,Positive
2020-06-16,27.03,28.86,Negative
2020-06-17,29.7,28.02,Positive
2020-06-18,28.0,27.76,Positive
2020-06-19,27.57,28.66,Negative
2020-06-22,29.15,27.82,Negative
2020-06-23,27.4,27.6,Negative
2020-06-24,28.16,27.81,Negative
2020-06-25,27.39,27.01,Negative
2020-06-26,26.75,26.75,Negative
2020-06-29,26.62,25.75,Positive
2020-06-30,25.99,26.79,Neutral
2020-07-01,26.76,26.84,Negative
2020-07-02,26.8,26.92,Negative
2020-07-06,27.46,26.55,Negative
2020-07-07,27.0,26.53,Negative
2020-07-08,26.26,25.77,Negative
2020-07-09,25.76,25.39,Negative
2020-07-10,25.28,24.46,Positive
2020-07-13,24.45,25.39,Positive
2020-07-14,25.38,25.05,Positive
2020-07-15,24.54,25.13,Positive
2020-07-16,25.33,26.25,Negative
2020-07-17,25.95,26.4,Negative
2020-07-20,26.51,25.26,Positive
2020-07-21,25.08,24.82,Positive
2020-07-22,24.98,25.35,Positive
2020-07-23,25.25,25.87,Positive
2020-07-24,25.92,26.13,Negative
2020-07-27,26.48,26.49,Negative
2020-07-28,26.38,25.69,Positive
2020-07-29,25.52,25.71,Positive
2020-07-30,25.67,25.92,Neutral
2020-07-31,25.38,25.88,Positive
2020-08-03,25.65,25.77,Positive
2020-08-04,25.87,26.25,Negative
2020-08-05,26.42,26.71,Negative
2020-08-06,25.02,24.85,Positive
2020-08-07,24.98,25.16,Negative
2020-08-10,24.94,24.89,Positive
2020-08-11,24.9,24.68,Positive
2020-08-12,24.91,24.94,Positive
2020-08-13,25.17,25.21,Positive
2020-08-14,25.19,25.69,Positive
2020-08-17,25.67,25.82,Neutral
2020-08-18,25.93,25.71,Positive
2020-08-19,25.66,25.73,Positive
2020-08-20,25.78,25.92,Positive
2020-08-21,25.73,25.92,Positive
2020-08-24,25.78,26.01,Positive
2020-08-25,25.99,27.05,Positive
2020-08-26,27.19,26.96,Positive
2020-08-27,26.8,27.15,Positive
2020-08-28,27.59,27.64,Positive
2020-08-31,27.83,27.92,Negative
2020-09-01,27.9,27.8,Negative
2020-09-02,27.36,27.49,Positive
2020-09-03,27.58,27.99,Negative
2020-09-04,28.38,27.51,Positive
2020-09-08,27.93,27.76,Positive
2020-09-09,27.59,27.84,Positive
2020-09-10,27.97,28.29,Neutral
2020-09-11,28.37,28.15,Positive
2020-09-14,28.15,28.14,Positive
2020-09-15,28.31,28.7,Positive
2020-09-16,28.76,28.64,Positive
2020-09-17,28.79,29.46,Negative
2020-09-18,28.85,28.77,Negative
2020-09-21,28.72,28.0,Negative
2020-09-22,27.59,26.89,Negative
2020-09-23,26.9,26.95,Negative
2020-09-24,27.01,25.98,Positive
2020-09-25,26.12,26.22,Positive
2020-09-28,26.01,26.78,Positive
2020-09-29,27.34,27.9,Positive
2020-09-30,27.94,27.82,Positive
2020-10-01,27.95,27.97,Positive
2020-10-02,28.25,28.21,Positive
2020-10-05,27.91,28.17,Positive
2020-10-06,28.42,28.89,Positive
2020-10-07,28.9,28.12,Positive
2020-10-08,28.5,29.11,Positive
2020-10-09,29.35,29.63,Negative
2020-10-12,29.91,29.2,Negative
2020-10-13,29.43,29.13,Negative
2020-10-14,29.0,27.47,Negative
2020-10-15,27.72,27.13,Negative
2020-10-16,26.92,27.2,Negative
2020-10-19,27.15,27.12,Negative
2020-10-20,27.19,26.25,Positive
2020-10-21,26.54,26.18,Positive
2020-10-22,26.08,26.75,Positive
2020-10-23,26.9,27.41,Negative
2020-10-26,27.32,26.93,Negative
2020-10-27,26.74,26.18,Negative
2020-10-28,26.1,26.0,Negative
2020-10-29,25.55,25.02,Positive
2020-10-30,24.9,25.39,Positive
2020-11-02,25.28,26.14,Positive
2020-11-03,26.44,26.89,Negative
2020-11-04,28.29,26.7,Negative
2020-11-05,27.16,25.43,Positive
2020-11-06,25.59,26.37,Negative
2020-11-09,26.25,25.6,Positive
2020-11-10,26.74,26.19,Positive
2020-11-11,25.82,26.7,Negative
2020-11-12,26.74,27.15,Negative
2020-11-13,26.9,25.45,Positive
2020-11-16,25.43,26.21,Positive
2020-11-17,26.55,26.75,Positive
2020-11-18,26.54,27.65,Negative
2020-11-19,27.64,27.13,Positive
2020-11-20,27.05,27.27,Positive
2020-11-23,27.24,27.44,Positive
2020-11-24,27.61,28.04,Positive
2020-11-25,28.36,29.21,Negative
2020-11-27,28.98,28.96,Neutral
2020-11-30,28.88,28.73,Positive
2020-12-01,28.48,28.38,Positive
2020-12-02,28.65,29.7,Neutral
2020-12-03,29.71,30.05,Negative
2020-12-04,30.1,29.77,Negative
2020-12-07,29.94,29.25,Negative
2020-12-08,29.01,29.31,Negative
2020-12-09,29.22,28.9,Negative
2020-12-10,29.04,28.73,Negative
2020-12-11,28.46,28.68,Negative
2020-12-14,28.42,28.72,Negative
2020-12-15,29.09,28.34,Negative
2020-12-16,28.49,28.21,Negative
2020-12-17,28.26,28.11,Negative
2020-12-18,28.3,28.16,Negative
2020-12-21,28.1,27.79,Negative
2020-12-22,27.53,27.39,Positive
2020-12-23,27.35,26.98,Positive
2020-12-24,27.08,27.75,Positive
2020-12-28,27.75,28.0,Positive
2020-12-29,28.05,28.88,Negative
