Date,OpenPrice,ClosePrice,PriceDirection
04/01/2017,33.21,33.57,Negative
05/01/2017,34.13,34.3,Negative
06/01/2017,34.19,33.75,Negative
09/01/2017,33.78,32.01,Negative
10/01/2017,31.71,30.95,Negative
11/01/2017,30.9,30.71,Negative
12/01/2017,30.73,31.05,Negative
13/01/2017,31.39,30.55,Negative
17/01/2017,30.12,30.03,Neutral
18/01/2017,30.33,30.05,Neutral
19/01/2017,29.93,30.21,Negative
20/01/2017,30.26,29.85,Positive
23/01/2017,30.28,29.98,Positive
24/01/2017,29.75,29.3,Positive
25/01/2017,29.59,30.59,Negative
26/01/2017,30.66,30.86,Negative
27/01/2017,30.84,29.7,Negative
30/01/2017,29.8,29.09,Negative
31/01/2017,28.98,29.39,Negative
01/02/2017,29.54,28.97,Negative
02/02/2017,29.44,28.12,Positive
03/02/2017,28.24,28.17,Positive
06/02/2017,28.25,28.66,Positive
07/02/2017,28.67,28.59,Positive
08/02/2017,28.75,28.43,Positive
09/02/2017,28.25,29.55,Positive
10/02/2017,29.87,30.18,Negative
13/02/2017,30.49,30.15,Negative
14/02/2017,29.83,29.66,Positive
15/02/2017,29.53,29.92,Positive
16/02/2017,29.84,30.15,Negative
17/02/2017,30.17,30.0,Negative
21/02/2017,29.75,29.92,Negative
22/02/2017,30.09,29.99,Negative
23/02/2017,29.41,28.9,Neutral
24/02/2017,29.17,29.4,Negative
27/02/2017,28.82,28.94,Positive
28/02/2017,28.62,28.51,Positive
01/03/2017,28.51,29.28,Negative
02/03/2017,29.6,29.38,Negative
03/03/2017,29.26,28.13,Negative
06/03/2017,28.24,28.09,Negative
07/03/2017,28.01,28.21,Negative
08/03/2017,28.23,27.41,Negative
09/03/2017,27.42,27.27,Positive
10/03/2017,27.15,27.01,Positive
13/03/2017,27.16,27.45,Positive
14/03/2017,27.53,27.88,Positive
15/03/2017,27.57,27.59,Positive
16/03/2017,27.86,28.31,Positive
17/03/2017,28.49,28.5,Negative
20/03/2017,28.59,28.28,Negative
21/03/2017,28.21,28.54,Negative
22/03/2017,28.5,27.52,Negative
23/03/2017,27.38,27.53,Negative
24/03/2017,27.56,27.04,Negative
27/03/2017,27.18,26.65,Positive
28/03/2017,26.46,26.61,Positive
29/03/2017,26.7,26.8,Positive
30/03/2017,27.04,28.47,Negative
31/03/2017,28.45,28.1,Negative
03/04/2017,28.02,28.34,Negative
04/04/2017,28.3,27.71,Negative
05/04/2017,27.71,27.77,Negative
06/04/2017,27.77,26.89,Negative
07/04/2017,27.01,26.38,Positive
10/04/2017,26.36,26.6,Positive
11/04/2017,26.64,27.28,Positive
12/04/2017,27.24,27.85,Negative
13/04/2017,27.85,27.82,Negative
17/04/2017,27.94,27.35,Negative
18/04/2017,27.33,27.28,Negative
19/04/2017,27.08,26.94,Positive
20/04/2017,26.98,26.43,Positive
21/04/2017,26.53,26.85,Positive
24/04/2017,26.94,27.88,Positive
25/04/2017,28.18,28.82,Negative
26/04/2017,28.83,28.76,Negative
27/04/2017,28.69,28.26,Negative
28/04/2017,28.0,28.24,Neutral
01/05/2017,28.4,28.14,Negative
02/05/2017,28.14,28.11,Negative
03/05/2017,28.27,28.34,Negative
04/05/2017,26.9,27.18,Negative
05/05/2017,26.61,26.04,Positive
08/05/2017,26.2,26.94,Positive
09/05/2017,26.85,27.59,Positive
10/05/2017,27.61,27.79,Positive
11/05/2017,27.94,28.23,Negative
12/05/2017,28.23,27.74,Negative
15/05/2017,27.9,27.64,Negative
