Date,OpenPrice,ClosePrice,PriceDirection
04/01/2017,115.78,115.84,Positive
05/01/2017,115.5,115.65,Positive
06/01/2017,116.0,116.86,Negative
09/01/2017,116.67,116.3,Negative
10/01/2017,116.35,116.28,Negative
11/01/2017,116.03,116.16,Negative
12/01/2017,116.08,114.73,Neutral
13/01/2017,114.27,114.62,Neutral
17/01/2017,114.94,114.6,Neutral
18/01/2017,113.94,114.87,Negative
19/01/2017,114.94,114.7,Negative
20/01/2017,114.68,114.2,Negative
23/01/2017,114.49,114.15,Negative
24/01/2017,114.51,113.91,Negative
25/01/2017,112.91,111.76,Positive
26/01/2017,111.93,112.8,Neutral
27/01/2017,112.0,111.84,Positive
30/01/2017,112.0,113.38,Neutral
31/01/2017,113.4,113.13,Neutral
01/02/2017,112.79,113.25,Positive
02/02/2017,112.48,113.23,Positive
03/02/2017,112.82,113.57,Neutral
06/02/2017,113.5,113.64,Neutral
07/02/2017,113.46,113.4,Positive
08/02/2017,113.6,113.48,Positive
09/02/2017,113.3,113.4,Positive
10/02/2017,113.47,114.08,Positive
13/02/2017,114.32,115.24,Positive
14/02/2017,115.28,115.88,Positive
15/02/2017,115.44,116.36,Positive
16/02/2017,115.9,117.2,Positive
17/02/2017,117.0,118.08,Positive
21/02/2017,118.19,118.86,Positive
22/02/2017,118.4,119.66,Positive
23/02/2017,119.28,119.52,Positive
24/02/2017,119.52,121.7,Positive
27/02/2017,121.5,122.73,Neutral
28/02/2017,122.13,122.4,Positive
01/03/2017,122.01,122.21,Positive
02/03/2017,122.49,123.86,Neutral
03/03/2017,123.75,123.63,Neutral
06/03/2017,123.41,123.79,Neutral
07/03/2017,123.01,123.71,Positive
08/03/2017,122.58,123.83,Positive
09/03/2017,123.75,124.1,Positive
10/03/2017,124.58,125.95,Positive
13/03/2017,126.04,126.21,Positive
14/03/2017,125.83,126.68,Positive
15/03/2017,126.86,127.05,Positive
16/03/2017,127.05,128.96,Negative
17/03/2017,128.44,128.46,Negative
20/03/2017,128.45,128.06,Negative
21/03/2017,128.04,128.07,Negative
22/03/2017,128.38,127.25,Negative
23/03/2017,127.05,126.26,Negative
24/03/2017,126.1,125.9,Negative
27/03/2017,125.86,125.48,Neutral
28/03/2017,125.16,125.8,Negative
29/03/2017,125.62,125.66,Negative
30/03/2017,125.05,124.92,Negative
31/03/2017,124.74,124.66,Neutral
03/04/2017,124.11,124.55,Neutral
04/04/2017,124.73,124.69,Neutral
05/04/2017,124.51,124.68,Neutral
06/04/2017,124.72,124.8,Neutral
07/04/2017,124.85,125.05,Negative
10/04/2017,125.12,124.92,Negative
11/04/2017,124.87,124.34,Positive
12/04/2017,124.26,124.22,Positive
13/04/2017,124.54,125.4,Negative
17/04/2017,125.13,124.99,Negative
18/04/2017,125.02,125.72,Negative
19/04/2017,123.18,121.82,Neutral
20/04/2017,122.1,121.37,Positive
21/04/2017,121.86,121.87,Positive
24/04/2017,121.78,121.76,Positive
25/04/2017,122.52,122.89,Positive
26/04/2017,123.34,123.43,Neutral
27/04/2017,123.79,123.51,Neutral
28/04/2017,123.58,123.74,Neutral
01/05/2017,123.85,123.47,Neutral
02/05/2017,123.4,123.34,Positive
03/05/2017,123.52,123.7,Neutral
04/05/2017,123.59,123.33,Neutral
05/05/2017,123.69,123.95,Negative
08/05/2017,123.8,123.51,Negative
09/05/2017,123.53,123.25,Neutral
10/05/2017,123.23,123.21,Neutral
11/05/2017,122.91,122.81,Positive
12/05/2017,122.5,123.2,Positive
15/05/2017,123.11,123.64,Positive
16/05/2017,124.41,126.99,Neutral
17/05/2017,127.34,127.77,Negative
18/05/2017,126.6,126.67,Positive
19/05/2017,126.46,126.97,Positive
22/05/2017,127.03,127.0,Positive
23/05/2017,126.63,127.26,Positive
24/05/2017,127.31,127.52,Neutral
25/05/2017,127.79,127.51,Negative
26/05/2017,126.74,127.53,Neutral
30/05/2017,127.23,126.92,Positive
31/05/2017,126.7,127.11,Positive
01/06/2017,127.35,128.25,Positive
02/06/2017,128.32,128.78,Positive
05/06/2017,129.05,130.08,Positive
06/06/2017,129.97,130.36,Positive
07/06/2017,130.18,130.83,Neutral
08/06/2017,131.0,130.75,Positive
09/06/2017,131.0,130.55,Positive
12/06/2017,130.37,131.53,Positive
13/06/2017,131.64,131.82,Positive
14/06/2017,131.75,132.02,Positive
15/06/2017,132.51,132.77,Positive
16/06/2017,132.0,133.04,Positive
19/06/2017,133.72,134.35,Neutral
20/06/2017,134.15,134.07,Positive
21/06/2017,133.9,134.22,Positive
22/06/2017,134.29,134.91,Positive
23/06/2017,135.45,136.05,Neutral
26/06/2017,135.45,136.43,Negative
27/06/2017,136.48,136.34,Negative
28/06/2017,136.5,135.01,Negative
29/06/2017,135.95,133.82,Negative
30/06/2017,133.4,132.64,Positive
03/07/2017,132.7,132.29,Positive
05/07/2017,132.79,132.9,Neutral
06/07/2017,132.98,133.64,Negative
07/07/2017,133.61,132.52,Negative
10/07/2017,132.91,132.54,Negative
11/07/2017,132.74,131.55,Neutral
12/07/2017,131.43,131.23,Positive
13/07/2017,132.04,132.23,Neutral
14/07/2017,132.1,131.86,Positive
17/07/2017,132.0,132.6,Positive
18/07/2017,132.71,132.15,Positive
19/07/2017,131.62,134.46,Positive
20/07/2017,134.84,135.21,Neutral
21/07/2017,135.73,136.57,Negative
24/07/2017,135.33,135.31,Negative
25/07/2017,134.99,133.01,Negative
26/07/2017,133.74,131.88,Negative
27/07/2017,131.66,130.95,Positive
28/07/2017,130.85,130.83,Positive
31/07/2017,131.14,131.85,Positive
01/08/2017,132.14,132.72,Neutral
02/08/2017,133.17,132.51,Positive
03/08/2017,132.08,132.16,Positive
04/08/2017,131.91,133.35,Negative
07/08/2017,133.74,133.18,Negative
08/08/2017,133.09,132.86,Neutral
09/08/2017,132.5,132.27,Positive
10/08/2017,132.81,133.23,Neutral
11/08/2017,133.04,133.09,Neutral
14/08/2017,133.64,133.1,Positive
15/08/2017,134.2,133.48,Neutral
16/08/2017,133.85,133.38,Neutral
17/08/2017,134.08,134.17,Negative
18/08/2017,134.18,133.04,Positive
21/08/2017,132.67,132.63,Positive
22/08/2017,132.28,133.45,Neutral
23/08/2017,133.27,134.7,Negative
24/08/2017,134.43,132.8,Negative
25/08/2017,132.82,132.89,Negative
28/08/2017,131.91,131.68,Neutral
29/08/2017,131.68,131.74,Neutral
30/08/2017,131.57,132.21,Negative
31/08/2017,132.0,131.07,Neutral
01/09/2017,131.39,132.37,Negative
05/09/2017,132.6,131.03,Neutral
06/09/2017,130.72,129.9,Positive
07/09/2017,130.54,130.67,Positive
08/09/2017,130.86,132.19,Neutral
11/09/2017,132.0,130.98,Positive
12/09/2017,131.37,133.21,Neutral
13/09/2017,133.83,132.63,Positive
14/09/2017,132.67,132.45,Positive
15/09/2017,132.14,134.18,Positive
18/09/2017,134.79,134.45,Neutral
19/09/2017,134.44,135.38,Negative
20/09/2017,135.02,135.22,Negative
21/09/2017,133.25,133.22,Negative
22/09/2017,133.31,131.75,Negative
25/09/2017,131.99,131.39,Negative
26/09/2017,131.47,131.17,Negative
27/09/2017,131.5,130.94,Negative
28/09/2017,131.0,129.75,Positive
29/09/2017,129.91,129.47,Positive
02/10/2017,129.58,130.01,Positive
03/10/2017,130.16,131.22,Positive
04/10/2017,131.65,132.1,Positive
05/10/2017,132.4,132.89,Positive
06/10/2017,132.89,133.19,Positive
09/10/2017,133.0,133.22,Positive
10/10/2017,133.66,133.45,Positive
11/10/2017,133.56,133.9,Positive
12/10/2017,134.88,136.65,Neutral
13/10/2017,136.34,136.83,Positive
16/10/2017,136.6,136.43,Positive
17/10/2017,136.45,136.12,Positive
18/10/2017,137.67,140.79,Positive
19/10/2017,140.79,140.68,Positive
20/10/2017,140.71,142.04,Positive
23/10/2017,142.38,142.4,Neutral
24/10/2017,142.13,143.62,Negative
25/10/2017,143.38,141.64,Positive
26/10/2017,141.16,142.36,Negative
27/10/2017,142.51,141.81,Negative
30/10/2017,141.0,141.78,Negative
31/10/2017,141.08,140.0,Neutral
01/11/2017,140.02,139.41,Positive
02/11/2017,139.83,139.98,Neutral
03/11/2017,140.11,139.93,Neutral
06/11/2017,139.73,140.08,Neutral
07/11/2017,140.01,139.76,Positive
08/11/2017,140.08,139.77,Positive
09/11/2017,139.7,141.32,Negative
10/11/2017,140.86,140.35,Negative
13/11/2017,140.13,139.56,Neutral
14/11/2017,139.01,139.76,Negative
15/11/2017,139.57,139.49,Negative
16/11/2017,139.23,139.1,Negative
17/11/2017,139.42,138.87,Negative
20/11/2017,138.3,138.0,Neutral
21/11/2017,138.15,137.93,Neutral
22/11/2017,138.45,138.34,Negative
24/11/2017,138.3,137.29,Positive
27/11/2017,137.5,138.01,Positive
28/11/2017,137.51,138.1,Positive
29/11/2017,138.3,140.02,Negative
30/11/2017,140.22,139.81,Negative
01/12/2017,140.06,139.33,Neutral
04/12/2017,139.57,139.98,Neutral
05/12/2017,140.62,139.01,Positive
06/12/2017,139.88,139.67,Positive
07/12/2017,140.25,141.06,Negative
08/12/2017,141.0,140.01,Positive
11/12/2017,140.0,140.59,Positive
12/12/2017,140.1,141.14,Positive
13/12/2017,142.06,142.6,Neutral
14/12/2017,142.5,142.89,Negative
15/12/2017,143.52,141.65,Positive
18/12/2017,142.48,142.46,Negative
19/12/2017,142.56,141.8,Negative
20/12/2017,141.89,141.78,Negative
21/12/2017,142.26,141.16,Negative
22/12/2017,141.59,141.06,Negative
26/12/2017,141.0,140.12,Positive
27/12/2017,140.46,140.09,Neutral
28/12/2017,140.42,140.57,Negative
29/12/2017,140.7,140.56,Negative
02/01/2018,140.98,139.72,Positive
03/01/2018,139.66,139.23,Positive
04/01/2018,139.36,140.56,Positive
05/01/2018,140.45,140.55,Positive
08/01/2018,140.69,141.71,Positive
09/01/2018,141.7,141.89,Positive
10/01/2018,142.37,144.14,Positive
11/01/2018,143.55,143.97,Positive
12/01/2018,144.13,144.79,Positive
16/01/2018,144.99,145.76,Positive
17/01/2018,146.42,146.86,Neutral
18/01/2018,147.84,146.98,Positive
19/01/2018,146.93,146.92,Negative
22/01/2018,147.46,147.36,Negative
23/01/2018,147.01,148.14,Negative
24/01/2018,146.96,141.83,Positive
25/01/2018,143.5,142.07,Positive
26/01/2018,142.31,144.4,Negative
29/01/2018,144.5,145.33,Negative
30/01/2018,144.85,143.68,Negative
31/01/2018,143.4,142.43,Negative
01/02/2018,142.57,138.19,Negative
02/02/2018,137.53,140.02,Negative
05/02/2018,139.02,137.68,Negative
06/02/2018,136.58,130.39,Negative
07/02/2018,130.01,131.83,Negative
08/02/2018,131.89,131.42,Negative
09/02/2018,130.91,126.36,Positive
12/02/2018,127.52,129.53,Positive
13/02/2018,130.0,130.27,Neutral
14/02/2018,129.21,129.96,Positive
15/02/2018,129.44,129.67,Positive
16/02/2018,130.1,131.23,Neutral
20/02/2018,130.96,133.15,Negative
21/02/2018,132.87,130.87,Neutral
22/02/2018,130.8,129.91,Positive
23/02/2018,130.1,129.91,Positive
26/02/2018,130.09,132.02,Negative
27/02/2018,131.71,132.07,Negative
28/02/2018,132.21,131.67,Negative
01/03/2018,131.95,129.88,Negative
02/03/2018,129.11,127.28,Positive
05/03/2018,126.91,128.82,Neutral
06/03/2018,128.63,129.79,Neutral
07/03/2018,130.0,128.22,Positive
08/03/2018,127.48,129.04,Positive
09/03/2018,129.33,132.06,Positive
12/03/2018,132.51,133.8,Negative
13/03/2018,133.8,132.63,Positive
14/03/2018,133.8,134.35,Negative
15/03/2018,135.24,132.32,Neutral
16/03/2018,132.55,133.06,Negative
19/03/2018,133.16,133.68,Negative
20/03/2018,133.35,130.24,Negative
21/03/2018,130.78,131.21,Negative
22/03/2018,131.4,131.19,Negative
23/03/2018,130.47,127.38,Negative
26/03/2018,127.63,125.1,Positive
27/03/2018,126.41,127.39,Neutral
28/03/2018,127.11,127.21,Negative
29/03/2018,127.63,127.45,Negative
02/04/2018,127.97,128.15,Negative
03/04/2018,127.82,124.56,Positive
04/04/2018,125.18,128.35,Positive
05/04/2018,126.9,130.41,Negative
06/04/2018,130.41,130.71,Negative
09/04/2018,130.22,128.1,Positive
10/04/2018,128.65,129.48,Positive
11/04/2018,130.25,130.25,Neutral
12/04/2018,129.14,129.63,Positive
13/04/2018,130.09,130.43,Positive
16/04/2018,131.09,130.62,Negative
17/04/2018,131.41,131.76,Negative
18/04/2018,132.11,130.54,Negative
19/04/2018,129.69,127.72,Negative
20/04/2018,127.63,127.55,Negative
23/04/2018,128.0,126.66,Neutral
24/04/2018,126.88,126.83,Neutral
25/04/2018,126.94,126.19,Positive
26/04/2018,125.91,126.76,Positive
27/04/2018,126.62,128.01,Negative
30/04/2018,127.73,128.27,Negative
01/05/2018,128.86,126.49,Negative
02/05/2018,126.32,126.01,Negative
03/05/2018,125.52,123.5,Neutral
04/05/2018,123.3,123.03,Positive
07/05/2018,122.6,124.19,Negative
08/05/2018,124.14,123.59,Neutral
09/05/2018,122.86,122.61,Positive
10/05/2018,122.99,123.51,Positive
11/05/2018,124.22,125.35,Positive
14/05/2018,125.77,127.24,Negative
15/05/2018,127.35,126.06,Negative
16/05/2018,125.54,125.13,Negative
17/05/2018,125.44,125.35,Negative
18/05/2018,125.49,123.85,Neutral
21/05/2018,123.78,124.24,Negative
22/05/2018,124.62,123.72,Negative
23/05/2018,123.8,122.91,Negative
24/05/2018,122.87,123.45,Negative
25/05/2018,123.22,122.25,Negative
29/05/2018,121.56,121.47,Negative
30/05/2018,120.5,119.4,Positive
31/05/2018,120.12,120.97,Neutral
01/06/2018,120.92,119.62,Positive
04/06/2018,120.38,121.26,Positive
05/06/2018,121.85,121.95,Positive
06/06/2018,122.05,121.48,Positive
07/06/2018,121.97,122.79,Positive
08/06/2018,123.0,123.33,Neutral
11/06/2018,123.36,124.06,Negative
12/06/2018,124.27,122.66,Neutral
13/06/2018,123.16,122.54,Neutral
14/06/2018,123.15,122.63,Negative
15/06/2018,122.71,122.41,Neutral
18/06/2018,122.1,122.61,Negative
19/06/2018,121.61,121.32,Positive
20/06/2018,120.66,122.57,Negative
21/06/2018,122.42,122.04,Positive
22/06/2018,121.83,121.45,Positive
25/06/2018,121.68,122.84,Negative
26/06/2018,122.82,122.59,Negative
27/06/2018,122.49,122.35,Negative
28/06/2018,122.13,121.61,Neutral
29/06/2018,121.78,122.0,Neutral
02/07/2018,122.24,121.34,Positive
03/07/2018,121.34,121.58,Positive
05/07/2018,121.65,122.71,Positive
06/07/2018,123.6,125.0,Positive
09/07/2018,125.16,125.75,Positive
10/07/2018,126.22,126.05,Positive
11/07/2018,126.37,127.38,Negative
12/07/2018,127.41,126.24,Neutral
13/07/2018,127.71,127.76,Negative
16/07/2018,125.32,125.93,Positive
17/07/2018,126.0,124.69,Positive
18/07/2018,128.53,129.11,Negative
19/07/2018,128.81,127.8,Negative
20/07/2018,127.53,125.94,Positive
23/07/2018,125.3,125.85,Positive
24/07/2018,125.75,126.63,Positive
25/07/2018,127.24,129.36,Positive
26/07/2018,129.14,128.62,Positive
27/07/2018,129.9,130.28,Positive
30/07/2018,129.98,131.55,Positive
31/07/2018,131.78,132.17,Neutral
01/08/2018,132.28,132.52,Negative
02/08/2018,132.39,132.64,Negative
03/08/2018,132.89,131.25,Positive
06/08/2018,131.18,131.95,Negative
07/08/2018,131.64,132.02,Negative
08/08/2018,131.88,131.46,Negative
09/08/2018,131.49,131.17,Negative
10/08/2018,131.54,131.2,Negative
13/08/2018,131.19,130.75,Negative
14/08/2018,130.72,130.22,Positive
15/08/2018,129.67,129.5,Positive
16/08/2018,129.75,130.43,Positive
17/08/2018,131.02,132.48,Positive
20/08/2018,132.45,134.47,Positive
21/08/2018,134.93,136.88,Negative
22/08/2018,137.0,135.35,Neutral
23/08/2018,135.56,134.61,Positive
24/08/2018,134.61,135.11,Neutral
27/08/2018,135.11,135.95,Negative
28/08/2018,135.5,134.92,Neutral
29/08/2018,134.78,134.32,Positive
30/08/2018,134.32,134.86,Negative
31/08/2018,134.7,134.95,Neutral
04/09/2018,134.6,134.69,Positive
05/09/2018,134.69,133.72,Positive
06/09/2018,133.48,135.86,Positive
07/09/2018,135.5,136.87,Positive
10/09/2018,136.78,137.32,Positive
11/09/2018,137.53,137.21,Positive
12/09/2018,137.64,138.51,Positive
13/09/2018,138.9,139.36,Positive
14/09/2018,139.89,139.89,Neutral
17/09/2018,140.0,139.49,Positive
18/09/2018,139.33,139.96,Positive
19/09/2018,140.27,140.54,Positive
20/09/2018,140.76,140.46,Positive
21/09/2018,140.82,141.98,Negative
24/09/2018,142.18,142.88,Negative
25/09/2018,142.1,140.47,Negative
26/09/2018,140.53,138.64,Negative
27/09/2018,138.95,138.16,Positive
28/09/2018,138.45,138.22,Positive
01/10/2018,138.1,138.17,Positive
02/10/2018,138.26,139.69,Neutral
03/10/2018,139.79,140.48,Negative
04/10/2018,140.54,139.03,Neutral
05/10/2018,138.55,139.35,Neutral
08/10/2018,139.8,139.1,Negative
09/10/2018,138.9,139.39,Negative
10/10/2018,138.74,139.2,Negative
11/10/2018,139.35,137.73,Negative
12/10/2018,137.91,133.84,Positive
15/10/2018,134.4,133.87,Positive
16/10/2018,133.88,133.95,Positive
17/10/2018,134.75,136.56,Positive
18/10/2018,136.23,139.46,Negative
19/10/2018,139.2,139.5,Negative
22/10/2018,138.34,139.05,Negative
23/10/2018,138.61,138.68,Negative
24/10/2018,137.79,138.93,Negative
25/10/2018,138.52,137.47,Neutral
26/10/2018,137.46,138.47,Neutral
29/10/2018,137.94,136.97,Positive
30/10/2018,136.99,137.55,Positive
31/10/2018,137.93,140.75,Neutral
01/11/2018,141.0,139.99,Positive
02/11/2018,140.07,140.82,Positive
05/11/2018,141.97,140.68,Positive
06/11/2018,141.0,142.2,Positive
07/11/2018,141.53,142.57,Positive
08/11/2018,143.1,144.75,Positive
09/11/2018,144.31,145.3,Neutral
12/11/2018,145.04,145.34,Negative
13/11/2018,144.99,145.62,Negative
14/11/2018,146.19,144.68,Neutral
15/11/2018,145.02,144.25,Positive
16/11/2018,143.41,144.5,Positive
19/11/2018,144.71,145.99,Negative
20/11/2018,146.43,147.73,Negative
21/11/2018,147.5,146.45,Negative
23/11/2018,146.23,141.99,Neutral
26/11/2018,141.85,142.23,Positive
27/11/2018,142.0,141.37,Positive
28/11/2018,140.57,143.22,Positive
29/11/2018,143.83,146.44,Neutral
30/11/2018,145.62,145.85,Positive
03/12/2018,145.34,146.9,Negative
04/12/2018,145.57,146.21,Negative
06/12/2018,146.32,146.03,Negative
07/12/2018,144.5,145.91,Neutral
10/12/2018,145.49,145.43,Positive
11/12/2018,145.39,145.26,Positive
12/12/2018,146.29,146.5,Negative
13/12/2018,147.0,147.1,Negative
14/12/2018,146.96,147.84,Negative
17/12/2018,144.34,133.0,Negative
18/12/2018,128.32,129.14,Negative
19/12/2018,132.05,130.42,Negative
20/12/2018,129.87,127.61,Negative
21/12/2018,127.72,128.27,Negative
24/12/2018,127.8,128.09,Negative
26/12/2018,127.3,122.84,Positive
27/12/2018,123.42,126.71,Positive
28/12/2018,125.87,127.41,Positive
31/12/2018,127.91,127.27,Neutral
02/01/2019,128.18,129.05,Negative
03/01/2019,128.13,127.75,Negative
04/01/2019,128.13,125.72,Positive
07/01/2019,127.12,127.83,Positive
08/01/2019,127.63,127.01,Positive
09/01/2019,128.18,129.96,Negative
10/01/2019,129.83,128.93,Positive
11/01/2019,127.69,129.71,Negative
14/01/2019,129.0,129.75,Negative
15/01/2019,128.74,128.28,Positive
16/01/2019,128.52,129.36,Neutral
17/01/2019,129.41,128.04,Positive
18/01/2019,127.71,129.09,Positive
22/01/2019,129.9,130.69,Negative
23/01/2019,128.2,128.8,Negative
24/01/2019,128.5,128.8,Negative
25/01/2019,128.49,127.03,Positive
28/01/2019,128.13,128.23,Positive
29/01/2019,127.81,128.99,Positive
30/01/2019,128.95,130.33,Positive
31/01/2019,130.37,131.64,Positive
01/02/2019,131.63,133.08,Neutral
04/02/2019,134.02,134.2,Negative
05/02/2019,133.96,132.88,Neutral
06/02/2019,133.52,132.88,Negative
07/02/2019,133.08,133.0,Negative
08/02/2019,132.45,132.05,Positive
11/02/2019,131.95,132.4,Positive
12/02/2019,132.31,132.0,Positive
13/02/2019,132.08,134.16,Positive
14/02/2019,134.07,134.45,Positive
15/02/2019,134.3,134.31,Positive
