Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,62.79,62.58,Neutral
2017-01-05,62.48,62.3,Positive
2017-01-06,62.19,62.3,Positive
2017-01-09,62.3,62.84,Neutral
2017-01-10,62.76,62.64,Positive
2017-01-11,62.73,62.62,Positive
2017-01-12,62.61,63.19,Negative
2017-01-13,63.06,62.61,Neutral
2017-01-17,62.62,62.7,Negative
2017-01-18,62.68,62.53,Neutral
2017-01-19,62.67,62.5,Positive
2017-01-20,62.24,62.3,Positive
2017-01-23,62.67,62.74,Positive
2017-01-24,62.7,62.96,Positive
2017-01-25,63.2,63.52,Positive
2017-01-26,63.95,63.68,Positive
2017-01-27,64.12,64.27,Positive
2017-01-30,65.39,65.78,Negative
2017-01-31,65.69,65.13,Negative
2017-02-01,64.86,64.65,Negative
2017-02-02,64.36,63.58,Neutral
2017-02-03,63.25,63.17,Positive
2017-02-06,63.5,63.68,Negative
2017-02-07,63.5,63.64,Neutral
2017-02-08,63.74,63.43,Positive
2017-02-09,63.57,63.34,Positive
2017-02-10,63.52,64.06,Positive
2017-02-13,64.25,64.0,Positive
2017-02-14,64.24,64.72,Negative
2017-02-15,64.41,64.57,Neutral
2017-02-16,64.5,64.53,Neutral
2017-02-17,64.74,64.52,Neutral
2017-02-21,64.47,64.62,Negative
2017-02-22,64.61,64.49,Neutral
2017-02-23,64.33,64.36,Positive
2017-02-24,64.42,64.62,Negative
2017-02-27,64.53,64.62,Negative
2017-02-28,64.54,64.23,Neutral
2017-03-01,64.08,63.98,Positive
2017-03-02,64.13,64.94,Negative
2017-03-03,64.69,64.01,Positive
2017-03-06,63.99,64.25,Positive
2017-03-07,63.97,64.27,Positive
2017-03-08,64.19,64.4,Positive
2017-03-09,64.26,64.99,Negative
2017-03-10,65.19,64.73,Neutral
2017-03-13,65.11,64.93,Negative
2017-03-14,65.01,64.71,Neutral
2017-03-15,64.53,64.41,Positive
2017-03-16,64.55,64.75,Neutral
2017-03-17,64.75,64.64,Neutral
2017-03-20,64.91,64.87,Negative
2017-03-21,64.91,64.93,Negative
2017-03-22,65.19,64.21,Positive
2017-03-23,64.12,65.03,Neutral
2017-03-24,64.94,64.87,Positive
2017-03-27,65.12,64.98,Positive
2017-03-28,64.63,65.1,Positive
2017-03-29,64.96,65.29,Positive
2017-03-30,65.12,65.47,Positive
2017-03-31,65.42,65.71,Neutral
2017-04-03,65.65,65.86,Negative
2017-04-04,65.81,65.55,Neutral
2017-04-05,65.39,65.73,Neutral
2017-04-06,66.3,65.56,Neutral
2017-04-07,65.6,65.73,Negative
2017-04-10,65.85,65.68,Negative
2017-04-11,65.61,65.53,Negative
2017-04-12,65.6,65.48,Negative
2017-04-13,65.42,65.23,Neutral
2017-04-17,65.29,64.95,Positive
2017-04-18,65.04,65.48,Negative
2017-04-19,65.33,65.39,Positive
2017-04-20,65.65,65.04,Positive
2017-04-21,65.46,65.5,Positive
2017-04-24,65.67,66.4,Positive
2017-04-25,67.48,67.53,Positive
2017-04-26,67.9,67.92,Positive
2017-04-27,68.08,67.83,Positive
2017-04-28,68.15,68.27,Positive
2017-05-01,68.91,68.46,Positive
2017-05-02,68.68,69.41,Negative
2017-05-03,69.71,69.3,Negative
2017-05-04,69.38,69.08,Negative
2017-05-05,69.03,68.81,Positive
2017-05-08,68.9,69.0,Neutral
2017-05-09,68.97,68.94,Neutral
2017-05-10,68.86,69.04,Negative
2017-05-11,68.99,69.31,Negative
2017-05-12,68.36,68.46,Positive
2017-05-15,68.61,68.38,Neutral
2017-05-16,68.14,68.43,Negative
2017-05-17,68.23,69.41,Negative
2017-05-18,68.89,67.48,Positive
2017-05-19,67.4,67.71,Positive
2017-05-22,67.5,67.69,Positive
2017-05-23,67.89,68.45,Positive
2017-05-24,68.72,68.68,Positive
2017-05-25,68.87,68.77,Positive
2017-05-26,68.97,69.62,Positive
2017-05-30,69.8,69.96,Positive
2017-05-31,69.79,70.41,Positive
2017-06-01,70.53,69.84,Positive
2017-06-02,70.24,70.1,Positive
2017-06-05,70.44,71.76,Positive
2017-06-06,71.97,72.28,Neutral
2017-06-07,72.3,72.52,Negative
2017-06-08,72.64,72.39,Negative
2017-06-09,72.51,71.95,Negative
2017-06-12,72.03,70.32,Neutral
2017-06-13,69.25,69.78,Positive
2017-06-14,70.02,70.65,Negative
2017-06-15,70.91,70.27,Neutral
2017-06-16,69.27,69.9,Positive
2017-06-19,69.73,70.0,Positive
2017-06-20,70.5,70.87,Negative
2017-06-21,70.82,69.91,Positive
2017-06-22,70.21,70.27,Positive
2017-06-23,70.54,70.26,Neutral
2017-06-26,70.09,71.21,Negative
2017-06-27,71.4,70.53,Negative
2017-06-28,70.11,69.21,Neutral
2017-06-29,69.21,69.8,Negative
2017-06-30,69.38,68.49,Positive
2017-07-03,68.78,68.93,Negative
2017-07-05,69.33,68.17,Positive
2017-07-06,68.25,69.08,Positive
2017-07-07,68.27,68.57,Positive
2017-07-10,68.7,69.46,Positive
2017-07-11,69.46,69.98,Positive
2017-07-12,70.0,69.99,Positive
2017-07-13,70.69,71.15,Positive
2017-07-14,71.5,71.77,Positive
2017-07-17,72.24,72.78,Positive
2017-07-18,72.8,73.35,Positive
2017-07-19,73.09,73.3,Positive
2017-07-20,73.5,73.86,Neutral
2017-07-21,74.18,74.22,Negative
2017-07-24,73.45,73.79,Positive
2017-07-25,73.53,73.6,Positive
2017-07-26,73.8,74.19,Negative
2017-07-27,74.34,74.05,Negative
2017-07-28,73.76,73.16,Negative
2017-07-31,72.67,73.04,Negative
2017-08-01,73.3,72.7,Negative
