Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,124.96,127.49,Positive
2017-01-05,127.49,129.41,Positive
2017-01-06,129.22,131.81,Negative
2017-01-09,132.08,131.07,Negative
2017-01-10,131.48,130.95,Negative
2017-01-11,131.27,129.89,Positive
2017-01-12,130.91,130.5,Positive
2017-01-13,130.63,129.18,Positive
2017-01-17,131.15,133.7,Positive
2017-01-18,135.04,132.89,Positive
2017-01-19,133.21,133.26,Positive
2017-01-20,142.01,138.41,Positive
2017-01-23,139.36,138.6,Positive
2017-01-24,138.65,137.39,Positive
2017-01-25,138.11,140.11,Neutral
2017-01-26,140.8,139.52,Positive
2017-01-27,140.45,138.96,Positive
2017-01-30,139.46,142.45,Negative
2017-01-31,141.77,141.22,Negative
2017-02-01,140.55,140.71,Negative
2017-02-02,141.2,140.78,Negative
2017-02-03,140.61,139.2,Positive
2017-02-06,139.51,140.25,Positive
2017-02-07,140.0,140.97,Positive
2017-02-08,141.49,144.0,Positive
2017-02-09,143.57,144.74,Negative
2017-02-10,144.98,144.14,Negative
2017-02-13,144.68,144.82,Negative
2017-02-14,145.19,143.2,Negative
2017-02-15,143.2,140.82,Positive
2017-02-16,140.72,142.27,Neutral
2017-02-17,142.42,142.01,Positive
2017-02-21,141.75,142.22,Positive
2017-02-22,142.99,142.6,Positive
2017-02-23,142.92,143.86,Negative
2017-02-24,144.45,142.78,Neutral
2017-02-27,141.88,143.25,Negative
2017-02-28,143.12,143.41,Negative
2017-03-01,143.3,142.13,Negative
2017-03-02,142.84,142.65,Negative
2017-03-03,142.15,139.53,Positive
2017-03-06,139.69,139.14,Positive
2017-03-07,141.0,141.94,Negative
2017-03-08,141.99,141.43,Negative
2017-03-09,141.47,140.32,Positive
2017-03-10,140.04,140.53,Positive
2017-03-13,141.39,140.89,Positive
2017-03-14,140.9,143.52,Positive
2017-03-15,142.95,143.19,Positive
2017-03-16,144.2,145.25,Neutral
2017-03-17,145.5,144.39,Neutral
2017-03-20,144.05,145.11,Negative
2017-03-21,145.45,145.83,Negative
2017-03-22,146.75,142.42,Neutral
2017-03-23,142.54,142.65,Neutral
2017-03-24,142.14,141.84,Positive
2017-03-27,142.36,142.02,Positive
2017-03-28,140.83,144.06,Positive
2017-03-29,144.1,145.17,Positive
2017-03-30,145.5,146.47,Positive
2017-03-31,146.81,148.06,Negative
