Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,32.7,33.0,Positive
2017-01-05,33.13,33.29,Positive
2017-01-06,33.37,33.61,Negative
2017-01-09,33.66,33.48,Negative
2017-01-10,33.43,33.47,Negative
2017-01-11,33.59,33.44,Negative
2017-01-12,33.37,32.83,Negative
2017-01-13,32.53,32.6,Negative
2017-01-17,32.67,32.52,Negative
2017-01-18,32.35,32.06,Negative
2017-01-19,32.09,32.03,Negative
2017-01-20,32.06,31.7,Negative
2017-01-23,31.72,31.77,Negative
2017-01-24,31.68,31.46,Negative
2017-01-25,31.4,31.15,Positive
2017-01-26,31.36,31.29,Neutral
2017-01-27,31.4,31.28,Positive
2017-01-30,31.47,31.42,Positive
2017-01-31,31.47,31.31,Positive
2017-02-01,31.01,31.73,Positive
2017-02-02,31.51,31.67,Positive
2017-02-03,31.47,31.73,Positive
2017-02-06,32.12,32.09,Neutral
2017-02-07,32.0,32.23,Neutral
2017-02-08,32.32,32.08,Positive
2017-02-09,31.92,32.14,Positive
2017-02-10,32.26,32.38,Positive
2017-02-13,32.41,32.35,Positive
2017-02-14,32.44,32.61,Positive
2017-02-15,32.53,32.75,Positive
2017-02-16,32.78,33.51,Positive
2017-02-17,33.45,33.62,Neutral
2017-02-21,33.59,33.62,Positive
2017-02-22,33.57,33.62,Positive
2017-02-23,33.57,33.59,Positive
2017-02-24,33.7,34.06,Positive
2017-02-27,34.17,34.26,Neutral
2017-02-28,34.23,34.28,Positive
2017-03-01,34.1,34.12,Positive
2017-03-02,34.27,34.42,Neutral
2017-03-03,34.46,34.51,Negative
2017-03-06,34.42,34.52,Negative
2017-03-07,34.33,34.35,Negative
2017-03-08,33.87,33.99,Neutral
2017-03-09,33.91,33.91,Positive
2017-03-10,33.88,34.05,Positive
2017-03-13,34.14,34.11,Positive
2017-03-14,34.14,34.11,Positive
2017-03-15,34.02,34.22,Positive
2017-03-16,34.22,34.63,Negative
2017-03-17,34.57,34.43,Negative
2017-03-20,34.46,34.32,Neutral
2017-03-21,34.4,34.38,Neutral
