Date,OpenPrice,ClosePrice,PriceDirection
04/01/2017,85.16,85.0,Positive
05/01/2017,85.44,86.37,Positive
06/01/2017,86.37,85.33,Positive
09/01/2017,85.37,87.2,Positive
10/01/2017,86.9,87.77,Neutral
11/01/2017,87.7,87.98,Negative
12/01/2017,88.06,88.52,Negative
13/01/2017,88.1,86.88,Negative
17/01/2017,86.96,87.22,Negative
18/01/2017,86.82,85.67,Positive
19/01/2017,85.83,86.66,Neutral
20/01/2017,86.7,85.76,Positive
23/01/2017,86.17,86.05,Positive
24/01/2017,86.44,88.33,Positive
25/01/2017,88.94,92.08,Positive
26/01/2017,95.5,94.7,Negative
27/01/2017,94.63,94.02,Negative
30/01/2017,94.3,93.58,Negative
31/01/2017,93.5,91.82,Positive
01/02/2017,94.83,92.18,Positive
02/02/2017,91.97,93.1,Positive
03/02/2017,92.87,93.37,Positive
06/02/2017,94.25,94.22,Positive
07/02/2017,92.6,94.2,Neutral
08/02/2017,94.14,95.08,Negative
09/02/2017,95.09,94.18,Neutral
10/02/2017,93.96,93.75,Positive
13/02/2017,93.84,94.09,Positive
14/02/2017,94.43,94.87,Positive
15/02/2017,94.42,95.14,Positive
16/02/2017,95.43,95.46,Positive
17/02/2017,95.93,96.62,Negative
21/02/2017,96.04,95.26,Negative
22/02/2017,95.2,95.81,Negative
23/02/2017,95.39,94.0,Negative
24/02/2017,94.8,93.99,Negative
27/02/2017,93.68,93.45,Neutral
28/02/2017,93.45,93.66,Negative
01/03/2017,93.42,92.43,Positive
02/03/2017,93.35,93.75,Negative
03/03/2017,93.75,93.5,Negative
06/03/2017,93.84,93.74,Negative
07/03/2017,93.64,92.34,Positive
08/03/2017,92.5,92.45,Positive
09/03/2017,92.83,92.97,Negative
10/03/2017,92.97,92.78,Negative
13/03/2017,93.34,92.18,Neutral
14/03/2017,92.33,92.02,Positive
15/03/2017,91.73,91.85,Positive
16/03/2017,91.92,92.9,Neutral
17/03/2017,93.36,92.41,Positive
20/03/2017,92.48,92.36,Positive
21/03/2017,92.73,94.41,Negative
22/03/2017,94.56,91.54,Neutral
23/03/2017,91.66,92.12,Negative
24/03/2017,92.12,92.44,Negative
27/03/2017,91.79,90.41,Negative
28/03/2017,89.33,89.21,Positive
29/03/2017,88.91,90.81,Neutral
30/03/2017,90.5,90.05,Positive
31/03/2017,90.12,91.11,Neutral
03/04/2017,90.9,91.62,Negative
04/04/2017,91.7,90.79,Positive
05/04/2017,90.43,91.16,Neutral
06/04/2017,91.4,90.82,Positive
07/04/2017,90.77,91.77,Negative
10/04/2017,91.45,91.04,Negative
11/04/2017,91.33,91.0,Negative
12/04/2017,90.97,91.01,Negative
13/04/2017,91.06,90.18,Positive
17/04/2017,90.16,90.02,Positive
18/04/2017,90.59,91.31,Positive
19/04/2017,91.89,92.48,Positive
20/04/2017,93.19,93.61,Positive
21/04/2017,93.85,93.84,Positive
24/04/2017,94.01,93.73,Positive
25/04/2017,95.0,94.08,Positive
26/04/2017,94.92,94.36,Positive
27/04/2017,94.65,94.54,Positive
28/04/2017,99.25,100.24,Negative
01/05/2017,100.25,98.78,Neutral
02/05/2017,98.96,98.63,Positive
03/05/2017,98.67,98.78,Positive
04/05/2017,98.6,98.91,Positive
05/05/2017,98.97,100.52,Positive
08/05/2017,100.96,102.2,Negative
09/05/2017,102.1,101.31,Positive
10/05/2017,101.32,100.6,Positive
11/05/2017,100.49,102.69,Neutral
12/05/2017,102.49,102.49,Positive
15/05/2017,101.94,102.32,Negative
16/05/2017,102.31,102.88,Negative
17/05/2017,103.11,102.89,Negative
18/05/2017,101.75,100.55,Negative
19/05/2017,99.99,99.22,Positive
22/05/2017,99.22,99.35,Positive
23/05/2017,99.6,99.91,Positive
24/05/2017,100.09,100.0,Positive
25/05/2017,100.19,101.62,Positive
26/05/2017,101.65,101.97,Positive
30/05/2017,101.98,102.18,Positive
31/05/2017,102.02,102.32,Positive
01/06/2017,102.67,102.16,Positive
02/06/2017,102.25,104.0,Neutral
05/06/2017,103.96,104.2,Negative
06/06/2017,104.2,104.09,Negative
07/06/2017,104.07,103.37,Positive
08/06/2017,103.47,103.75,Positive
09/06/2017,103.59,103.77,Positive
12/06/2017,104.39,104.95,Positive
13/06/2017,104.8,105.2,Neutral
14/06/2017,104.67,105.76,Neutral
15/06/2017,106.58,104.95,Positive
16/06/2017,104.73,105.37,Positive
19/06/2017,105.56,107.57,Positive
20/06/2017,108.56,108.3,Negative
21/06/2017,108.18,107.9,Positive
22/06/2017,107.97,107.71,Positive
23/06/2017,107.92,107.73,Positive
26/06/2017,107.87,109.43,Positive
27/06/2017,110.0,111.08,Positive
28/06/2017,110.99,110.61,Positive
29/06/2017,111.23,112.77,Negative
30/06/2017,112.97,111.55,Positive
03/07/2017,112.14,111.39,Positive
05/07/2017,111.71,112.11,Negative
06/07/2017,112.24,111.89,Negative
07/07/2017,111.42,110.84,Positive
10/07/2017,110.99,110.92,Positive
11/07/2017,110.29,112.46,Negative
12/07/2017,112.71,111.29,Positive
13/07/2017,112.08,111.84,Positive
14/07/2017,112.51,113.31,Negative
17/07/2017,113.46,113.11,Negative
18/07/2017,112.71,112.84,Negative
19/07/2017,112.21,111.51,Negative
20/07/2017,112.04,112.28,Negative
