Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,91.79,91.23,Neutral
2017-01-05,90.53,90.42,Positive
2017-01-06,90.69,91.13,Neutral
2017-01-09,91.39,91.84,Negative
2017-01-10,91.09,91.31,Negative
2017-01-11,91.66,90.52,Neutral
2017-01-12,90.65,90.44,Positive
2017-01-13,90.45,90.51,Positive
2017-01-17,90.42,90.4,Positive
2017-01-18,90.63,92.36,Positive
2017-01-19,92.6,93.49,Positive
2017-01-20,93.36,93.85,Positive
2017-01-23,94.13,94.57,Positive
2017-01-24,94.61,94.76,Positive
2017-01-25,94.92,95.78,Positive
2017-01-26,95.67,96.39,Neutral
2017-01-27,96.56,96.36,Negative
2017-01-30,96.58,96.32,Negative
2017-01-31,96.51,95.96,Positive
2017-02-01,96.11,96.13,Positive
2017-02-02,95.61,95.95,Positive
2017-02-03,97.93,98.84,Positive
2017-02-06,99.18,101.11,Positive
2017-02-07,100.83,100.0,Positive
2017-02-08,100.0,101.63,Positive
2017-02-09,101.45,102.63,Neutral
2017-02-10,102.33,102.77,Neutral
2017-02-13,102.32,102.63,Neutral
2017-02-14,102.81,102.73,Neutral
2017-02-15,102.67,102.58,Positive
2017-02-16,102.29,102.93,Positive
2017-02-17,102.9,102.99,Positive
2017-02-21,102.93,103.66,Positive
2017-02-22,103.37,104.56,Positive
2017-02-23,104.49,104.53,Positive
2017-02-24,104.95,106.52,Positive
2017-02-27,106.44,107.72,Positive
2017-02-28,107.53,108.7,Positive
2017-03-01,108.31,109.35,Positive
2017-03-02,109.0,110.22,Negative
2017-03-03,110.0,109.8,Positive
2017-03-06,109.61,110.21,Neutral
2017-03-07,109.81,109.73,Positive
2017-03-08,109.52,110.55,Negative
2017-03-09,110.19,109.72,Positive
2017-03-10,109.94,110.28,Positive
2017-03-13,110.5,110.54,Positive
2017-03-14,110.67,111.02,Positive
2017-03-15,110.72,110.77,Positive
2017-03-16,111.0,112.42,Positive
2017-03-17,112.8,112.7,Positive
2017-03-20,113.2,113.0,Positive
2017-03-21,113.04,114.01,Negative
2017-03-22,113.3,113.49,Negative
2017-03-23,113.9,113.0,Negative
2017-03-24,112.82,112.95,Negative
2017-03-27,112.32,111.79,Positive
2017-03-28,111.23,112.38,Positive
2017-03-29,112.14,112.8,Positive
2017-03-30,112.74,113.4,Negative
2017-03-31,113.16,113.52,Negative
2017-04-03,113.54,112.9,Positive
2017-04-04,112.91,112.91,Neutral
2017-04-05,113.17,113.45,Negative
2017-04-06,113.5,113.19,Neutral
2017-04-07,113.38,112.59,Positive
2017-04-10,112.86,113.6,Neutral
2017-04-11,113.6,113.05,Positive
2017-04-12,113.48,113.42,Positive
2017-04-13,113.69,113.78,Positive
2017-04-17,113.48,113.06,Positive
2017-04-18,113.14,114.74,Negative
2017-04-19,114.69,115.21,Negative
2017-04-20,115.08,113.91,Negative
2017-04-21,109.15,109.98,Positive
2017-04-24,109.78,109.62,Positive
2017-04-25,110.48,112.39,Negative
2017-04-26,112.38,113.09,Negative
2017-04-27,112.86,111.15,Negative
2017-04-28,111.2,110.19,Positive
2017-05-01,110.13,110.84,Negative
2017-05-02,111.0,110.55,Neutral
2017-05-03,110.6,110.47,Positive
2017-05-04,110.4,110.61,Positive
2017-05-05,110.89,111.2,Positive
2017-05-08,111.51,112.25,Negative
2017-05-09,112.09,112.63,Negative
2017-05-10,112.94,111.93,Negative
2017-05-11,111.7,110.83,Positive
2017-05-12,110.73,111.19,Positive
2017-05-15,110.96,111.71,Positive
2017-05-16,111.89,112.36,Positive
2017-05-17,112.95,113.52,Positive
2017-05-18,113.34,113.75,Positive
2017-05-19,113.78,113.58,Positive
2017-05-22,113.99,114.74,Positive
2017-05-23,115.03,116.22,Positive
2017-05-24,116.18,116.46,Positive
2017-05-25,116.86,117.43,Positive
2017-05-26,117.79,119.48,Positive
2017-05-30,119.25,119.83,Positive
2017-05-31,119.25,119.95,Positive
2017-06-01,120.48,119.8,Positive
2017-06-02,120.0,120.9,Positive
2017-06-05,121.35,121.79,Positive
2017-06-06,121.5,121.97,Neutral
2017-06-07,121.77,122.0,Negative
2017-06-08,121.96,122.3,Negative
2017-06-09,121.85,121.11,Negative
2017-06-12,120.97,120.12,Negative
2017-06-13,120.04,119.17,Positive
2017-06-14,118.87,118.69,Positive
2017-06-15,119.0,119.75,Positive
2017-06-16,119.23,120.51,Positive
2017-06-19,119.88,121.84,Neutral
2017-06-20,122.06,122.9,Negative
2017-06-21,122.73,122.11,Negative
2017-06-22,121.1,120.19,Negative
2017-06-23,120.15,119.71,Negative
2017-06-26,119.85,119.56,Negative
2017-06-27,119.69,119.51,Negative
2017-06-28,119.6,118.14,Negative
2017-06-29,118.7,118.93,Negative
2017-06-30,118.4,117.08,Positive
2017-07-03,117.23,117.45,Positive
2017-07-05,117.86,116.9,Positive
2017-07-06,116.17,118.54,Negative
2017-07-07,118.21,118.35,Negative
2017-07-10,118.56,117.9,Neutral
2017-07-11,117.98,118.16,Negative
2017-07-12,118.35,117.21,Positive
2017-07-13,118.15,118.23,Positive
2017-07-14,118.32,117.51,Positive
2017-07-17,118.02,119.13,Positive
2017-07-18,119.44,119.0,Positive
2017-07-19,119.0,119.64,Positive
2017-07-20,119.51,121.62,Negative
2017-07-21,118.66,119.86,Negative
2017-07-24,119.57,119.58,Negative
2017-07-25,119.43,118.89,Negative
2017-07-26,119.53,117.82,Positive
2017-07-27,117.93,117.65,Neutral
2017-07-28,117.65,118.19,Negative
2017-07-31,118.21,118.51,Negative
2017-08-01,117.13,116.71,Negative
2017-08-02,117.01,115.88,Negative
2017-08-03,115.81,114.46,Positive
2017-08-04,114.79,114.49,Positive
2017-08-07,115.43,114.76,Positive
2017-08-08,114.75,115.86,Negative
2017-08-09,115.49,114.67,Neutral
2017-08-10,114.99,115.41,Negative
2017-08-11,115.03,114.22,Positive
2017-08-14,115.05,114.88,Positive
2017-08-15,114.89,114.76,Positive
2017-08-16,114.89,116.82,Negative
2017-08-17,116.77,117.73,Negative
2017-08-18,117.75,115.93,Neutral
2017-08-21,115.75,115.33,Positive
2017-08-22,115.29,116.25,Negative
2017-08-23,116.34,116.23,Negative
2017-08-24,116.01,115.46,Negative
2017-08-25,115.66,114.52,Positive
2017-08-28,115.19,114.8,Positive
2017-08-29,115.22,115.54,Positive
2017-08-30,115.16,116.55,Positive
2017-08-31,116.0,116.43,Positive
2017-09-01,116.73,116.93,Positive
2017-09-05,117.17,117.83,Positive
2017-09-06,117.42,117.67,Positive
2017-09-07,118.0,118.62,Negative
2017-09-08,118.24,118.92,Negative
2017-09-11,119.06,117.06,Neutral
2017-09-12,117.58,117.93,Negative
2017-09-13,118.07,117.05,Negative
2017-09-14,116.74,116.86,Negative
2017-09-15,116.86,116.73,Negative
2017-09-18,116.58,115.79,Negative
2017-09-19,115.69,116.08,Negative
2017-09-20,115.99,115.36,Negative
2017-09-21,115.44,113.43,Negative
2017-09-22,113.3,112.92,Negative
2017-09-25,113.06,112.51,Neutral
2017-09-26,112.77,113.25,Negative
2017-09-27,112.28,112.21,Negative
2017-09-28,111.99,111.61,Negative
2017-09-29,112.17,111.8,Negative
2017-10-02,111.78,111.01,Neutral
2017-10-03,111.23,110.87,Neutral
2017-10-04,110.66,110.19,Positive
2017-10-05,110.48,111.42,Positive
2017-10-06,111.46,111.54,Positive
2017-10-09,111.48,111.27,Positive
2017-10-10,111.58,113.37,Positive
2017-10-11,114.12,115.17,Negative
2017-10-12,114.87,114.26,Negative
2017-10-13,114.66,114.53,Negative
2017-10-16,114.96,113.99,Negative
2017-10-17,114.05,113.52,Negative
2017-10-18,113.12,112.65,Negative
2017-10-19,112.62,112.51,Negative
2017-10-20,109.04,108.15,Positive
2017-10-23,108.56,109.52,Negative
2017-10-24,109.45,109.36,Negative
2017-10-25,109.17,108.57,Negative
2017-10-26,108.41,107.0,Negative
2017-10-27,107.5,106.93,Negative
2017-10-30,106.66,105.94,Negative
2017-10-31,105.71,104.7,Negative
2017-11-01,104.75,104.64,Negative
2017-11-02,104.78,103.75,Negative
2017-11-03,103.71,102.8,Neutral
2017-11-06,103.0,102.66,Neutral
2017-11-07,102.62,102.14,Positive
2017-11-08,102.06,103.02,Neutral
2017-11-09,103.02,103.09,Neutral
2017-11-10,102.91,102.46,Positive
2017-11-13,102.09,103.02,Negative
2017-11-14,103.11,103.51,Negative
2017-11-15,103.39,102.72,Negative
2017-11-16,102.32,102.05,Positive
2017-11-17,102.5,102.66,Neutral
2017-11-20,102.21,102.64,Positive
2017-11-21,102.66,102.54,Positive
2017-11-22,102.93,103.36,Negative
2017-11-24,103.41,103.54,Negative
2017-11-27,103.8,103.18,Negative
2017-11-28,103.25,102.72,Neutral
2017-11-29,102.82,102.88,Neutral
2017-11-30,102.52,102.68,Positive
2017-12-01,102.71,102.75,Positive
2017-12-04,102.83,103.71,Positive
2017-12-05,103.96,104.61,Positive
2017-12-06,104.71,105.46,Positive
2017-12-07,105.54,107.6,Negative
2017-12-08,107.47,106.7,Neutral
2017-12-11,106.51,106.59,Positive
2017-12-12,106.6,106.04,Positive
2017-12-13,106.23,107.3,Positive
2017-12-14,107.09,108.24,Neutral
2017-12-15,108.02,107.68,Positive
2017-12-18,108.43,109.68,Negative
2017-12-19,109.76,107.97,Negative
2017-12-20,108.44,108.12,Negative
2017-12-21,106.0,104.37,Neutral
2017-12-22,104.5,104.78,Negative
2017-12-26,104.83,104.65,Neutral
2017-12-27,104.78,104.11,Positive
2017-12-28,104.55,104.71,Positive
2017-12-29,104.9,104.81,Neutral
2018-01-02,105.08,105.65,Negative
2018-01-03,105.82,104.39,Negative
2018-01-04,104.36,104.26,Negative
2018-01-05,104.24,103.47,Positive
2018-01-08,103.27,104.3,Positive
2018-01-09,103.98,104.14,Positive
