Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,2251.57,2257.83,Positive
2017-01-05,2261.6,2270.75,Neutral
2017-01-06,2268.18,2269.0,Neutral
2017-01-09,2271.14,2276.98,Negative
2017-01-10,2273.59,2268.9,Neutral
2017-01-11,2269.72,2268.9,Positive
2017-01-12,2268.6,2275.32,Neutral
2017-01-13,2271.14,2270.44,Neutral
2017-01-17,2272.74,2274.64,Negative
2017-01-18,2269.14,2267.89,Neutral
2017-01-19,2269.14,2271.89,Negative
2017-01-20,2271.9,2263.69,Positive
2017-01-23,2269.96,2271.31,Positive
2017-01-24,2267.78,2265.2,Positive
2017-01-25,2267.88,2280.07,Positive
2017-01-26,2288.88,2298.37,Negative
2017-01-27,2298.63,2296.68,Negative
2017-01-30,2299.02,2294.69,Negative
2017-01-31,2286.01,2280.9,Neutral
2017-02-01,2274.02,2278.87,Positive
2017-02-02,2285.59,2279.55,Positive
2017-02-03,2276.69,2280.85,Positive
2017-02-06,2288.54,2297.42,Neutral
2017-02-07,2294.28,2292.56,Positive
2017-02-08,2295.87,2293.08,Positive
2017-02-09,2289.55,2294.67,Positive
2017-02-10,2296.7,2307.87,Positive
2017-02-13,2312.27,2316.1,Positive
2017-02-14,2321.72,2328.25,Positive
2017-02-15,2326.12,2337.58,Positive
2017-02-16,2335.58,2349.25,Positive
2017-02-17,2349.64,2347.22,Positive
2017-02-21,2343.01,2351.16,Positive
2017-02-22,2354.91,2365.38,Neutral
2017-02-23,2361.11,2362.82,Neutral
2017-02-24,2367.5,2363.81,Neutral
2017-02-27,2355.73,2367.34,Positive
2017-02-28,2365.23,2369.75,Positive
2017-03-01,2366.08,2363.64,Positive
2017-03-02,2380.13,2395.96,Negative
2017-03-03,2394.75,2381.92,Negative
2017-03-06,2380.92,2383.12,Negative
2017-03-07,2375.23,2375.31,Negative
2017-03-08,2370.74,2368.39,Neutral
2017-03-09,2369.81,2362.98,Positive
2017-03-10,2363.49,2364.87,Positive
2017-03-13,2372.52,2372.6,Neutral
2017-03-14,2371.56,2373.47,Neutral
2017-03-15,2368.55,2365.45,Positive
2017-03-16,2370.34,2385.26,Negative
2017-03-17,2387.71,2381.38,Negative
2017-03-20,2383.71,2378.25,Negative
2017-03-21,2378.24,2373.47,Negative
2017-03-22,2379.32,2344.02,Neutral
2017-03-23,2343.0,2348.45,Neutral
2017-03-24,2345.97,2345.96,Neutral
2017-03-27,2350.42,2343.98,Positive
2017-03-28,2329.11,2341.59,Positive
2017-03-29,2339.79,2358.57,Positive
2017-03-30,2356.54,2361.13,Neutral
2017-03-31,2361.31,2368.06,Negative
2017-04-03,2364.82,2362.72,Negative
2017-04-04,2362.34,2358.84,Neutral
2017-04-05,2354.76,2360.16,Negative
2017-04-06,2366.59,2352.95,Neutral
2017-04-07,2353.79,2357.49,Neutral
2017-04-10,2356.59,2355.54,Neutral
2017-04-11,2357.16,2357.16,Negative
2017-04-12,2353.92,2353.78,Negative
2017-04-13,2352.15,2344.93,Negative
2017-04-17,2341.98,2328.95,Positive
2017-04-18,2332.62,2349.01,Neutral
2017-04-19,2342.53,2342.19,Positive
2017-04-20,2346.79,2338.17,Positive
2017-04-21,2342.69,2355.84,Positive
