Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,55.67,56.0,Negative
2017-01-05,56.16,56.05,Negative
2017-01-06,55.49,55.18,Negative
2017-01-09,55.26,55.04,Negative
2017-01-10,54.68,54.24,Positive
2017-01-11,54.35,54.62,Positive
2017-01-12,54.6,54.8,Negative
2017-01-13,54.65,54.5,Neutral
2017-01-17,55.11,55.31,Negative
2017-01-18,54.8,53.78,Positive
2017-01-19,53.78,54.27,Positive
2017-01-20,54.24,54.58,Neutral
2017-01-23,54.75,55.07,Positive
2017-01-24,54.71,54.25,Positive
2017-01-25,54.36,54.7,Positive
2017-01-26,55.38,56.62,Neutral
2017-01-27,56.61,57.18,Negative
2017-01-30,57.03,56.59,Negative
2017-01-31,56.12,56.08,Neutral
2017-02-01,55.98,56.33,Neutral
2017-02-02,56.54,55.91,Positive
2017-02-03,55.56,55.75,Positive
2017-02-06,56.88,57.27,Negative
2017-02-07,57.08,56.55,Negative
2017-02-08,56.86,56.34,Neutral
2017-02-09,56.21,55.63,Positive
2017-02-10,55.98,56.73,Positive
2017-02-13,57.02,56.86,Positive
2017-02-14,57.07,57.08,Positive
2017-02-15,57.13,57.98,Positive
2017-02-16,58.1,58.55,Negative
2017-02-17,58.36,58.12,Neutral
2017-02-21,57.58,58.09,Positive
2017-02-22,58.25,58.25,Neutral
2017-02-23,58.0,58.36,Negative
2017-02-24,58.43,58.49,Negative
2017-02-27,57.7,57.81,Positive
2017-02-28,57.81,58.06,Positive
2017-03-01,57.99,57.88,Positive
2017-03-02,59.11,59.73,Negative
2017-03-03,59.78,58.71,Neutral
2017-03-06,58.85,58.89,Negative
2017-03-07,58.54,58.61,Negative
2017-03-08,58.43,58.3,Positive
2017-03-09,58.95,58.21,Positive
2017-03-10,58.45,58.7,Neutral
2017-03-13,58.98,58.85,Negative
2017-03-14,58.83,58.7,Positive
2017-03-15,58.49,58.76,Positive
2017-03-16,58.9,58.71,Negative
2017-03-17,58.86,59.32,Negative
2017-03-20,59.37,58.67,Negative
2017-03-21,58.47,57.63,Negative
2017-03-22,57.93,55.85,Negative
2017-03-23,55.53,55.33,Positive
2017-03-24,55.23,55.25,Positive
2017-03-27,55.5,55.83,Negative
2017-03-28,54.63,55.39,Positive
2017-03-29,55.35,55.96,Neutral
2017-03-30,55.94,55.67,Positive
2017-03-31,55.68,56.24,Negative
2017-04-03,56.02,55.66,Negative
2017-04-04,55.7,55.49,Negative
2017-04-05,55.3,55.2,Negative
2017-04-06,55.79,54.98,Neutral
2017-04-07,54.95,55.37,Negative
2017-04-10,54.94,54.84,Negative
2017-04-11,54.99,54.54,Negative
2017-04-12,54.23,54.16,Negative
2017-04-13,53.95,53.12,Negative
2017-04-17,51.8,51.35,Positive
2017-04-18,51.64,52.72,Neutral
2017-04-19,52.36,52.45,Positive
2017-04-20,52.88,52.15,Positive
2017-04-21,52.72,53.5,Positive
2017-04-24,53.39,53.0,Positive
2017-04-25,54.15,53.65,Positive
2017-04-26,54.33,54.56,Negative
2017-04-27,54.6,54.54,Negative
2017-04-28,54.54,54.44,Negative
2017-05-01,54.33,53.84,Positive
2017-05-02,54.1,54.46,Positive
2017-05-03,54.46,54.54,Positive
2017-05-04,54.01,54.85,Positive
2017-05-05,55.27,55.18,Negative
2017-05-08,55.25,55.11,Negative
2017-05-09,55.12,55.04,Negative
2017-05-10,55.14,54.68,Negative
2017-05-11,54.43,54.72,Negative
2017-05-12,54.28,53.74,Negative
2017-05-15,53.3,53.02,Neutral
2017-05-16,53.06,53.32,Negative
2017-05-17,53.4,53.26,Negative
2017-05-18,52.04,52.24,Positive
2017-05-19,52.31,52.38,Positive
2017-05-22,52.57,53.06,Neutral
2017-05-23,53.27,53.01,Neutral
2017-05-24,53.01,53.39,Negative
2017-05-25,53.49,53.09,Negative
2017-05-26,53.25,52.78,Negative
2017-05-30,52.63,52.41,Negative
2017-05-31,52.16,52.16,Negative
2017-06-01,52.23,51.14,Positive
2017-06-02,51.53,52.08,Negative
2017-06-05,51.67,51.81,Neutral
2017-06-06,51.71,51.72,Positive
2017-06-07,51.32,51.81,Positive
2017-06-08,51.84,52.09,Positive
2017-06-09,52.0,52.56,Positive
2017-06-12,52.86,53.8,Positive
2017-06-13,53.98,54.09,Positive
2017-06-14,54.35,54.45,Negative
2017-06-15,54.09,54.53,Negative
2017-06-16,54.04,53.9,Neutral
2017-06-19,53.93,53.89,Negative
2017-06-20,54.31,54.24,Negative
2017-06-21,54.06,53.46,Negative
2017-06-22,53.47,52.98,Negative
2017-06-23,52.8,52.49,Positive
2017-06-26,52.7,52.45,Positive
2017-06-27,52.73,52.9,Positive
2017-06-28,53.02,53.16,Positive
