Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,69.24,68.66,Positive
2017-01-05,68.66,69.06,Negative
2017-01-06,68.43,69.21,Negative
2017-01-09,68.41,68.26,Positive
2017-01-10,68.33,68.71,Negative
2017-01-11,68.64,68.23,Negative
2017-01-12,68.2,68.53,Negative
2017-01-13,68.36,67.97,Neutral
2017-01-17,67.98,67.13,Positive
2017-01-18,68.09,68.42,Negative
2017-01-19,67.88,68.11,Negative
2017-01-20,68.13,67.62,Negative
2017-01-23,67.74,67.18,Negative
2017-01-24,67.01,66.65,Positive
2017-01-25,66.89,67.4,Negative
2017-01-26,67.52,66.89,Negative
2017-01-27,67.13,66.73,Negative
2017-01-30,66.86,65.66,Positive
2017-01-31,65.63,66.42,Positive
2017-02-01,66.21,66.74,Negative
2017-02-02,66.46,66.23,Positive
2017-02-03,66.34,66.7,Neutral
2017-02-06,66.82,66.5,Positive
2017-02-07,66.37,66.4,Positive
2017-02-08,66.56,66.89,Positive
2017-02-09,66.89,67.81,Positive
2017-02-10,67.8,69.08,Negative
2017-02-13,68.25,68.02,Positive
2017-02-14,68.32,67.77,Positive
2017-02-15,67.88,68.66,Positive
2017-02-16,67.76,68.69,Positive
2017-02-17,68.67,68.87,Positive
2017-02-21,68.83,69.37,Positive
2017-02-22,71.21,71.45,Positive
2017-02-23,72.25,71.71,Neutral
2017-02-24,72.0,71.31,Positive
2017-02-27,71.34,72.39,Negative
2017-02-28,72.28,71.74,Negative
2017-03-01,70.87,70.93,Negative
2017-03-02,70.97,70.45,Negative
2017-03-03,70.42,70.76,Negative
2017-03-06,70.81,70.03,Negative
2017-03-07,70.0,69.88,Neutral
2017-03-08,69.9,69.87,Neutral
2017-03-09,69.69,69.8,Positive
2017-03-10,69.75,69.86,Positive
2017-03-13,70.0,70.1,Positive
2017-03-14,69.99,69.95,Positive
2017-03-15,70.82,70.72,Negative
2017-03-16,70.5,70.58,Negative
2017-03-17,70.11,70.44,Negative
2017-03-20,70.58,69.89,Positive
2017-03-21,70.14,69.98,Neutral
2017-03-22,70.17,69.9,Neutral
2017-03-23,70.03,70.25,Negative
2017-03-24,70.2,69.86,Neutral
2017-03-27,69.99,69.61,Positive
2017-03-28,69.52,69.66,Positive
2017-03-29,69.33,70.32,Positive
2017-03-30,70.35,70.74,Positive
2017-03-31,70.69,71.59,Positive
2017-04-03,71.32,72.08,Negative
2017-04-04,72.08,71.83,Neutral
2017-04-05,71.74,72.01,Neutral
2017-04-06,71.64,71.65,Positive
2017-04-07,71.7,71.43,Positive
2017-04-10,72.1,72.9,Positive
2017-04-11,72.99,73.06,Positive
2017-04-12,73.0,73.43,Neutral
2017-04-13,73.55,73.44,Neutral
2017-04-17,73.37,73.15,Positive
2017-04-18,73.16,73.49,Positive
2017-04-19,73.54,73.89,Positive
2017-04-20,74.1,74.07,Positive
2017-04-21,74.14,74.8,Neutral
2017-04-24,74.74,74.94,Neutral
2017-04-25,75.08,74.78,Positive
2017-04-26,74.97,75.05,Positive
2017-04-27,75.27,75.43,Neutral
2017-04-28,75.54,75.44,Neutral
2017-05-01,75.24,75.18,Positive
2017-05-02,75.09,75.23,Positive
2017-05-03,75.3,75.52,Positive
2017-05-04,75.4,75.76,Positive
2017-05-05,75.93,76.34,Neutral
2017-05-08,76.42,76.5,Neutral
2017-05-09,76.5,76.12,Positive
2017-05-10,76.44,76.72,Negative
2017-05-11,76.33,76.7,Negative
2017-05-12,76.35,76.13,Negative
2017-05-15,75.95,75.71,Negative
2017-05-16,75.8,76.29,Negative
2017-05-17,76.19,75.11,Positive
2017-05-18,75.05,75.12,Positive
2017-05-19,76.89,77.54,Positive
2017-05-22,77.97,78.77,Negative
2017-05-23,78.65,78.55,Negative
2017-05-24,78.58,78.49,Negative
2017-05-25,78.56,78.15,Neutral
2017-05-26,78.36,78.31,Neutral
2017-05-30,78.37,78.13,Positive
2017-05-31,78.0,78.15,Positive
2017-06-01,78.35,78.6,Positive
2017-06-02,78.64,79.81,Negative
2017-06-05,79.8,79.62,Negative
2017-06-06,79.6,80.26,Negative
2017-06-07,79.43,78.93,Positive
2017-06-08,79.08,79.15,Neutral
2017-06-09,79.58,78.93,Positive
2017-06-12,79.03,79.42,Neutral
2017-06-13,79.4,79.24,Positive
2017-06-14,79.21,79.52,Negative
2017-06-15,79.52,79.9,Negative
2017-06-16,79.18,78.91,Negative
2017-06-19,73.95,75.24,Positive
2017-06-20,75.38,75.5,Positive
2017-06-21,75.88,75.54,Neutral
2017-06-22,75.6,76.24,Negative
