Date,OpenPrice,ClosePrice,PriceDirection
2017-01-04,90.94,90.89,Negative
2017-01-05,91.12,89.89,Negative
2017-01-06,90.19,88.55,Negative
2017-01-09,88.79,88.5,Negative
2017-01-10,88.22,87.04,Negative
2017-01-11,87.17,85.93,Positive
2017-01-12,85.9,86.81,Neutral
2017-01-13,87.27,86.34,Positive
2017-01-17,86.27,86.35,Negative
2017-01-18,86.58,87.36,Negative
2017-01-19,87.06,86.28,Negative
2017-01-20,85.97,84.73,Positive
2017-01-23,85.44,85.89,Negative
2017-01-24,85.68,84.97,Positive
2017-01-25,84.98,85.09,Positive
2017-01-26,85.34,85.34,Neutral
2017-01-27,85.69,85.6,Negative
2017-01-30,85.3,85.51,Negative
2017-01-31,85.42,84.86,Negative
2017-02-01,85.04,83.89,Negative
2017-02-02,84.0,82.94,Positive
2017-02-03,83.21,83.45,Negative
2017-02-06,83.7,83.54,Negative
2017-02-07,83.55,83.31,Negative
2017-02-08,83.23,82.77,Negative
2017-02-09,81.99,81.48,Positive
2017-02-10,81.8,81.84,Positive
2017-02-13,82.26,82.52,Positive
2017-02-14,82.77,83.0,Negative
2017-02-15,82.91,82.82,Negative
2017-02-16,82.64,83.16,Negative
2017-02-17,83.12,82.3,Negative
2017-02-21,82.09,81.76,Negative
2017-02-22,82.12,81.89,Negative
2017-02-23,81.65,80.93,Positive
2017-02-24,81.42,81.78,Negative
2017-02-27,81.6,81.08,Positive
2017-02-28,81.13,81.54,Positive
2017-03-01,81.53,81.32,Positive
2017-03-02,81.7,83.02,Neutral
2017-03-03,82.8,83.3,Negative
2017-03-06,83.56,82.46,Negative
2017-03-07,82.44,82.83,Negative
2017-03-08,83.11,82.52,Negative
2017-03-09,82.35,81.03,Positive
2017-03-10,80.64,81.67,Negative
2017-03-13,82.44,81.61,Neutral
2017-03-14,81.5,81.42,Positive
2017-03-15,81.0,80.99,Positive
2017-03-16,81.35,82.0,Neutral
2017-03-17,82.03,82.07,Neutral
2017-03-20,82.03,82.0,Neutral
2017-03-21,81.72,82.0,Negative
2017-03-22,82.16,81.83,Negative
2017-03-23,81.96,81.76,Negative
2017-03-24,81.63,81.86,Negative
2017-03-27,82.03,81.23,Positive
2017-03-28,80.82,81.25,Positive
2017-03-29,81.32,81.84,Positive
2017-03-30,81.69,82.02,Positive
2017-03-31,82.03,83.7,Negative
2017-04-03,83.26,82.01,Positive
2017-04-04,82.02,82.07,Positive
2017-04-05,82.1,82.37,Positive
2017-04-06,82.85,82.53,Positive
2017-04-07,82.75,83.01,Neutral
2017-04-10,83.24,82.76,Positive
