Date,Open,High,Low,Close,Volume,Currency,Trend,VolumeTrend,AAL,AAPL,AMT,AVY,AWK,BA,BAC,CCL,CNP,EQR,F,FOX,HFC,JNJ,MSFT,NFLX,PFE,PKG,PM,S&P500,WFC,WMT,XOM
2019-01-02,31.46,32.65,31.05,32.48,5229460,USD,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,31.69,31.85,28.81,30.06,16821992,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-04,30.44,32.09,30.4,32.04,9369633,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,31.99,33.48,31.24,32.95,8010692,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-08,33.36,33.65,32.2,32.42,7107729,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,32.42,33.55,32.3,33.42,6179397,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-10,30.62,32.21,29.78,32.04,19726308,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,31.8,31.99,31.1,31.8,6900397,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,31.4,31.93,30.7,31.71,5878522,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,31.88,32.86,31.63,32.1,7643059,USD,Positive,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,32.82,33.67,32.74,32.84,9141554,USD,Positive,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-17,32.75,33.89,32.63,33.58,5917547,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-18,33.84,34.04,33.15,33.97,5817716,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,33.76,33.88,32.45,32.74,14598203,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,32.93,33.1,31.39,31.65,14317926,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,34.26,34.35,32.83,33.66,15531138,USD,Positive,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,33.94,35.5,33.76,34.98,15933789,USD,Positive,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,34.53,36.62,34.5,36.57,14843458,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,36.76,37.08,36.07,36.29,8744324,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-30,36.43,36.68,36.17,36.34,7435617,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,36.31,36.55,35.55,35.77,7706585,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,35.77,36.59,35.77,36.11,6612246,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04,36.16,36.81,36.12,36.78,9089334,USD,Positive,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-05,36.81,37.23,36.7,36.93,6003162,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,36.8,37.09,36.61,36.76,5802821,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,36.46,36.7,35.94,36.17,5857278,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,35.8,36.23,35.39,36.0,4973284,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-11,36.08,36.72,36.08,36.59,4932635,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-12,36.76,37.17,35.67,35.75,6883189,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-13,35.83,36.46,35.81,36.21,5837850,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-14,35.91,36.52,35.67,36.11,4070020,USD,Negative,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15,36.24,36.34,34.96,35.05,11471877,USD,Negative,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-19,35.03,35.9,35.0,35.47,6436150,USD,Positive,Negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
