Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,AAL,Industrials,47.28,47.34,46.13,46.3,6737752,USD
2017-01-04,AAL,Industrials,46.63,47.44,46.35,46.7,5859604,USD
2017-01-05,AAL,Industrials,46.52,46.93,45.61,45.89,6825316,USD
2017-01-06,AAL,Industrials,45.85,46.72,45.47,46.21,7260197,USD
2017-01-09,AAL,Industrials,46.01,47.34,45.78,47.08,4739142,USD
2017-01-10,AAL,Industrials,47.0,48.51,46.97,48.48,7483764,USD
2017-01-11,AAL,Industrials,49.29,49.9,48.1,48.64,6925770,USD
2017-01-12,AAL,Industrials,48.67,49.0,46.84,48.1,5448098,USD
2017-01-13,AAL,Industrials,48.16,48.43,47.54,47.65,3541980,USD
2017-01-17,AAL,Industrials,47.56,47.75,46.67,46.75,5350794,USD
2017-01-18,AAL,Industrials,46.72,47.8,46.65,47.64,5176524,USD
2017-01-19,AAL,Industrials,47.64,48.09,46.88,47.26,3729315,USD
2017-01-20,AAL,Industrials,47.54,48.16,47.24,48.0,5611793,USD
2017-01-23,AAL,Industrials,47.9,48.09,46.75,46.94,4284196,USD
2017-01-24,AAL,Industrials,47.05,47.8,46.8,47.54,4926677,USD
2017-01-25,AAL,Industrials,47.9,48.21,47.61,47.91,5139002,USD
2017-01-26,AAL,Industrials,48.43,49.71,48.33,49.59,10332849,USD
2017-01-27,AAL,Industrials,50.0,50.0,46.72,46.95,19411050,USD
2017-01-30,AAL,Industrials,45.62,45.92,43.86,44.9,16786050,USD
2017-01-31,AAL,Industrials,44.79,44.84,43.74,44.25,11719842,USD
2017-02-01,AAL,Industrials,44.75,45.0,43.91,44.05,7955513,USD
2017-02-02,AAL,Industrials,43.61,44.52,43.57,44.01,7607665,USD
2017-02-03,AAL,Industrials,44.31,44.55,43.76,44.2,6357916,USD
2017-02-06,AAL,Industrials,44.8,45.6,44.74,45.3,6496054,USD
2017-02-07,AAL,Industrials,45.75,46.13,45.01,45.17,6119960,USD
2017-02-08,AAL,Industrials,45.26,45.26,44.51,45.06,4330414,USD
2017-02-09,AAL,Industrials,45.07,46.6,44.94,46.3,7089902,USD
2017-02-10,AAL,Industrials,46.62,46.7,46.17,46.45,4040567,USD
2017-02-13,AAL,Industrials,46.56,47.78,46.5,47.41,6158580,USD
2017-02-14,AAL,Industrials,47.26,47.28,46.45,46.57,6271654,USD
2017-02-15,AAL,Industrials,47.59,48.05,46.93,47.54,8394814,USD
2017-02-16,AAL,Industrials,47.5,47.65,46.66,46.97,5681810,USD
2017-02-17,AAL,Industrials,46.83,47.1,46.43,46.91,4581604,USD
2017-02-21,AAL,Industrials,47.01,47.27,46.58,46.81,4672031,USD
2017-02-22,AAL,Industrials,46.5,46.7,45.87,46.32,5799646,USD
2017-02-23,AAL,Industrials,46.42,47.32,45.89,46.1,5246985,USD
2017-02-24,AAL,Industrials,46.0,46.3,45.58,46.28,4489590,USD
2017-02-27,AAL,Industrials,46.18,46.36,45.68,46.32,4130975,USD
2017-02-28,AAL,Industrials,46.32,46.72,46.03,46.36,4935590,USD
2017-03-01,AAL,Industrials,46.79,48.13,46.7,47.09,8278935,USD
2017-03-02,AAL,Industrials,46.67,46.74,45.64,45.72,7590676,USD
2017-03-03,AAL,Industrials,45.85,47.26,45.77,46.82,7259147,USD
2017-03-06,AAL,Industrials,46.41,46.68,44.38,45.31,11336565,USD
2017-03-07,AAL,Industrials,45.02,45.23,44.56,44.84,4565315,USD
2017-03-08,AAL,Industrials,44.79,45.3,44.6,44.89,5521109,USD
2017-03-09,AAL,Industrials,44.5,44.93,43.25,43.33,9330139,USD
2017-03-10,AAL,Industrials,43.46,43.95,42.97,43.9,6842316,USD
2017-03-13,AAL,Industrials,43.73,44.12,42.26,42.37,8882287,USD
2017-03-14,AAL,Industrials,42.06,42.1,40.84,41.21,10208460,USD
2017-03-15,AAL,Industrials,40.5,42.19,40.21,42.09,13986198,USD
2017-03-16,AAL,Industrials,42.18,42.35,41.45,42.13,7058267,USD
2017-03-17,AAL,Industrials,42.0,42.21,41.6,41.72,10185798,USD
2017-03-20,AAL,Industrials,42.18,42.41,41.45,41.7,6229799,USD
2017-03-21,AAL,Industrials,41.88,41.98,40.34,40.42,7938673,USD
2017-03-22,AAL,Industrials,39.78,40.55,39.21,40.35,9943032,USD
2017-03-23,AAL,Industrials,40.7,41.86,40.48,41.41,9516585,USD
2017-03-24,AAL,Industrials,41.69,42.06,41.42,41.73,6596629,USD
2017-03-27,AAL,Industrials,41.07,41.89,40.56,41.74,6050846,USD
2017-03-28,AAL,Industrials,41.83,42.93,41.55,42.6,6185811,USD
2017-03-29,AAL,Industrials,42.69,42.76,41.87,41.96,5331362,USD
2017-03-30,AAL,Industrials,41.85,42.64,41.79,42.54,3681356,USD
2017-03-31,AAL,Industrials,42.37,42.94,42.27,42.3,5427748,USD
2017-04-03,AAL,Industrials,42.33,42.57,41.62,42.45,5764716,USD
2017-04-04,AAL,Industrials,42.09,42.23,40.82,40.9,7254678,USD
2017-04-05,AAL,Industrials,41.15,42.13,41.06,41.31,7012673,USD
2017-04-06,AAL,Industrials,41.4,41.96,41.16,41.72,3627608,USD
2017-04-07,AAL,Industrials,41.53,42.1,41.28,41.81,4136988,USD
2017-04-10,AAL,Industrials,41.81,42.67,41.62,42.32,4650522,USD
2017-04-11,AAL,Industrials,42.78,43.95,42.41,43.93,10269604,USD
2017-04-12,AAL,Industrials,44.79,45.35,43.83,43.96,9991117,USD
2017-04-13,AAL,Industrials,43.95,44.02,43.34,43.35,5504930,USD
2017-04-17,AAL,Industrials,43.47,44.25,43.36,44.23,4563213,USD
2017-04-18,AAL,Industrials,44.03,44.53,43.4,43.81,5809175,USD
2017-04-19,AAL,Industrials,44.07,44.77,43.9,44.4,6573440,USD
2017-04-20,AAL,Industrials,44.71,45.38,44.56,45.22,4956478,USD
2017-04-21,AAL,Industrials,45.5,45.5,44.98,45.15,5535986,USD
2017-04-24,AAL,Industrials,45.5,46.44,45.47,46.44,6335303,USD
2017-04-25,AAL,Industrials,46.8,47.39,46.38,46.61,5960573,USD
2017-04-26,AAL,Industrials,46.51,46.9,46.24,46.4,6027630,USD
2017-04-27,AAL,Industrials,43.91,44.21,42.41,43.98,18988576,USD
2017-04-28,AAL,Industrials,44.02,44.06,42.56,42.62,13357971,USD
2017-05-01,AAL,Industrials,42.76,42.96,42.01,42.08,8591384,USD
2017-05-02,AAL,Industrials,42.06,43.91,42.05,43.87,9402465,USD
2017-05-03,AAL,Industrials,43.67,44.17,43.42,43.92,5144318,USD
2017-05-04,AAL,Industrials,44.18,44.39,43.2,43.91,4476053,USD
2017-05-05,AAL,Industrials,44.0,44.52,43.77,44.51,5462793,USD
2017-05-08,AAL,Industrials,44.6,45.05,44.52,44.94,6190660,USD
2017-05-09,AAL,Industrials,45.4,47.3,45.25,47.08,11116806,USD
2017-05-10,AAL,Industrials,47.03,47.78,46.67,47.3,7379826,USD
2017-05-11,AAL,Industrials,47.21,47.24,45.65,46.54,6086339,USD
2017-05-12,AAL,Industrials,46.26,46.44,45.73,45.83,3888691,USD
2017-05-15,AAL,Industrials,45.7,46.99,45.69,46.68,5534522,USD
2017-05-16,AAL,Industrials,46.79,47.13,44.74,46.94,4627800,USD
2017-05-17,AAL,Industrials,46.25,46.56,44.88,44.92,6906735,USD
2017-05-18,AAL,Industrials,44.4,45.4,44.38,44.65,6626694,USD
2017-05-19,AAL,Industrials,44.8,45.38,44.74,45.22,6736688,USD
2017-05-22,AAL,Industrials,45.33,46.25,45.33,46.21,4428568,USD
2017-05-23,AAL,Industrials,46.27,46.69,45.94,46.66,3008501,USD
2017-05-24,AAL,Industrials,46.74,47.43,46.65,46.77,3890095,USD
2017-05-25,AAL,Industrials,46.99,48.12,46.82,48.02,5441804,USD
2017-05-26,AAL,Industrials,47.79,48.82,47.73,48.74,5979329,USD
2017-05-30,AAL,Industrials,48.32,48.58,47.79,47.96,5512854,USD
2017-05-31,AAL,Industrials,48.2,48.48,47.53,48.41,4486131,USD
2017-06-01,AAL,Industrials,48.5,49.36,48.3,49.05,4421404,USD
2017-06-02,AAL,Industrials,49.56,50.47,49.37,49.52,7708567,USD
2017-06-05,AAL,Industrials,49.53,49.95,49.4,49.74,5466685,USD
2017-06-06,AAL,Industrials,49.47,50.1,49.32,49.74,4473456,USD
2017-06-07,AAL,Industrials,49.44,50.91,48.8,50.86,7078405,USD
2017-06-08,AAL,Industrials,50.86,51.87,50.41,51.43,6544348,USD
2017-06-09,AAL,Industrials,51.61,51.95,50.25,50.27,7204319,USD
2017-06-12,AAL,Industrials,50.1,50.22,48.1,49.48,8597891,USD
2017-06-13,AAL,Industrials,49.56,49.91,48.84,49.45,5153327,USD
2017-06-14,AAL,Industrials,49.64,49.78,48.89,49.39,4027798,USD
2017-06-15,AAL,Industrials,49.14,49.32,48.37,49.11,4579626,USD
2017-06-16,AAL,Industrials,48.9,49.45,48.62,48.79,6622111,USD
2017-06-19,AAL,Industrials,49.13,49.72,48.81,49.66,4104267,USD
2017-06-20,AAL,Industrials,49.22,49.36,48.01,48.03,6035053,USD
