Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,AAPL,IT,28.95,29.08,28.69,29.04,115127456,USD
2017-01-04,AAPL,IT,28.96,29.13,28.94,29.0,84472464,USD
2017-01-05,AAPL,IT,28.98,29.22,28.95,29.15,88774352,USD
2017-01-06,AAPL,IT,29.2,29.54,29.12,29.48,127007600,USD
2017-01-09,AAPL,IT,29.49,29.86,29.48,29.75,134247792,USD
2017-01-10,AAPL,IT,29.69,29.84,29.57,29.78,97848208,USD
2017-01-11,AAPL,IT,29.68,29.98,29.65,29.94,110354368,USD
2017-01-12,AAPL,IT,29.72,29.82,29.55,29.81,108344880,USD
2017-01-13,AAPL,IT,29.78,29.91,29.7,29.76,104447792,USD
2017-01-17,AAPL,IT,29.59,30.06,29.55,30.0,137759376,USD
2017-01-18,AAPL,IT,30.0,30.12,29.93,30.0,94851840,USD
2017-01-19,AAPL,IT,29.85,30.02,29.84,29.95,102389168,USD
2017-01-20,AAPL,IT,30.11,30.11,29.93,30.0,130391568,USD
2017-01-23,AAPL,IT,30.0,30.2,29.94,30.02,88200872,USD
2017-01-24,AAPL,IT,29.89,30.02,29.88,29.99,92844152,USD
2017-01-25,AAPL,IT,30.11,30.52,30.07,30.47,130346688,USD
2017-01-26,AAPL,IT,30.42,30.61,30.4,30.48,105350304,USD
2017-01-27,AAPL,IT,30.54,30.59,30.4,30.49,82251776,USD
2017-01-30,AAPL,IT,30.23,30.41,30.16,30.41,121510016,USD
2017-01-31,AAPL,IT,30.29,30.35,30.16,30.34,196803968,USD
2017-02-01,AAPL,IT,31.76,32.62,31.75,32.19,447940160,USD
2017-02-02,AAPL,IT,31.99,32.35,31.95,32.13,134841648,USD
2017-02-03,AAPL,IT,32.08,32.3,32.04,32.27,98029200,USD
2017-02-06,AAPL,IT,32.28,32.62,32.23,32.57,107383696,USD
2017-02-07,AAPL,IT,32.63,33.02,32.61,32.88,152735360,USD
2017-02-08,AAPL,IT,32.84,33.05,32.8,33.01,92016288,USD
2017-02-09,AAPL,IT,32.91,33.11,32.78,33.1,113399440,USD
2017-02-10,AAPL,IT,33.12,33.23,33.01,33.03,80261832,USD
2017-02-13,AAPL,IT,33.27,33.45,33.19,33.32,92141680,USD
2017-02-14,AAPL,IT,33.37,33.77,33.31,33.76,132904896,USD
2017-02-15,AAPL,IT,33.88,34.07,33.66,33.88,142492400,USD
2017-02-16,AAPL,IT,33.92,33.98,33.71,33.84,90338224,USD
2017-02-17,AAPL,IT,33.77,33.96,33.77,33.93,88792784,USD
2017-02-21,AAPL,IT,34.06,34.19,33.99,34.17,98028624,USD
2017-02-22,AAPL,IT,34.11,34.28,34.03,34.28,83347728,USD
2017-02-23,AAPL,IT,34.34,34.37,34.08,34.13,83152744,USD
2017-02-24,AAPL,IT,33.98,34.16,33.82,34.16,87106336,USD
2017-02-27,AAPL,IT,34.28,34.36,34.07,34.23,81029704,USD
2017-02-28,AAPL,IT,34.27,34.36,34.17,34.25,93931440,USD
2017-03-01,AAPL,IT,34.47,35.04,34.4,34.95,145658336,USD
2017-03-02,AAPL,IT,35.0,35.07,34.69,34.74,104843936,USD
2017-03-03,AAPL,IT,34.7,34.96,34.65,34.95,86284480,USD
2017-03-06,AAPL,IT,34.84,34.94,34.65,34.84,87000176,USD
2017-03-07,AAPL,IT,34.77,34.99,34.7,34.88,69785184,USD
2017-03-08,AAPL,IT,34.74,34.95,34.7,34.75,74828944,USD
2017-03-09,AAPL,IT,34.69,34.7,34.26,34.67,88623616,USD
2017-03-10,AAPL,IT,34.81,34.84,34.66,34.78,78451200,USD
2017-03-13,AAPL,IT,34.71,34.86,34.7,34.8,69686864,USD
2017-03-14,AAPL,IT,34.83,34.91,34.71,34.75,61236260,USD
2017-03-15,AAPL,IT,34.85,35.19,34.76,35.12,102767096,USD
2017-03-16,AAPL,IT,35.18,35.26,35.06,35.17,76927992,USD
2017-03-17,AAPL,IT,35.25,35.25,34.97,35.0,175539808,USD
2017-03-20,AAPL,IT,35.1,35.38,35.06,35.37,86168152,USD
2017-03-21,AAPL,IT,35.53,35.7,34.93,34.96,158119648,USD
2017-03-22,AAPL,IT,34.96,35.4,34.94,35.35,103440656,USD
2017-03-23,AAPL,IT,35.31,35.4,35.15,35.23,81385200,USD
2017-03-24,AAPL,IT,35.38,35.44,35.09,35.16,89582256,USD
2017-03-27,AAPL,IT,34.85,35.3,34.66,35.22,94300376,USD
2017-03-28,AAPL,IT,35.23,36.01,35.16,35.95,133499216,USD
2017-03-29,AAPL,IT,35.92,36.12,35.8,36.03,116759824,USD
2017-03-30,AAPL,IT,36.05,36.12,35.88,35.98,84829008,USD
2017-03-31,AAPL,IT,35.93,36.07,35.75,35.91,78646608,USD
2017-04-03,AAPL,IT,35.93,36.03,35.76,35.92,79942856,USD
2017-04-04,AAPL,IT,35.81,36.22,35.79,36.19,79565416,USD
2017-04-05,AAPL,IT,36.05,36.37,35.95,36.01,110871416,USD
2017-04-06,AAPL,IT,36.07,36.13,35.86,35.91,84596136,USD
2017-04-07,AAPL,IT,35.93,36.05,35.82,35.84,66688792,USD
2017-04-10,AAPL,IT,35.9,35.97,35.73,35.79,75733584,USD
2017-04-11,AAPL,IT,35.73,35.84,35.02,35.41,121517504,USD
2017-04-12,AAPL,IT,35.4,35.54,35.25,35.45,81400000,USD
2017-04-13,AAPL,IT,35.48,35.59,35.26,35.26,71291520,USD
2017-04-17,AAPL,IT,35.37,35.47,35.22,35.46,66328376,USD
2017-04-18,AAPL,IT,35.35,35.51,35.28,35.3,58790176,USD
2017-04-19,AAPL,IT,35.47,35.5,35.11,35.17,69313504,USD
2017-04-20,AAPL,IT,35.3,35.73,35.29,35.61,93278248,USD
2017-04-21,AAPL,IT,35.61,35.67,35.46,35.57,69283712,USD
2017-04-24,AAPL,IT,35.88,35.99,35.8,35.91,68537328,USD
2017-04-25,AAPL,IT,35.98,36.23,35.97,36.13,75486000,USD
2017-04-26,AAPL,IT,36.12,36.15,35.84,35.92,80164960,USD
2017-04-27,AAPL,IT,35.98,36.04,35.83,35.95,56985388,USD
2017-04-28,AAPL,IT,36.02,36.08,35.82,35.91,83441432,USD
2017-05-01,AAPL,IT,36.27,36.8,36.24,36.65,134411776,USD
2017-05-02,AAPL,IT,36.88,37.02,36.71,36.88,181408768,USD
2017-05-03,AAPL,IT,36.4,36.87,36.07,36.77,182788128,USD
2017-05-04,AAPL,IT,36.63,36.78,36.45,36.63,93487488,USD
2017-05-05,AAPL,IT,36.69,37.24,36.69,37.24,109310896,USD
2017-05-08,AAPL,IT,37.26,38.42,37.26,38.25,195009648,USD
2017-05-09,AAPL,IT,38.47,38.72,38.36,38.5,156521456,USD
2017-05-10,AAPL,IT,38.41,38.48,38.03,38.31,103222768,USD
2017-05-11,AAPL,IT,38.11,38.52,38.08,38.49,109020232,USD
2017-05-12,AAPL,IT,38.67,39.1,38.67,39.02,130108064,USD
2017-05-15,AAPL,IT,39.0,39.16,38.76,38.92,104038880,USD
2017-05-16,AAPL,IT,38.98,39.02,38.68,38.87,80193912,USD
2017-05-17,AAPL,IT,38.4,38.64,37.43,37.56,203070720,USD
2017-05-18,AAPL,IT,37.82,38.34,37.78,38.13,134272864,USD
2017-05-19,AAPL,IT,38.34,38.49,38.16,38.27,107843152,USD
2017-05-22,AAPL,IT,38.5,38.65,38.23,38.5,91865744,USD
2017-05-23,AAPL,IT,38.73,38.73,38.33,38.45,79675488,USD
2017-05-24,AAPL,IT,38.46,38.54,38.17,38.34,76876616,USD
2017-05-25,AAPL,IT,38.43,38.59,38.26,38.47,76942392,USD
2017-05-26,AAPL,IT,38.5,38.56,38.33,38.4,87710544,USD
2017-05-30,AAPL,IT,38.35,38.61,38.33,38.42,80507408,USD
2017-05-31,AAPL,IT,38.49,38.54,38.09,38.19,97804656,USD
2017-06-01,AAPL,IT,38.29,38.33,38.05,38.3,65616352,USD
2017-06-02,AAPL,IT,38.4,38.86,38.22,38.86,111082864,USD
2017-06-05,AAPL,IT,38.59,38.61,38.37,38.48,101326648,USD
2017-06-06,AAPL,IT,38.48,38.95,38.45,38.61,106499704,USD
2017-06-07,AAPL,IT,38.76,38.99,38.62,38.84,84278592,USD
2017-06-08,AAPL,IT,38.81,38.88,38.6,38.75,85003192,USD
2017-06-09,AAPL,IT,38.8,38.8,36.51,37.24,259530624,USD
2017-06-12,AAPL,IT,36.44,36.52,35.63,36.35,289229312,USD
2017-06-13,AAPL,IT,36.79,36.86,36.29,36.65,136661776,USD
2017-06-14,AAPL,IT,36.88,36.88,35.96,36.29,126124928,USD
2017-06-15,AAPL,IT,35.83,36.12,35.55,36.07,128661488,USD
2017-06-16,AAPL,IT,35.95,36.12,35.55,35.57,201444368,USD
2017-06-19,AAPL,IT,35.91,36.69,35.91,36.59,130165616,USD
2017-06-20,AAPL,IT,36.72,36.72,36.23,36.25,99600288,USD
2017-06-21,AAPL,IT,36.38,36.52,36.15,36.47,85063008,USD
2017-06-22,AAPL,IT,36.44,36.67,36.28,36.41,76425176,USD
2017-06-23,AAPL,IT,36.28,36.79,36.28,36.57,141757552,USD
2017-06-26,AAPL,IT,36.79,37.07,36.34,36.45,102769440,USD
2017-06-27,AAPL,IT,36.25,36.54,35.91,35.93,99047568,USD
2017-06-28,AAPL,IT,36.12,36.53,35.79,36.46,88329728,USD
2017-06-29,AAPL,IT,36.18,36.28,35.57,35.92,125997472,USD
2017-06-30,AAPL,IT,36.11,36.24,35.95,36.01,92096432,USD
2017-07-03,AAPL,IT,36.22,36.33,35.77,35.88,57111392,USD
2017-07-05,AAPL,IT,35.92,36.2,35.68,36.02,86278224,USD
2017-07-06,AAPL,IT,35.76,35.88,35.6,35.68,96515128,USD
2017-07-07,AAPL,IT,35.73,36.19,35.73,36.05,76806848,USD
2017-07-10,AAPL,IT,36.03,36.49,35.84,36.27,84362544,USD
2017-07-11,AAPL,IT,36.18,36.46,36.09,36.38,79127344,USD
2017-07-12,AAPL,IT,36.47,36.55,36.2,36.44,99537912,USD
2017-07-13,AAPL,IT,36.38,37.12,36.36,36.94,100797488,USD
2017-07-14,AAPL,IT,36.99,37.33,36.83,37.26,80528240,USD
2017-07-17,AAPL,IT,37.2,37.73,37.14,37.39,95173824,USD
2017-07-18,AAPL,IT,37.3,37.53,37.17,37.52,71475168,USD
2017-07-19,AAPL,IT,37.62,37.85,37.49,37.76,83691872,USD
2017-07-20,AAPL,IT,37.88,37.94,37.55,37.59,68974992,USD
2017-07-21,AAPL,IT,37.5,37.61,37.22,37.57,105010520,USD
2017-07-24,AAPL,IT,37.65,38.11,37.48,38.02,85972640,USD
2017-07-25,AAPL,IT,37.95,38.46,37.95,38.19,75415728,USD
2017-07-26,AAPL,IT,38.34,38.48,38.27,38.37,63123804,USD
2017-07-27,AAPL,IT,38.44,38.5,36.83,37.64,129905344,USD
2017-07-28,AAPL,IT,37.47,37.56,37.3,37.38,68854608,USD
2017-07-31,AAPL,IT,37.48,37.58,37.03,37.18,79383680,USD
2017-08-01,AAPL,IT,37.27,37.55,37.1,37.51,141474576,USD
2017-08-02,AAPL,IT,39.82,39.94,39.04,39.28,279747200,USD
2017-08-03,AAPL,IT,39.26,39.3,38.76,38.89,108389184,USD
2017-08-04,AAPL,IT,39.02,39.35,38.92,39.1,82239408,USD
2017-08-07,AAPL,IT,39.27,39.73,39.17,39.7,87481280,USD
2017-08-08,AAPL,IT,39.65,40.46,39.57,40.02,144823584,USD
2017-08-09,AAPL,IT,39.81,40.32,39.78,40.27,104526120,USD
2017-08-10,AAPL,IT,39.98,40.0,38.66,38.83,163217088,USD
2017-08-11,AAPL,IT,39.15,39.64,39.02,39.37,105028384,USD
2017-08-14,AAPL,IT,39.83,40.05,39.69,39.96,88490936,USD
2017-08-15,AAPL,IT,40.16,40.55,40.03,40.4,117861952,USD
2017-08-16,AAPL,IT,40.48,40.63,40.04,40.24,110686448,USD
2017-08-17,AAPL,IT,40.13,40.18,39.46,39.47,111762256,USD
2017-08-18,AAPL,IT,39.47,39.88,39.18,39.38,109712272,USD
2017-08-21,AAPL,IT,39.38,39.47,38.78,39.3,105474112,USD
2017-08-22,AAPL,IT,39.56,40.0,39.51,39.95,86418336,USD
2017-08-23,AAPL,IT,39.77,40.12,39.72,39.99,77596320,USD
2017-08-24,AAPL,IT,40.11,40.19,39.64,39.82,79275672,USD
2017-08-25,AAPL,IT,39.91,40.14,39.82,39.97,101920256,USD
2017-08-28,AAPL,IT,40.03,40.5,39.98,40.37,103863888,USD
2017-08-29,AAPL,IT,40.02,40.78,40.0,40.73,118067640,USD
2017-08-30,AAPL,IT,40.95,40.97,40.65,40.84,109078336,USD
2017-08-31,AAPL,IT,40.91,41.13,40.87,41.0,107140384,USD
2017-09-01,AAPL,IT,41.2,41.23,40.91,41.01,66364204,USD
2017-09-05,AAPL,IT,40.94,41.06,40.14,40.52,118145256,USD
2017-09-06,AAPL,IT,40.68,40.75,40.13,40.48,86606904,USD
2017-09-07,AAPL,IT,40.52,40.56,40.09,40.31,87714008,USD
2017-09-08,AAPL,IT,40.22,40.29,39.63,39.66,114446144,USD
2017-09-11,AAPL,IT,40.12,40.51,39.97,40.38,126323192,USD
2017-09-12,AAPL,IT,40.65,40.99,39.69,40.22,286856192,USD
2017-09-13,AAPL,IT,39.97,39.99,39.48,39.91,179629440,USD
2017-09-14,AAPL,IT,39.75,39.85,39.52,39.57,95042992,USD
2017-09-15,AAPL,IT,39.62,40.24,39.5,39.97,196458400,USD
2017-09-18,AAPL,IT,40.03,40.12,39.5,39.67,113077744,USD
2017-09-19,AAPL,IT,39.88,39.94,39.61,39.68,83242528,USD
2017-09-20,AAPL,IT,39.48,39.56,38.46,39.02,211805456,USD
2017-09-21,AAPL,IT,38.95,38.95,38.19,38.35,150046640,USD
2017-09-22,AAPL,IT,38.01,38.07,37.64,37.97,186581776,USD
2017-09-25,AAPL,IT,37.5,37.96,37.29,37.64,177549344,USD
2017-09-26,AAPL,IT,37.95,38.48,37.92,38.28,146640176,USD
2017-09-27,AAPL,IT,38.45,38.68,38.38,38.56,102016912,USD
2017-09-28,AAPL,IT,38.47,38.57,38.17,38.32,88021824,USD
2017-09-29,AAPL,IT,38.3,38.53,38.0,38.53,105199240,USD
2017-10-02,AAPL,IT,38.56,38.61,38.18,38.45,74795368,USD
2017-10-03,AAPL,IT,38.5,38.77,38.48,38.62,64921172,USD
2017-10-04,AAPL,IT,38.41,38.47,38.12,38.37,80655000,USD
2017-10-05,AAPL,IT,38.55,38.86,38.51,38.85,85135072,USD
2017-10-06,AAPL,IT,38.74,38.87,38.64,38.83,69630232,USD
2017-10-09,AAPL,IT,38.95,39.18,38.87,38.96,65051692,USD
2017-10-10,AAPL,IT,39.01,39.5,38.77,38.98,62468056,USD
2017-10-11,AAPL,IT,38.99,39.24,38.94,39.14,67622560,USD
2017-10-12,AAPL,IT,39.09,39.34,38.93,39.0,64500216,USD
2017-10-13,AAPL,IT,39.18,39.32,39.1,39.25,65576752,USD
