Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,AMT,Real Estate,106.73,106.88,105.34,106.15,2240889,USD
2017-01-04,AMT,Real Estate,106.41,106.94,106.2,106.34,1720738,USD
2017-01-05,AMT,Real Estate,106.0,106.43,105.39,105.97,1919858,USD
2017-01-06,AMT,Real Estate,105.93,106.3,105.18,105.27,1995330,USD
2017-01-09,AMT,Real Estate,105.5,105.82,104.95,105.02,2278903,USD
2017-01-10,AMT,Real Estate,105.24,105.25,103.17,103.5,2267499,USD
2017-01-11,AMT,Real Estate,103.48,104.17,102.51,103.83,2631657,USD
2017-01-12,AMT,Real Estate,103.69,104.26,103.12,104.2,1568999,USD
2017-01-13,AMT,Real Estate,104.22,104.76,102.87,103.45,2058945,USD
2017-01-17,AMT,Real Estate,103.58,105.19,103.41,105.17,2055532,USD
2017-01-18,AMT,Real Estate,105.26,106.42,105.04,105.67,2078068,USD
2017-01-19,AMT,Real Estate,105.67,105.67,103.86,104.44,1747560,USD
2017-01-20,AMT,Real Estate,104.84,105.42,103.97,104.2,2598837,USD
2017-01-23,AMT,Real Estate,104.5,105.19,104.26,104.78,2222974,USD
2017-01-24,AMT,Real Estate,104.97,104.97,104.03,104.57,1823692,USD
2017-01-25,AMT,Real Estate,104.82,104.89,103.69,103.92,2053904,USD
2017-01-26,AMT,Real Estate,104.14,105.14,103.75,104.3,1272655,USD
2017-01-27,AMT,Real Estate,104.41,104.78,103.66,103.82,1207073,USD
2017-01-30,AMT,Real Estate,104.05,104.05,102.73,103.01,1509887,USD
2017-01-31,AMT,Real Estate,103.54,104.0,103.16,103.5,1376282,USD
2017-02-01,AMT,Real Estate,103.6,103.84,103.02,103.28,1906666,USD
2017-02-02,AMT,Real Estate,103.28,104.32,103.07,104.11,1322576,USD
2017-02-03,AMT,Real Estate,104.83,105.65,104.76,105.25,2988629,USD
2017-02-06,AMT,Real Estate,105.06,105.4,103.07,103.64,2141176,USD
2017-02-07,AMT,Real Estate,103.66,103.93,102.91,103.47,1344118,USD
2017-02-08,AMT,Real Estate,103.57,104.43,103.36,104.3,1301940,USD
2017-02-09,AMT,Real Estate,104.2,106.0,103.47,105.78,2525125,USD
2017-02-10,AMT,Real Estate,105.5,105.76,104.73,105.49,1228140,USD
2017-02-13,AMT,Real Estate,105.69,107.68,105.6,107.55,1975548,USD
2017-02-14,AMT,Real Estate,107.64,107.64,105.82,106.78,1580607,USD
2017-02-15,AMT,Real Estate,107.09,107.37,106.01,107.11,1362491,USD
2017-02-16,AMT,Real Estate,106.95,107.97,106.85,107.71,1322261,USD
2017-02-17,AMT,Real Estate,107.89,109.8,107.66,108.11,4991446,USD
2017-02-21,AMT,Real Estate,108.11,111.22,108.02,111.18,3012621,USD
2017-02-22,AMT,Real Estate,111.36,111.83,110.6,111.02,2207404,USD
2017-02-23,AMT,Real Estate,111.17,112.25,111.14,112.2,2233348,USD
2017-02-24,AMT,Real Estate,112.07,113.21,111.77,112.89,2589383,USD
2017-02-27,AMT,Real Estate,114.01,114.86,112.79,113.34,2895479,USD
