Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,AVY,Materials,70.76,70.87,69.53,70.14,865618,USD
2017-01-04,AVY,Materials,70.45,72.14,69.97,72.14,887655,USD
2017-01-05,AVY,Materials,72.0,72.44,70.9,71.43,647157,USD
2017-01-06,AVY,Materials,72.28,72.52,71.91,72.4,719628,USD
2017-01-09,AVY,Materials,72.48,73.39,72.25,72.56,761000,USD
2017-01-10,AVY,Materials,72.56,73.3,72.28,72.73,640800,USD
2017-01-11,AVY,Materials,72.48,72.83,72.35,72.7,399722,USD
2017-01-12,AVY,Materials,72.46,72.57,71.39,72.13,510838,USD
2017-01-13,AVY,Materials,72.43,72.95,71.81,72.15,574521,USD
2017-01-17,AVY,Materials,72.16,72.8,71.95,72.45,544631,USD
2017-01-18,AVY,Materials,72.44,73.17,72.0,73.17,760513,USD
2017-01-19,AVY,Materials,73.15,73.43,72.46,72.49,635788,USD
2017-01-20,AVY,Materials,72.87,73.09,72.05,72.41,524872,USD
2017-01-23,AVY,Materials,72.3,72.98,72.01,72.89,400864,USD
2017-01-24,AVY,Materials,72.84,73.99,72.82,73.83,645626,USD
2017-01-25,AVY,Materials,74.17,74.82,73.22,74.49,769948,USD
2017-01-26,AVY,Materials,74.16,74.34,72.86,73.34,939029,USD
2017-01-27,AVY,Materials,73.51,73.78,72.99,73.77,755582,USD
2017-01-30,AVY,Materials,73.23,73.65,72.09,72.91,1337861,USD
2017-01-31,AVY,Materials,72.66,73.61,71.71,73.02,1673695,USD
2017-02-01,AVY,Materials,78.97,80.84,76.51,79.65,3018729,USD
2017-02-02,AVY,Materials,79.67,80.77,79.55,80.01,1709506,USD
2017-02-03,AVY,Materials,80.42,80.48,78.73,79.05,977658,USD
2017-02-06,AVY,Materials,78.8,79.84,78.17,79.51,848073,USD
2017-02-07,AVY,Materials,79.4,79.86,78.77,79.14,912371,USD
2017-02-08,AVY,Materials,78.97,79.64,78.66,79.41,856157,USD
2017-02-09,AVY,Materials,79.51,79.75,78.86,78.9,741051,USD
2017-02-10,AVY,Materials,78.85,79.78,78.55,79.27,519543,USD
2017-02-13,AVY,Materials,79.37,79.89,79.17,79.45,452110,USD
2017-02-14,AVY,Materials,79.46,79.92,78.82,79.29,624567,USD
2017-02-15,AVY,Materials,79.06,79.93,79.06,79.54,481461,USD
2017-02-16,AVY,Materials,79.83,80.46,79.64,80.16,972372,USD
2017-02-17,AVY,Materials,79.97,79.98,79.01,79.41,584903,USD
2017-02-21,AVY,Materials,79.4,80.43,79.26,80.35,486610,USD
2017-02-22,AVY,Materials,80.09,80.22,79.31,79.81,476743,USD
2017-02-23,AVY,Materials,80.14,80.92,79.49,80.65,705947,USD
2017-02-24,AVY,Materials,80.44,80.87,79.87,80.25,586728,USD
2017-02-27,AVY,Materials,80.16,81.27,80.02,80.7,621029,USD
2017-02-28,AVY,Materials,80.5,81.16,80.22,80.71,652146,USD
2017-03-01,AVY,Materials,81.5,82.11,81.21,81.85,813967,USD
2017-03-02,AVY,Materials,81.61,81.98,81.05,81.77,855615,USD
2017-03-03,AVY,Materials,81.72,81.98,81.14,81.76,590361,USD
2017-03-06,AVY,Materials,81.19,81.8,80.74,81.14,721486,USD
2017-03-07,AVY,Materials,81.03,81.38,80.05,80.4,812596,USD
2017-03-08,AVY,Materials,80.39,80.7,79.84,79.97,770482,USD
2017-03-09,AVY,Materials,80.07,80.1,79.45,79.89,648157,USD
2017-03-10,AVY,Materials,80.32,80.85,80.14,80.5,545167,USD
2017-03-13,AVY,Materials,80.51,80.94,79.88,80.3,308863,USD
2017-03-14,AVY,Materials,80.11,80.51,79.75,79.88,397557,USD
2017-03-15,AVY,Materials,79.98,80.66,79.97,80.57,612497,USD
2017-03-16,AVY,Materials,80.68,80.68,79.51,79.78,427477,USD
2017-03-17,AVY,Materials,79.97,80.47,79.54,80.39,943407,USD
2017-03-20,AVY,Materials,80.23,80.31,79.41,79.78,451247,USD
2017-03-21,AVY,Materials,80.01,80.18,78.53,78.8,631328,USD
2017-03-22,AVY,Materials,78.81,79.42,78.47,78.91,540940,USD
2017-03-23,AVY,Materials,78.98,79.93,78.9,79.67,620956,USD
2017-03-24,AVY,Materials,79.52,80.23,79.21,79.61,552858,USD
2017-03-27,AVY,Materials,78.82,79.75,78.61,79.61,506123,USD
2017-03-28,AVY,Materials,79.63,80.8,79.58,80.4,508315,USD
2017-03-29,AVY,Materials,80.22,80.6,80.04,80.34,1112730,USD
2017-03-30,AVY,Materials,80.32,80.49,79.82,80.48,372635,USD
2017-03-31,AVY,Materials,80.35,80.74,80.04,80.6,644243,USD
2017-04-03,AVY,Materials,80.86,81.12,80.5,80.97,566631,USD
2017-04-04,AVY,Materials,80.96,81.23,80.33,80.66,612539,USD
2017-04-05,AVY,Materials,80.77,81.01,79.92,80.08,782323,USD
2017-04-06,AVY,Materials,80.14,80.14,79.5,79.85,523823,USD
2017-04-07,AVY,Materials,79.84,80.2,79.26,79.54,540296,USD
2017-04-10,AVY,Materials,79.6,80.24,79.45,79.83,754640,USD
2017-04-11,AVY,Materials,79.53,79.89,79.13,79.67,454818,USD
2017-04-12,AVY,Materials,79.31,79.79,79.23,79.64,568795,USD
2017-04-13,AVY,Materials,79.68,79.95,79.36,79.48,1085414,USD
2017-04-17,AVY,Materials,79.77,80.29,79.62,80.29,339306,USD
2017-04-18,AVY,Materials,80.12,80.87,80.12,80.74,618730,USD
2017-04-19,AVY,Materials,80.86,81.52,80.83,81.48,602021,USD
2017-04-20,AVY,Materials,81.67,82.36,81.33,82.2,1407538,USD
2017-04-21,AVY,Materials,82.17,82.39,81.6,81.69,1136374,USD
2017-04-24,AVY,Materials,82.6,82.78,81.78,82.44,706829,USD
2017-04-25,AVY,Materials,82.71,82.86,82.06,82.41,725578,USD
2017-04-26,AVY,Materials,82.17,83.66,80.91,83.2,1264974,USD
2017-04-27,AVY,Materials,83.48,83.93,82.11,83.54,928820,USD
2017-04-28,AVY,Materials,83.47,83.86,83.01,83.21,854833,USD
2017-05-01,AVY,Materials,83.2,83.83,83.01,83.6,535578,USD
2017-05-02,AVY,Materials,83.6,84.08,83.27,83.45,765290,USD
2017-05-03,AVY,Materials,83.37,83.48,82.99,83.34,467139,USD
2017-05-04,AVY,Materials,83.53,83.99,83.42,83.7,545840,USD
2017-05-05,AVY,Materials,83.83,84.28,83.76,84.17,334426,USD
2017-05-08,AVY,Materials,84.14,84.52,83.67,83.76,327202,USD
2017-05-09,AVY,Materials,83.73,83.98,82.68,83.01,815692,USD
2017-05-10,AVY,Materials,82.91,83.54,82.84,83.54,674952,USD
2017-05-11,AVY,Materials,83.17,83.59,82.83,83.59,469890,USD
2017-05-12,AVY,Materials,83.32,83.75,83.01,83.35,445314,USD
2017-05-15,AVY,Materials,83.39,84.22,83.11,84.17,584553,USD
2017-05-16,AVY,Materials,84.2,84.56,83.7,84.31,542684,USD
2017-05-17,AVY,Materials,83.6,83.77,82.5,82.64,565193,USD
2017-05-18,AVY,Materials,82.47,82.81,81.84,82.5,732021,USD
2017-05-19,AVY,Materials,82.75,83.12,82.36,82.76,721058,USD
2017-05-22,AVY,Materials,82.75,83.31,82.5,83.19,288912,USD
2017-05-23,AVY,Materials,83.3,83.64,82.75,82.8,316673,USD
2017-05-24,AVY,Materials,82.92,83.25,82.73,82.82,531915,USD
2017-05-25,AVY,Materials,83.14,84.06,82.98,83.83,520608,USD
2017-05-26,AVY,Materials,83.73,84.31,83.5,84.29,302671,USD
2017-05-30,AVY,Materials,84.34,84.63,83.95,84.42,321446,USD
2017-05-31,AVY,Materials,84.74,84.75,83.94,84.26,757988,USD
2017-06-01,AVY,Materials,84.29,85.9,84.02,85.75,757259,USD
2017-06-02,AVY,Materials,85.83,85.83,84.69,84.75,363078,USD
2017-06-05,AVY,Materials,84.4,84.79,83.89,84.13,730500,USD
2017-06-06,AVY,Materials,83.94,84.0,83.2,83.71,735590,USD
2017-06-07,AVY,Materials,84.06,84.11,83.26,83.59,518442,USD
2017-06-08,AVY,Materials,83.45,83.7,83.1,83.28,604327,USD
2017-06-09,AVY,Materials,83.47,84.35,83.21,84.09,482025,USD
2017-06-12,AVY,Materials,84.01,84.6,83.52,84.45,456134,USD
2017-06-13,AVY,Materials,84.43,85.58,84.37,85.48,562507,USD
2017-06-14,AVY,Materials,85.38,86.01,85.3,85.45,444309,USD
2017-06-15,AVY,Materials,85.31,86.25,85.16,85.55,492174,USD
2017-06-16,AVY,Materials,85.53,85.72,84.76,85.65,669581,USD
2017-06-19,AVY,Materials,85.88,86.8,85.69,86.67,1024901,USD
2017-06-20,AVY,Materials,87.76,89.07,87.5,87.92,772010,USD
2017-06-21,AVY,Materials,87.63,88.13,87.09,87.73,475061,USD
2017-06-22,AVY,Materials,87.85,87.9,87.39,87.55,474908,USD
2017-06-23,AVY,Materials,87.74,88.15,87.46,88.05,715263,USD
2017-06-26,AVY,Materials,88.05,88.33,87.66,88.17,319603,USD
2017-06-27,AVY,Materials,88.34,88.75,87.8,88.07,388125,USD
2017-06-28,AVY,Materials,88.52,89.51,88.52,88.78,431241,USD
2017-06-29,AVY,Materials,88.85,88.85,87.43,88.14,376024,USD
2017-06-30,AVY,Materials,88.59,88.88,88.35,88.37,427177,USD
2017-07-03,AVY,Materials,88.96,89.28,88.62,88.87,262770,USD
2017-07-05,AVY,Materials,89.02,89.29,88.64,88.82,546190,USD
2017-07-06,AVY,Materials,88.63,89.4,88.46,89.18,941462,USD
2017-07-07,AVY,Materials,89.72,91.17,89.54,90.78,685074,USD
2017-07-10,AVY,Materials,90.6,91.68,90.6,91.43,598348,USD
2017-07-11,AVY,Materials,91.59,92.33,91.33,91.75,648226,USD
2017-07-12,AVY,Materials,92.25,93.66,91.92,93.22,691289,USD
2017-07-13,AVY,Materials,93.45,93.8,92.6,93.08,718723,USD
2017-07-14,AVY,Materials,93.31,94.31,92.97,94.02,678852,USD
2017-07-17,AVY,Materials,94.02,94.25,93.73,93.98,593734,USD
2017-07-18,AVY,Materials,93.75,94.17,93.07,93.4,629777,USD
2017-07-19,AVY,Materials,93.88,94.13,93.55,94.07,1269002,USD
2017-07-20,AVY,Materials,94.08,94.47,93.71,94.06,662801,USD
2017-07-21,AVY,Materials,94.12,94.24,93.66,93.89,659775,USD
2017-07-24,AVY,Materials,93.77,94.49,93.77,93.96,927070,USD
2017-07-25,AVY,Materials,95.87,96.7,90.41,91.27,1663710,USD
2017-07-26,AVY,Materials,91.45,93.36,91.0,92.34,1220235,USD
