Date,Name,Type,Open,High,Low,Close,Volume,Currency
03/01/2017,AWK,Utilities,72.37,72.45,71.51,72.25,806727,USD
04/01/2017,AWK,Utilities,72.49,73,72.16,72.81,639987,USD
05/01/2017,AWK,Utilities,72.69,73.21,71.72,72.93,763109,USD
06/01/2017,AWK,Utilities,72.65,73.07,72.45,72.84,919790,USD
09/01/2017,AWK,Utilities,72.88,73,71.19,71.35,794625,USD
10/01/2017,AWK,Utilities,71.21,71.25,70.52,70.72,1088025,USD
11/01/2017,AWK,Utilities,70.66,71.25,70.32,70.57,946116,USD
12/01/2017,AWK,Utilities,70.6,70.87,69.96,70.69,949183,USD
13/01/2017,AWK,Utilities,70.62,71.05,70.4,70.82,589495,USD
17/01/2017,AWK,Utilities,71.11,72.33,71.01,72.07,957290,USD
18/01/2017,AWK,Utilities,72.01,72.64,71.57,72.6,1361384,USD
19/01/2017,AWK,Utilities,71.81,72.52,71.73,71.87,834881,USD
20/01/2017,AWK,Utilities,71.82,72.4,71.58,71.93,813024,USD
23/01/2017,AWK,Utilities,72.01,72.21,71.48,71.77,743483,USD
24/01/2017,AWK,Utilities,71.77,72,71.31,71.91,819124,USD
25/01/2017,AWK,Utilities,71.44,71.88,71,71.72,1202821,USD
26/01/2017,AWK,Utilities,71.67,72.43,71.5,72.19,941573,USD
27/01/2017,AWK,Utilities,72.3,72.5,72.01,72.31,869258,USD
30/01/2017,AWK,Utilities,71.92,72.36,71.55,71.91,1073942,USD
31/01/2017,AWK,Utilities,71.95,73.47,71.89,73.44,1062527,USD
01/02/2017,AWK,Utilities,72.91,72.92,71.63,71.8,1315579,USD
02/02/2017,AWK,Utilities,71.91,73.04,71.76,72.99,1099677,USD
03/02/2017,AWK,Utilities,72.69,72.97,72.07,72.41,736060,USD
06/02/2017,AWK,Utilities,72.54,72.54,71.89,72.09,857454,USD
07/02/2017,AWK,Utilities,72.05,72.23,71.7,72.09,783496,USD
08/02/2017,AWK,Utilities,72.23,73.15,71.94,72.93,790817,USD
09/02/2017,AWK,Utilities,72.97,73.12,72.46,72.85,716543,USD
10/02/2017,AWK,Utilities,72.87,73.47,72.55,73.46,701237,USD
13/02/2017,AWK,Utilities,73.38,73.7,72.98,73.22,650449,USD
14/02/2017,AWK,Utilities,72.92,73.22,72.53,72.81,777097,USD
15/02/2017,AWK,Utilities,72.47,73.04,71.89,73.01,670219,USD
16/02/2017,AWK,Utilities,73.12,73.73,73.01,73.44,625369,USD
17/02/2017,AWK,Utilities,73.44,74.02,73.16,73.81,2662875,USD
21/02/2017,AWK,Utilities,73.81,74.44,73.63,74.38,1024758,USD
22/02/2017,AWK,Utilities,75,75.24,73.05,74.92,1212718,USD
23/02/2017,AWK,Utilities,75.01,75.75,74.98,75.57,993447,USD
24/02/2017,AWK,Utilities,75.71,76.69,75.71,76.3,866151,USD
27/02/2017,AWK,Utilities,76.22,76.75,75.78,76.45,830273,USD
28/02/2017,AWK,Utilities,76.49,78.73,76.27,78,1766442,USD
01/03/2017,AWK,Utilities,77.04,78.44,76.88,77.66,1647576,USD
02/03/2017,AWK,Utilities,77.54,78.11,77.05,77.84,1341405,USD
03/03/2017,AWK,Utilities,77.88,78.08,77.03,77.34,914703,USD
06/03/2017,AWK,Utilities,77.23,77.59,77.06,77.3,753193,USD
07/03/2017,AWK,Utilities,77.3,77.48,76.85,76.89,692532,USD
08/03/2017,AWK,Utilities,76.32,76.34,75.25,75.47,650625,USD
09/03/2017,AWK,Utilities,75.49,75.92,75.09,75.28,557487,USD
10/03/2017,AWK,Utilities,75.81,76.17,75.29,75.92,597196,USD
13/03/2017,AWK,Utilities,76,76.43,75.92,76.09,674666,USD
14/03/2017,AWK,Utilities,76,76.45,75.83,76.01,367794,USD
15/03/2017,AWK,Utilities,75.52,77.46,75.24,77.22,760622,USD
16/03/2017,AWK,Utilities,76.9,77.04,75.66,75.74,843826,USD
17/03/2017,AWK,Utilities,75.66,76.72,75.57,76.2,1876641,USD
20/03/2017,AWK,Utilities,76.4,76.43,75.51,75.93,522430,USD
21/03/2017,AWK,Utilities,76,76.78,75.53,76.49,801311,USD
22/03/2017,AWK,Utilities,76.86,77.44,76.86,77.16,859583,USD
23/03/2017,AWK,Utilities,77,77.58,76.29,76.49,647711,USD
24/03/2017,AWK,Utilities,76.63,77.23,76.3,77.09,571917,USD
27/03/2017,AWK,Utilities,77.58,77.67,76.41,76.84,877719,USD
28/03/2017,AWK,Utilities,76.71,77.28,76.44,77.19,951631,USD
29/03/2017,AWK,Utilities,77.07,77.35,76.47,77.17,1035917,USD
30/03/2017,AWK,Utilities,77.05,77.19,76.32,77,949590,USD
31/03/2017,AWK,Utilities,77.09,78.05,77.06,77.77,1453701,USD
03/04/2017,AWK,Utilities,77.59,77.75,76.73,77.14,915944,USD
04/04/2017,AWK,Utilities,77.26,77.97,77.1,77.72,736244,USD
05/04/2017,AWK,Utilities,77.7,78.51,77.36,78.29,896584,USD
06/04/2017,AWK,Utilities,78.06,78.29,77.34,77.94,684928,USD
07/04/2017,AWK,Utilities,78.03,78.48,77.85,77.9,540405,USD
10/04/2017,AWK,Utilities,78,78.09,77.48,78.02,487421,USD
11/04/2017,AWK,Utilities,77.94,78.5,77.75,78.3,657348,USD
12/04/2017,AWK,Utilities,78.37,78.84,78.11,78.82,1039322,USD
13/04/2017,AWK,Utilities,78.79,78.95,78.13,78.57,581051,USD
17/04/2017,AWK,Utilities,78.6,79.23,78.57,79.16,788163,USD
18/04/2017,AWK,Utilities,79.22,79.64,79.02,79.5,660760,USD
19/04/2017,AWK,Utilities,79.48,79.69,79.01,79.32,723681,USD
20/04/2017,AWK,Utilities,79.27,79.27,78.36,79.17,873974,USD
21/04/2017,AWK,Utilities,79.28,80.64,79.21,80.51,1126896,USD
24/04/2017,AWK,Utilities,80.51,81.26,80.28,80.77,1101446,USD
25/04/2017,AWK,Utilities,80.5,81.1,80.5,80.97,731782,USD
26/04/2017,AWK,Utilities,80.52,80.63,79.64,80.23,1104616,USD
27/04/2017,AWK,Utilities,80.34,81.49,80.34,80.41,913300,USD
28/04/2017,AWK,Utilities,80.35,80.69,79.56,79.76,1082781,USD
01/05/2017,AWK,Utilities,79.83,80.05,78.9,78.99,769859,USD
02/05/2017,AWK,Utilities,79.11,79.58,78.83,79.11,1298606,USD
03/05/2017,AWK,Utilities,78.74,78.74,77.56,77.7,1255308,USD
04/05/2017,AWK,Utilities,76.44,77.16,75.27,75.68,1845911,USD
05/05/2017,AWK,Utilities,76.06,76.86,75.8,76.65,1069161,USD
08/05/2017,AWK,Utilities,76.87,77.4,76.32,76.57,1331073,USD
09/05/2017,AWK,Utilities,76.26,76.42,75.16,75.3,1409162,USD
10/05/2017,AWK,Utilities,75.27,75.92,75.16,75.68,1121244,USD
11/05/2017,AWK,Utilities,75.44,75.77,74.85,75.72,749298,USD
12/05/2017,AWK,Utilities,75.71,76.69,75.51,76.31,1078043,USD
15/05/2017,AWK,Utilities,76.22,76.74,76.13,76.5,798729,USD
16/05/2017,AWK,Utilities,76.69,76.77,75.7,75.85,1085710,USD
17/05/2017,AWK,Utilities,75.28,75.79,74.88,75.55,983365,USD
18/05/2017,AWK,Utilities,75.66,75.95,74.63,75.25,1253647,USD
19/05/2017,AWK,Utilities,75.4,75.92,74.84,75.86,561225,USD
22/05/2017,AWK,Utilities,75.52,76.47,75.5,76.37,796702,USD
23/05/2017,AWK,Utilities,76.21,77,76.21,76.57,685373,USD
24/05/2017,AWK,Utilities,76.51,77.14,76.49,77.04,537151,USD
25/05/2017,AWK,Utilities,77.04,77.85,76.72,77.73,630809,USD
26/05/2017,AWK,Utilities,77.9,77.97,77.32,77.53,703595,USD
