Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,BA,Industrials,156.3,157.14,155.21,156.97,3426113,USD
2017-01-04,BA,Industrials,157.81,159.23,157.81,158.62,3189810,USD
2017-01-05,BA,Industrials,158.41,159.7,157.4,158.71,2795984,USD
2017-01-06,BA,Industrials,158.98,159.66,157.89,159.1,2426662,USD
2017-01-09,BA,Industrials,159.0,159.24,158.17,158.32,2839400,USD
2017-01-10,BA,Industrials,158.96,159.94,158.57,159.07,2988302,USD
2017-01-11,BA,Industrials,159.54,159.7,158.28,159.4,2416487,USD
2017-01-12,BA,Industrials,159.15,159.16,156.67,158.29,3020486,USD
2017-01-13,BA,Industrials,158.74,159.58,158.34,158.83,2435391,USD
2017-01-17,BA,Industrials,158.2,159.04,157.23,157.67,2758788,USD
2017-01-18,BA,Industrials,157.55,159.05,156.75,158.32,2087283,USD
2017-01-19,BA,Industrials,158.87,159.87,157.91,159.0,3143963,USD
2017-01-20,BA,Industrials,159.81,160.3,158.23,159.53,3384525,USD
2017-01-23,BA,Industrials,158.94,159.5,157.29,157.84,3931185,USD
2017-01-24,BA,Industrials,158.58,160.93,157.84,160.55,3927536,USD
2017-01-25,BA,Industrials,163.59,168.65,163.24,167.36,7480039,USD
2017-01-26,BA,Industrials,167.25,170.0,167.25,169.12,5436834,USD
2017-01-27,BA,Industrials,169.21,169.8,167.01,167.7,4883230,USD
2017-01-30,BA,Industrials,165.92,165.99,163.82,165.57,5456316,USD
2017-01-31,BA,Industrials,164.96,165.1,163.22,163.42,5350680,USD
2017-02-01,BA,Industrials,164.25,165.81,163.12,163.97,3138026,USD
2017-02-02,BA,Industrials,163.22,163.97,160.82,162.26,3791669,USD
2017-02-03,BA,Industrials,162.99,163.56,162.31,162.4,2981662,USD
2017-02-06,BA,Industrials,162.42,164.08,162.38,163.98,3110494,USD
2017-02-07,BA,Industrials,165.0,167.42,164.87,166.5,4243239,USD
2017-02-08,BA,Industrials,165.0,165.24,163.69,163.81,3041595,USD
2017-02-09,BA,Industrials,164.67,165.09,164.06,164.28,3451132,USD
2017-02-10,BA,Industrials,165.25,166.45,164.47,166.23,2689719,USD
2017-02-13,BA,Industrials,166.45,169.07,166.35,168.03,3765027,USD
2017-02-14,BA,Industrials,167.7,168.8,167.22,168.5,2580278,USD
2017-02-15,BA,Industrials,168.42,169.95,168.35,169.3,4033198,USD
2017-02-16,BA,Industrials,169.64,170.81,168.75,170.81,3070147,USD
2017-02-17,BA,Industrials,170.41,173.25,170.4,172.71,4982894,USD
2017-02-21,BA,Industrials,173.92,176.17,173.68,175.56,4231706,USD
2017-02-22,BA,Industrials,174.98,175.75,174.01,175.36,2832136,USD
2017-02-23,BA,Industrials,175.97,177.0,175.7,176.86,3502645,USD
2017-02-24,BA,Industrials,176.75,178.8,176.1,177.44,4197152,USD
2017-02-27,BA,Industrials,178.0,179.88,177.55,179.43,2892626,USD
2017-02-28,BA,Industrials,180.34,181.93,179.67,180.23,4785145,USD
2017-03-01,BA,Industrials,181.85,184.8,181.82,183.91,5461751,USD
2017-03-02,BA,Industrials,184.0,185.71,182.97,182.99,4909023,USD
2017-03-03,BA,Industrials,183.04,183.58,181.45,182.18,3940363,USD
2017-03-06,BA,Industrials,181.4,182.3,180.43,180.93,4244029,USD
2017-03-07,BA,Industrials,180.64,182.84,180.62,182.02,2451990,USD
2017-03-08,BA,Industrials,182.4,182.69,181.49,181.74,2321738,USD
2017-03-09,BA,Industrials,181.43,182.59,179.58,180.57,3100466,USD
2017-03-10,BA,Industrials,181.9,181.97,177.92,178.7,4595621,USD
2017-03-13,BA,Industrials,177.16,179.19,177.07,179.05,3499021,USD
2017-03-14,BA,Industrials,178.54,179.69,177.71,178.73,2346666,USD
2017-03-15,BA,Industrials,179.0,179.24,177.97,178.71,3569047,USD
2017-03-16,BA,Industrials,179.82,180.0,177.64,178.19,3100744,USD
2017-03-17,BA,Industrials,178.31,180.38,178.17,180.1,5037385,USD
2017-03-20,BA,Industrials,180.1,180.15,179.14,179.39,2062211,USD
2017-03-21,BA,Industrials,179.99,180.25,175.5,175.96,3239579,USD
2017-03-22,BA,Industrials,175.96,177.1,175.5,176.98,2505738,USD
2017-03-23,BA,Industrials,177.34,177.85,176.59,177.26,2006383,USD
2017-03-24,BA,Industrials,176.85,177.53,174.77,175.82,2386809,USD
2017-03-27,BA,Industrials,174.37,176.44,173.75,176.1,2750685,USD
2017-03-28,BA,Industrials,176.29,177.68,175.0,177.36,2412559,USD
2017-03-29,BA,Industrials,177.4,177.99,176.97,177.63,1640601,USD
2017-03-30,BA,Industrials,177.25,178.49,177.22,177.98,1737221,USD
2017-03-31,BA,Industrials,178.02,178.18,176.81,176.86,2032749,USD
2017-04-03,BA,Industrials,177.08,177.73,175.5,176.65,2934818,USD
2017-04-04,BA,Industrials,176.88,178.79,176.76,178.7,2326494,USD
2017-04-05,BA,Industrials,179.0,180.18,176.89,177.08,2567212,USD
2017-04-06,BA,Industrials,177.56,178.22,177.12,177.37,2343873,USD
2017-04-07,BA,Industrials,178.39,179.09,177.26,178.85,2806866,USD
2017-04-10,BA,Industrials,179.0,179.97,177.48,177.56,2309273,USD
2017-04-11,BA,Industrials,177.5,178.6,176.96,178.57,2266280,USD
2017-04-12,BA,Industrials,178.25,178.25,175.94,176.05,2922725,USD
2017-04-13,BA,Industrials,175.74,176.88,175.56,175.62,2024086,USD
2017-04-17,BA,Industrials,175.84,179.08,175.65,179.02,2450222,USD
2017-04-18,BA,Industrials,178.59,179.97,177.12,177.85,2960165,USD
