Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,BAC,Financials,22.6,22.68,22.2,22.53,99298000,USD
2017-01-04,BAC,Financials,22.72,22.96,22.6,22.95,76875000,USD
2017-01-05,BAC,Financials,22.82,22.93,22.34,22.68,86826000,USD
2017-01-06,BAC,Financials,22.78,22.85,22.56,22.68,66281000,USD
2017-01-09,BAC,Financials,22.51,22.71,22.4,22.55,75902000,USD
2017-01-10,BAC,Financials,22.59,23.14,22.54,22.94,100978000,USD
2017-01-11,BAC,Financials,22.94,23.07,22.72,23.07,92386000,USD
2017-01-12,BAC,Financials,23.01,23.12,22.61,22.92,120474000,USD
2017-01-13,BAC,Financials,23.21,23.41,22.8,23.01,161931008,USD
2017-01-17,BAC,Financials,22.68,22.79,22.01,22.05,152496000,USD
2017-01-18,BAC,Financials,22.3,22.65,22.1,22.63,124366000,USD
2017-01-19,BAC,Financials,22.73,22.81,22.41,22.53,75991000,USD
2017-01-20,BAC,Financials,22.66,22.93,22.52,22.64,102565000,USD
2017-01-23,BAC,Financials,22.62,22.76,22.41,22.56,61386000,USD
2017-01-24,BAC,Financials,22.61,23.09,22.48,22.95,98509000,USD
2017-01-25,BAC,Financials,23.32,23.42,23.1,23.37,99753000,USD
2017-01-26,BAC,Financials,23.41,23.55,23.28,23.44,84146000,USD
2017-01-27,BAC,Financials,23.43,23.45,23.28,23.36,54590000,USD
2017-01-30,BAC,Financials,23.2,23.2,22.71,22.95,91561000,USD
2017-01-31,BAC,Financials,22.77,23.02,22.5,22.64,91044000,USD
2017-02-01,BAC,Financials,22.97,23.22,22.82,22.89,103631000,USD
2017-02-02,BAC,Financials,22.74,22.79,22.51,22.72,88679000,USD
2017-02-03,BAC,Financials,23.15,23.35,22.95,23.29,116035000,USD
2017-02-06,BAC,Financials,23.15,23.38,23.07,23.12,92228000,USD
2017-02-07,BAC,Financials,23.28,23.29,22.86,22.9,87983000,USD
2017-02-08,BAC,Financials,22.73,22.73,22.45,22.67,102265000,USD
2017-02-09,BAC,Financials,22.76,23.15,22.64,23.12,102634000,USD
2017-02-10,BAC,Financials,23.19,23.24,22.96,23.08,90548000,USD
2017-02-13,BAC,Financials,23.17,23.54,23.17,23.4,105342000,USD
2017-02-14,BAC,Financials,23.4,24.17,23.33,24.06,139711008,USD
2017-02-15,BAC,Financials,24.34,24.77,24.11,24.58,151232992,USD
2017-02-16,BAC,Financials,24.54,24.62,24.3,24.58,98144000,USD
2017-02-17,BAC,Financials,24.28,24.58,24.2,24.52,85789000,USD
2017-02-21,BAC,Financials,24.59,24.8,24.58,24.78,78571000,USD
2017-02-22,BAC,Financials,24.61,24.95,24.54,24.79,81532000,USD
2017-02-23,BAC,Financials,24.79,24.89,24.51,24.58,85846000,USD
2017-02-24,BAC,Financials,24.12,24.35,24.02,24.23,97074000,USD
2017-02-27,BAC,Financials,24.2,24.66,24.19,24.57,69129000,USD
2017-02-28,BAC,Financials,24.48,24.7,24.42,24.68,90242000,USD
2017-03-01,BAC,Financials,25.37,25.61,25.22,25.5,143948000,USD
2017-03-02,BAC,Financials,25.68,25.8,25.2,25.23,99825000,USD
2017-03-03,BAC,Financials,25.3,25.65,25.3,25.44,92681000,USD
2017-03-06,BAC,Financials,25.33,25.35,25.08,25.25,75660000,USD
2017-03-07,BAC,Financials,25.22,25.36,25.1,25.21,64054000,USD
2017-03-08,BAC,Financials,25.6,25.77,25.22,25.26,105315000,USD
2017-03-09,BAC,Financials,25.35,25.53,25.23,25.35,78985000,USD
2017-03-10,BAC,Financials,25.62,25.62,25.09,25.31,86999000,USD
2017-03-13,BAC,Financials,25.3,25.41,25.13,25.3,56886000,USD
2017-03-14,BAC,Financials,25.19,25.34,25.05,25.32,63183000,USD
2017-03-15,BAC,Financials,25.39,25.55,24.96,25.18,114663000,USD
2017-03-16,BAC,Financials,25.24,25.49,25.19,25.22,70306000,USD
2017-03-17,BAC,Financials,25.22,25.27,24.83,24.86,105222000,USD
2017-03-20,BAC,Financials,24.58,24.76,24.42,24.44,87287000,USD
2017-03-21,BAC,Financials,24.5,24.56,22.95,23.02,259546000,USD
2017-03-22,BAC,Financials,22.65,23.18,22.45,22.94,167984000,USD
2017-03-23,BAC,Financials,23.04,23.49,22.91,23.07,111667000,USD
2017-03-24,BAC,Financials,23.2,23.35,22.76,23.12,113499000,USD
2017-03-27,BAC,Financials,22.28,23.05,22.16,23.03,119513000,USD
2017-03-28,BAC,Financials,23.01,23.67,23.0,23.48,95762000,USD
2017-03-29,BAC,Financials,23.51,23.65,23.31,23.35,67204000,USD
2017-03-30,BAC,Financials,23.38,23.98,23.33,23.87,79189000,USD
2017-03-31,BAC,Financials,23.83,23.97,23.59,23.59,77158000,USD
2017-04-03,BAC,Financials,23.65,23.75,23.08,23.59,88077000,USD
2017-04-04,BAC,Financials,23.2,23.51,23.2,23.44,75244000,USD
2017-04-05,BAC,Financials,23.77,23.88,23.15,23.17,97453000,USD
2017-04-06,BAC,Financials,23.17,23.46,22.96,23.26,82975000,USD
2017-04-07,BAC,Financials,23.03,23.34,22.93,23.16,79519000,USD
2017-04-10,BAC,Financials,23.13,23.28,22.91,23.02,63255000,USD
2017-04-11,BAC,Financials,22.83,22.95,22.58,22.92,94207000,USD
2017-04-12,BAC,Financials,22.88,22.94,22.61,22.65,76556000,USD
2017-04-13,BAC,Financials,22.56,22.96,22.34,22.34,88062000,USD
2017-04-17,BAC,Financials,22.36,22.83,22.26,22.81,85053000,USD
2017-04-18,BAC,Financials,23.11,23.15,22.38,22.71,146488000,USD
2017-04-19,BAC,Financials,22.92,23.15,22.68,22.74,101772000,USD
2017-04-20,BAC,Financials,22.96,23.17,22.82,23.07,103803000,USD
2017-04-21,BAC,Financials,23.03,23.08,22.59,22.71,127235000,USD
2017-04-24,BAC,Financials,23.24,23.85,23.24,23.63,138639008,USD
2017-04-25,BAC,Financials,23.99,24.35,23.91,23.98,131531000,USD
2017-04-26,BAC,Financials,24.0,24.19,23.86,23.89,95172000,USD
2017-04-27,BAC,Financials,23.9,23.93,23.46,23.65,80024000,USD
2017-04-28,BAC,Financials,23.57,23.72,23.32,23.34,69385000,USD
2017-05-01,BAC,Financials,23.52,23.77,23.35,23.61,72383000,USD
2017-05-02,BAC,Financials,23.61,23.67,23.33,23.53,60263000,USD
2017-05-03,BAC,Financials,23.37,23.78,23.34,23.77,64273000,USD
2017-05-04,BAC,Financials,23.98,24.05,23.73,23.85,68133000,USD
2017-05-05,BAC,Financials,23.98,23.99,23.6,23.74,56679000,USD
2017-05-08,BAC,Financials,23.75,24.06,23.75,23.96,56016000,USD
2017-05-09,BAC,Financials,24.03,24.31,23.87,23.98,61622000,USD
2017-05-10,BAC,Financials,23.91,24.17,23.87,24.15,48495000,USD
2017-05-11,BAC,Financials,24.09,24.23,23.84,24.07,68351000,USD
2017-05-12,BAC,Financials,23.92,24.0,23.75,24.0,62589000,USD
2017-05-15,BAC,Financials,24.06,24.14,23.98,24.06,50689000,USD
2017-05-16,BAC,Financials,24.07,24.17,23.94,23.99,55775000,USD
2017-05-17,BAC,Financials,23.37,23.45,22.46,22.57,190352992,USD
2017-05-18,BAC,Financials,22.61,23.0,22.5,22.74,108444000,USD
2017-05-19,BAC,Financials,22.91,23.3,22.87,23.05,89567000,USD
2017-05-22,BAC,Financials,23.19,23.24,22.82,23.04,74839000,USD
2017-05-23,BAC,Financials,23.03,23.5,22.84,23.39,79020000,USD
2017-05-24,BAC,Financials,23.44,23.47,23.22,23.36,59213000,USD
2017-05-25,BAC,Financials,23.41,23.58,23.22,23.25,60443000,USD
2017-05-26,BAC,Financials,23.23,23.42,23.17,23.24,50399000,USD
2017-05-30,BAC,Financials,23.13,23.21,22.88,22.91,61308000,USD
2017-05-31,BAC,Financials,22.78,22.8,22.09,22.41,138636000,USD
2017-06-01,BAC,Financials,22.48,22.64,22.3,22.63,69725000,USD
2017-06-02,BAC,Financials,22.27,22.59,22.16,22.45,79722000,USD
2017-06-05,BAC,Financials,22.44,22.7,22.39,22.41,51590000,USD
2017-06-06,BAC,Financials,22.2,22.41,22.07,22.23,71736000,USD
2017-06-07,BAC,Financials,22.3,22.62,22.27,22.6,66430000,USD
2017-06-08,BAC,Financials,22.62,23.21,22.6,22.97,93686000,USD
2017-06-09,BAC,Financials,23.22,23.67,23.21,23.67,108254000,USD
2017-06-12,BAC,Financials,23.82,24.04,23.55,23.78,85830000,USD
2017-06-13,BAC,Financials,23.95,24.11,23.66,23.77,68047000,USD
2017-06-14,BAC,Financials,23.55,23.81,23.2,23.76,102352000,USD
2017-06-15,BAC,Financials,23.55,23.95,23.47,23.54,69708000,USD
2017-06-16,BAC,Financials,23.56,23.62,23.37,23.43,57746000,USD
2017-06-19,BAC,Financials,23.61,24.0,23.6,23.91,58588000,USD
2017-06-20,BAC,Financials,23.91,23.99,23.48,23.49,59694000,USD
