Date,Name,Type,Open,High,Low,Close,Volume,Currency
03/01/2017,CCL,Consumer Discretionary,52.23,52.52,51.74,52.14,3450973,USD
04/01/2017,CCL,Consumer Discretionary,52.45,52.92,52.24,52.82,3169837,USD
05/01/2017,CCL,Consumer Discretionary,53.05,53.99,52.82,53.71,4022336,USD
06/01/2017,CCL,Consumer Discretionary,53.59,54.06,53.14,53.65,3669575,USD
09/01/2017,CCL,Consumer Discretionary,53.37,53.95,53.35,53.69,2413767,USD
10/01/2017,CCL,Consumer Discretionary,53.9,54.87,53.78,54.25,4197139,USD
11/01/2017,CCL,Consumer Discretionary,54.29,54.69,54.07,54.56,3234721,USD
12/01/2017,CCL,Consumer Discretionary,54.22,54.3,53.25,53.64,3121418,USD
13/01/2017,CCL,Consumer Discretionary,53.47,53.75,53.19,53.46,1940302,USD
17/01/2017,CCL,Consumer Discretionary,53.48,53.48,52.74,53.09,2738192,USD
18/01/2017,CCL,Consumer Discretionary,52.79,53.73,52.65,53.6,3185992,USD
19/01/2017,CCL,Consumer Discretionary,53.6,54.14,53.42,53.45,2163300,USD
20/01/2017,CCL,Consumer Discretionary,53.53,53.95,53.02,53.3,2666166,USD
23/01/2017,CCL,Consumer Discretionary,53.33,53.82,53.03,53.77,2381144,USD
24/01/2017,CCL,Consumer Discretionary,53.72,54.7,53.66,54.53,2532776,USD
25/01/2017,CCL,Consumer Discretionary,54.7,55.88,54.65,55.83,5113236,USD
26/01/2017,CCL,Consumer Discretionary,56.81,57.79,56.45,56.93,5702299,USD
27/01/2017,CCL,Consumer Discretionary,56.94,56.98,56.11,56.29,2927752,USD
30/01/2017,CCL,Consumer Discretionary,56,56.14,55.52,55.64,3278992,USD
31/01/2017,CCL,Consumer Discretionary,55.64,55.64,54.75,55.38,2966081,USD
01/02/2017,CCL,Consumer Discretionary,55.27,55.7,55.02,55.47,1952068,USD
02/02/2017,CCL,Consumer Discretionary,55.45,55.46,55.08,55.31,1514367,USD
03/02/2017,CCL,Consumer Discretionary,55.42,55.72,55.21,55.28,1573611,USD
06/02/2017,CCL,Consumer Discretionary,55.08,55.58,55.02,55.5,1466935,USD
07/02/2017,CCL,Consumer Discretionary,55.56,55.64,55.19,55.45,1550046,USD
08/02/2017,CCL,Consumer Discretionary,55.7,55.78,55.35,55.59,1723996,USD
09/02/2017,CCL,Consumer Discretionary,55.47,56.48,55.45,56.31,3283833,USD
10/02/2017,CCL,Consumer Discretionary,56.02,56.33,55.88,56.25,2610317,USD
13/02/2017,CCL,Consumer Discretionary,56.63,56.93,56.43,56.46,2688057,USD
14/02/2017,CCL,Consumer Discretionary,56.53,56.64,56.28,56.37,2755528,USD
15/02/2017,CCL,Consumer Discretionary,56.03,56.53,55.61,56.48,3190217,USD
16/02/2017,CCL,Consumer Discretionary,56.34,56.46,55.7,56.03,2674492,USD
17/02/2017,CCL,Consumer Discretionary,55.76,55.8,55.21,55.4,3954074,USD
21/02/2017,CCL,Consumer Discretionary,55.53,56.07,55.23,55.89,2780345,USD
22/02/2017,CCL,Consumer Discretionary,55.37,55.72,54.75,55.5,3625237,USD
23/02/2017,CCL,Consumer Discretionary,56.62,56.88,55.85,55.92,4377147,USD
24/02/2017,CCL,Consumer Discretionary,55.89,56.12,55.59,56.03,3586664,USD
27/02/2017,CCL,Consumer Discretionary,56.11,56.13,55.71,56.05,3478132,USD
28/02/2017,CCL,Consumer Discretionary,56.22,56.41,55.93,55.95,2542491,USD
01/03/2017,CCL,Consumer Discretionary,56.51,56.72,56.18,56.5,2682810,USD
02/03/2017,CCL,Consumer Discretionary,56.54,56.67,56.09,56.57,1852711,USD
03/03/2017,CCL,Consumer Discretionary,56.26,56.31,55.52,55.72,3252961,USD
