Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,CNP,Utilities,24.72,24.74,24.45,24.59,2246823,USD
2017-01-04,CNP,Utilities,24.7,25.12,24.7,24.81,3758680,USD
2017-01-05,CNP,Utilities,24.79,25.0,24.63,24.81,3079572,USD
2017-01-06,CNP,Utilities,24.8,25.45,24.79,25.36,3202361,USD
2017-01-09,CNP,Utilities,25.41,25.45,24.88,24.88,2497956,USD
2017-01-10,CNP,Utilities,24.86,25.08,24.74,24.95,2923520,USD
2017-01-11,CNP,Utilities,24.92,25.46,24.92,25.42,2702964,USD
2017-01-12,CNP,Utilities,25.41,25.47,25.17,25.33,2354882,USD
2017-01-13,CNP,Utilities,25.27,25.46,25.25,25.42,3594342,USD
2017-01-17,CNP,Utilities,25.48,25.75,25.39,25.49,2604303,USD
2017-01-18,CNP,Utilities,25.44,25.81,25.42,25.68,2759326,USD
2017-01-19,CNP,Utilities,25.6,25.64,25.31,25.44,2461033,USD
2017-01-20,CNP,Utilities,25.49,25.6,25.38,25.6,2922889,USD
2017-01-23,CNP,Utilities,25.61,25.67,25.33,25.44,1844786,USD
2017-01-24,CNP,Utilities,25.51,25.77,25.38,25.62,3809482,USD
2017-01-25,CNP,Utilities,25.56,26.06,25.55,25.95,4044719,USD
2017-01-26,CNP,Utilities,25.97,26.05,25.74,25.99,3079041,USD
2017-01-27,CNP,Utilities,26.0,26.06,25.86,26.06,3104563,USD
2017-01-30,CNP,Utilities,26.06,26.06,25.59,25.83,2448502,USD
2017-01-31,CNP,Utilities,25.87,26.23,25.77,26.21,4814210,USD
2017-02-01,CNP,Utilities,26.09,26.25,25.79,25.93,3624948,USD
2017-02-02,CNP,Utilities,25.91,26.21,25.78,26.19,3369708,USD
2017-02-03,CNP,Utilities,26.25,26.36,26.18,26.3,2057156,USD
2017-02-06,CNP,Utilities,26.39,26.43,26.03,26.09,2696908,USD
2017-02-07,CNP,Utilities,26.11,26.22,26.08,26.17,1937480,USD
2017-02-08,CNP,Utilities,26.1,26.45,26.04,26.42,2140644,USD
2017-02-09,CNP,Utilities,26.38,26.57,26.31,26.47,2441518,USD
2017-02-10,CNP,Utilities,26.46,26.59,26.41,26.49,2013371,USD
2017-02-13,CNP,Utilities,26.48,26.69,26.46,26.67,4106262,USD
2017-02-14,CNP,Utilities,26.32,26.47,25.9,26.05,2620628,USD
2017-02-15,CNP,Utilities,25.86,26.1,25.75,26.07,4074162,USD
2017-02-16,CNP,Utilities,26.04,26.39,26.01,26.37,1927720,USD
