Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,EQR,Real Estate,64.87,64.87,63.22,63.63,3005055,USD
2017-01-04,EQR,Real Estate,63.84,64.42,63.32,64.28,1934044,USD
2017-01-05,EQR,Real Estate,63.97,65.2,63.34,65.15,1693783,USD
2017-01-06,EQR,Real Estate,64.97,65.71,64.72,65.38,1638043,USD
2017-01-09,EQR,Real Estate,65.26,65.29,64.46,64.47,1777888,USD
2017-01-10,EQR,Real Estate,63.98,64.42,63.5,63.88,1958785,USD
2017-01-11,EQR,Real Estate,63.84,64.1,63.29,63.31,2235644,USD
2017-01-12,EQR,Real Estate,63.19,64.4,62.76,64.11,2286706,USD
2017-01-13,EQR,Real Estate,63.94,63.98,63.04,63.39,1534872,USD
2017-01-17,EQR,Real Estate,63.54,63.95,63.08,63.48,2156642,USD
2017-01-18,EQR,Real Estate,63.51,64.13,63.14,63.6,2113681,USD
2017-01-19,EQR,Real Estate,63.37,63.52,62.95,63.0,1940869,USD
2017-01-20,EQR,Real Estate,63.2,63.77,62.84,63.36,2100723,USD
2017-01-23,EQR,Real Estate,63.17,63.37,62.65,63.02,2037116,USD
2017-01-24,EQR,Real Estate,63.08,63.15,62.04,62.29,2848908,USD
2017-01-25,EQR,Real Estate,62.28,62.53,61.54,61.7,2656312,USD
2017-01-26,EQR,Real Estate,61.98,62.1,61.4,61.52,2200727,USD
2017-01-27,EQR,Real Estate,61.66,61.89,60.66,61.02,2565287,USD
2017-01-30,EQR,Real Estate,60.82,61.02,60.38,60.7,3167707,USD
2017-01-31,EQR,Real Estate,60.77,61.61,60.48,60.77,2922953,USD
2017-02-01,EQR,Real Estate,60.74,61.03,59.49,59.9,4693219,USD
2017-02-02,EQR,Real Estate,59.78,61.0,59.76,60.76,3153574,USD
2017-02-03,EQR,Real Estate,61.16,61.5,59.83,60.38,3078513,USD
2017-02-06,EQR,Real Estate,60.36,60.81,60.06,60.56,1676819,USD
2017-02-07,EQR,Real Estate,60.48,60.84,60.18,60.66,2088517,USD
2017-02-08,EQR,Real Estate,60.86,61.8,60.65,61.42,2895140,USD
2017-02-09,EQR,Real Estate,61.45,61.61,61.13,61.41,1490260,USD
2017-02-10,EQR,Real Estate,61.3,61.94,61.08,61.93,1585651,USD
2017-02-13,EQR,Real Estate,61.9,62.31,60.94,62.14,2306979,USD
2017-02-14,EQR,Real Estate,61.7,62.12,61.11,62.0,1434196,USD
2017-02-15,EQR,Real Estate,61.61,61.81,60.88,61.66,1356693,USD
2017-02-16,EQR,Real Estate,61.6,62.25,61.6,61.88,1041376,USD
2017-02-17,EQR,Real Estate,62.01,62.15,61.13,61.58,1365607,USD
2017-02-21,EQR,Real Estate,61.44,62.55,61.29,62.42,1524772,USD
2017-02-22,EQR,Real Estate,62.51,62.86,61.29,61.93,1459081,USD
2017-02-23,EQR,Real Estate,62.21,62.76,62.09,62.76,1310582,USD
2017-02-24,EQR,Real Estate,62.6,62.79,62.28,62.78,1171473,USD
2017-02-27,EQR,Real Estate,62.92,63.6,62.66,63.26,1456181,USD
2017-02-28,EQR,Real Estate,63.22,63.5,62.87,63.07,1805762,USD
2017-03-01,EQR,Real Estate,62.93,63.78,62.42,63.02,2442026,USD
2017-03-02,EQR,Real Estate,62.89,63.54,62.6,63.26,1850962,USD
2017-03-03,EQR,Real Estate,62.99,62.99,61.56,62.32,2087114,USD
2017-03-06,EQR,Real Estate,62.15,62.78,61.89,62.42,1452228,USD
2017-03-07,EQR,Real Estate,62.29,62.57,61.96,62.55,1374345,USD
2017-03-08,EQR,Real Estate,62.24,62.82,62.02,62.67,2444579,USD
2017-03-09,EQR,Real Estate,62.74,62.94,62.07,62.13,2774643,USD
2017-03-10,EQR,Real Estate,62.63,63.19,61.36,61.96,2780150,USD
2017-03-13,EQR,Real Estate,62.09,62.92,62.0,62.57,3129171,USD
2017-03-14,EQR,Real Estate,62.51,62.9,62.22,62.33,2214655,USD
2017-03-15,EQR,Real Estate,62.26,63.67,62.26,63.42,1658972,USD
2017-03-16,EQR,Real Estate,63.34,63.96,63.16,63.39,1518326,USD
2017-03-17,EQR,Real Estate,63.59,63.98,63.26,63.43,2604217,USD
2017-03-20,EQR,Real Estate,63.54,63.74,63.07,63.19,1118939,USD
2017-03-21,EQR,Real Estate,63.3,63.55,62.97,62.99,2103425,USD
2017-03-22,EQR,Real Estate,63.28,63.46,62.85,63.37,1568562,USD
2017-03-23,EQR,Real Estate,62.89,63.48,62.69,63.15,1645031,USD
2017-03-24,EQR,Real Estate,63.35,63.56,62.84,62.94,1738667,USD
2017-03-27,EQR,Real Estate,62.84,63.06,61.91,62.2,1361362,USD
2017-03-28,EQR,Real Estate,62.2,62.51,61.42,62.41,1735659,USD
2017-03-29,EQR,Real Estate,62.36,62.55,61.68,62.29,1610196,USD
2017-03-30,EQR,Real Estate,62.27,62.38,61.51,62.19,1133124,USD
2017-03-31,EQR,Real Estate,62.11,62.52,61.9,62.22,1768571,USD
2017-04-03,EQR,Real Estate,62.24,62.4,61.59,62.14,1313498,USD
2017-04-04,EQR,Real Estate,62.19,63.2,62.0,62.33,1889152,USD
2017-04-05,EQR,Real Estate,62.4,63.21,62.1,63.01,1867527,USD
2017-04-06,EQR,Real Estate,62.96,63.21,62.48,62.9,1201909,USD
2017-04-07,EQR,Real Estate,62.99,63.36,62.81,63.04,1475521,USD
2017-04-10,EQR,Real Estate,62.92,63.59,62.82,63.49,1016576,USD
2017-04-11,EQR,Real Estate,63.44,63.92,63.4,63.92,1550542,USD
2017-04-12,EQR,Real Estate,63.95,64.2,63.38,63.44,1536129,USD
2017-04-13,EQR,Real Estate,63.42,63.59,63.16,63.24,1301646,USD
2017-04-17,EQR,Real Estate,63.33,64.11,63.24,64.11,1247013,USD
2017-04-18,EQR,Real Estate,63.92,64.61,63.83,64.39,1615289,USD
2017-04-19,EQR,Real Estate,64.3,64.68,63.92,64.34,1832059,USD
2017-04-20,EQR,Real Estate,64.47,64.47,63.96,64.4,1663646,USD
2017-04-21,EQR,Real Estate,64.2,64.58,64.1,64.28,1797650,USD
2017-04-24,EQR,Real Estate,64.8,64.9,63.23,64.2,2358658,USD
2017-04-25,EQR,Real Estate,64.31,64.98,63.85,64.93,2800662,USD
2017-04-26,EQR,Real Estate,64.76,65.9,64.39,65.28,3491144,USD
2017-04-27,EQR,Real Estate,65.31,65.35,64.45,64.53,1845744,USD
2017-04-28,EQR,Real Estate,64.36,64.72,64.1,64.58,1920344,USD
2017-05-01,EQR,Real Estate,64.77,65.26,64.46,64.83,1898805,USD
2017-05-02,EQR,Real Estate,64.9,65.14,64.54,64.73,1645695,USD
2017-05-03,EQR,Real Estate,64.87,65.02,63.83,63.92,1846542,USD
2017-05-04,EQR,Real Estate,63.75,64.5,63.49,64.41,2423368,USD
2017-05-05,EQR,Real Estate,64.64,65.54,64.58,65.49,1749851,USD
2017-05-08,EQR,Real Estate,65.63,65.75,64.68,65.02,1500162,USD
2017-05-09,EQR,Real Estate,64.93,65.1,64.47,64.84,1379332,USD
2017-05-10,EQR,Real Estate,64.73,65.46,64.59,65.15,1065392,USD
2017-05-11,EQR,Real Estate,64.79,64.95,64.16,64.81,1075014,USD
2017-05-12,EQR,Real Estate,65.09,65.29,64.83,64.9,1249607,USD
2017-05-15,EQR,Real Estate,64.82,65.45,64.67,64.84,1263034,USD
2017-05-16,EQR,Real Estate,64.65,64.98,64.44,64.52,1283508,USD
2017-05-17,EQR,Real Estate,64.55,64.92,64.24,64.34,2535207,USD
2017-05-18,EQR,Real Estate,64.46,65.6,64.34,65.41,2086577,USD
2017-05-19,EQR,Real Estate,65.41,65.6,64.76,65.55,1908755,USD
2017-05-22,EQR,Real Estate,65.5,65.98,65.31,65.36,1435802,USD
2017-05-23,EQR,Real Estate,65.27,65.52,64.77,64.93,1728313,USD
2017-05-24,EQR,Real Estate,65.14,65.25,64.74,65.2,1325068,USD
2017-05-25,EQR,Real Estate,65.47,65.53,64.7,65.07,1242735,USD
2017-05-26,EQR,Real Estate,65.2,65.27,64.85,65.17,800232,USD
2017-05-30,EQR,Real Estate,65.16,65.47,64.96,65.31,1004813,USD
2017-05-31,EQR,Real Estate,65.33,65.68,65.05,65.09,2252789,USD
2017-06-01,EQR,Real Estate,65.06,65.08,64.4,64.93,1762333,USD
2017-06-02,EQR,Real Estate,65.29,66.73,65.27,66.72,2351252,USD
2017-06-05,EQR,Real Estate,66.41,67.5,66.13,67.42,1597404,USD
2017-06-06,EQR,Real Estate,67.39,67.39,66.73,66.9,1546482,USD
2017-06-07,EQR,Real Estate,66.9,67.24,66.76,67.09,1867472,USD
2017-06-08,EQR,Real Estate,67.18,67.5,66.38,67.44,1427898,USD
2017-06-09,EQR,Real Estate,67.31,67.68,66.93,67.63,1703501,USD
2017-06-12,EQR,Real Estate,67.42,67.59,66.71,66.95,1761690,USD
2017-06-13,EQR,Real Estate,67.06,67.55,66.72,67.11,935693,USD
2017-06-14,EQR,Real Estate,67.56,67.68,66.91,67.19,998971,USD
2017-06-15,EQR,Real Estate,67.04,68.11,67.0,67.77,1127010,USD
2017-06-16,EQR,Real Estate,68.29,68.78,68.11,68.57,2652663,USD
2017-06-19,EQR,Real Estate,68.75,68.83,67.93,68.13,1506967,USD
2017-06-20,EQR,Real Estate,68.18,68.57,67.4,68.16,1595860,USD
2017-06-21,EQR,Real Estate,68.03,68.19,67.26,68.01,1285190,USD
2017-06-22,EQR,Real Estate,67.37,67.42,66.56,67.04,1909615,USD
2017-06-23,EQR,Real Estate,67.01,67.33,66.68,67.21,2129115,USD
2017-06-26,EQR,Real Estate,67.39,67.55,67.02,67.14,877685,USD
2017-06-27,EQR,Real Estate,66.9,67.4,66.35,66.41,1464568,USD
2017-06-28,EQR,Real Estate,66.52,66.69,66.06,66.37,1349560,USD
2017-06-29,EQR,Real Estate,66.2,66.5,65.67,66.3,1722097,USD
2017-06-30,EQR,Real Estate,66.28,66.79,65.83,65.83,2061878,USD
2017-07-03,EQR,Real Estate,66.04,66.71,65.66,66.57,1044574,USD
2017-07-05,EQR,Real Estate,66.67,67.13,66.45,66.78,2157202,USD
2017-07-06,EQR,Real Estate,66.13,66.22,64.84,64.89,2827530,USD
2017-07-07,EQR,Real Estate,64.92,65.35,64.59,64.98,1446591,USD
2017-07-10,EQR,Real Estate,65.15,65.2,64.57,64.73,1394232,USD
2017-07-11,EQR,Real Estate,64.9,65.03,63.98,64.41,1049303,USD
2017-07-12,EQR,Real Estate,64.66,65.35,64.66,65.05,1162621,USD
2017-07-13,EQR,Real Estate,64.98,65.38,64.6,65.01,1098716,USD
2017-07-14,EQR,Real Estate,65.32,65.67,65.14,65.46,1311172,USD
2017-07-17,EQR,Real Estate,65.47,66.42,65.27,66.25,1212197,USD
2017-07-18,EQR,Real Estate,66.14,66.34,65.67,66.05,1722222,USD
2017-07-19,EQR,Real Estate,66.05,67.18,65.99,67.16,1774355,USD
2017-07-20,EQR,Real Estate,67.13,67.72,67.06,67.16,1491267,USD
2017-07-21,EQR,Real Estate,67.13,67.38,66.78,67.16,1187477,USD
2017-07-24,EQR,Real Estate,67.18,67.34,66.36,66.65,1683921,USD
2017-07-25,EQR,Real Estate,66.66,66.66,65.62,66.07,1942938,USD
2017-07-26,EQR,Real Estate,66.08,67.68,65.85,67.36,1929090,USD
