Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,F,Consumer Discretionary,12.2,12.6,12.13,12.59,40510820,USD
2017-01-04,F,Consumer Discretionary,12.77,13.27,12.74,13.17,77638072,USD
2017-01-05,F,Consumer Discretionary,13.21,13.22,12.63,12.77,75628440,USD
2017-01-06,F,Consumer Discretionary,12.8,12.84,12.64,12.76,40315888,USD
2017-01-09,F,Consumer Discretionary,12.79,12.86,12.63,12.63,39438392,USD
2017-01-10,F,Consumer Discretionary,12.7,13.02,12.66,12.85,58703536,USD
2017-01-11,F,Consumer Discretionary,12.71,12.72,12.51,12.67,49718724,USD
2017-01-12,F,Consumer Discretionary,12.66,12.68,12.35,12.59,36493264,USD
2017-01-13,F,Consumer Discretionary,12.62,12.67,12.5,12.63,29197104,USD
2017-01-17,F,Consumer Discretionary,12.65,12.73,12.54,12.61,49069460,USD
2017-01-18,F,Consumer Discretionary,12.43,12.45,12.3,12.41,33830796,USD
2017-01-19,F,Consumer Discretionary,12.4,12.56,12.34,12.43,30135566,USD
2017-01-20,F,Consumer Discretionary,12.45,12.48,12.31,12.36,29269964,USD
2017-01-23,F,Consumer Discretionary,12.35,12.38,12.22,12.31,31670704,USD
2017-01-24,F,Consumer Discretionary,12.35,12.61,12.34,12.61,34625204,USD
2017-01-25,F,Consumer Discretionary,12.71,12.8,12.64,12.79,46747840,USD
2017-01-26,F,Consumer Discretionary,12.65,12.68,12.35,12.37,55672776,USD
2017-01-27,F,Consumer Discretionary,12.48,12.54,12.38,12.49,34613868,USD
2017-01-30,F,Consumer Discretionary,12.46,12.46,12.28,12.37,39254172,USD
2017-01-31,F,Consumer Discretionary,12.31,12.39,12.19,12.36,46974480,USD
2017-02-01,F,Consumer Discretionary,12.45,12.58,12.22,12.32,44396812,USD
2017-02-02,F,Consumer Discretionary,12.3,12.37,12.23,12.28,29035384,USD
2017-02-03,F,Consumer Discretionary,12.42,12.62,12.39,12.56,38245252,USD
2017-02-06,F,Consumer Discretionary,12.55,12.62,12.46,12.52,26916768,USD
2017-02-07,F,Consumer Discretionary,12.5,12.52,12.31,12.34,32914412,USD
2017-02-08,F,Consumer Discretionary,12.34,12.45,12.27,12.38,26411416,USD
2017-02-09,F,Consumer Discretionary,12.4,12.47,12.35,12.38,32924624,USD
2017-02-10,F,Consumer Discretionary,12.44,12.51,12.37,12.51,32996464,USD
2017-02-13,F,Consumer Discretionary,12.54,12.62,12.48,12.56,24473996,USD
2017-02-14,F,Consumer Discretionary,12.64,12.7,12.59,12.65,28355724,USD
2017-02-15,F,Consumer Discretionary,12.62,12.64,12.55,12.63,25114438,USD
2017-02-16,F,Consumer Discretionary,12.61,12.64,12.48,12.54,22896524,USD
2017-02-17,F,Consumer Discretionary,12.5,12.58,12.42,12.58,26407404,USD
2017-02-21,F,Consumer Discretionary,12.61,12.72,12.61,12.69,29156180,USD
2017-02-22,F,Consumer Discretionary,12.66,12.77,12.65,12.67,24787512,USD
2017-02-23,F,Consumer Discretionary,12.7,12.71,12.55,12.56,22520596,USD
2017-02-24,F,Consumer Discretionary,12.51,12.51,12.38,12.47,40817304,USD
2017-02-27,F,Consumer Discretionary,12.49,12.68,12.43,12.66,41713096,USD
2017-02-28,F,Consumer Discretionary,12.63,12.66,12.45,12.53,36089848,USD
2017-03-01,F,Consumer Discretionary,12.66,12.75,12.65,12.69,36178588,USD
2017-03-02,F,Consumer Discretionary,12.72,12.74,12.58,12.66,33245050,USD
2017-03-03,F,Consumer Discretionary,12.66,12.71,12.53,12.65,30493532,USD
2017-03-06,F,Consumer Discretionary,12.58,12.6,12.5,12.52,28753624,USD
2017-03-07,F,Consumer Discretionary,12.51,12.53,12.42,12.46,25906932,USD
2017-03-08,F,Consumer Discretionary,12.5,12.64,12.46,12.53,27327834,USD
2017-03-09,F,Consumer Discretionary,12.54,12.54,12.4,12.5,29149096,USD
2017-03-10,F,Consumer Discretionary,12.55,12.63,12.47,12.53,34866056,USD
2017-03-13,F,Consumer Discretionary,12.56,12.63,12.5,12.54,22625832,USD
2017-03-14,F,Consumer Discretionary,12.51,12.56,12.45,12.55,26956658,USD
2017-03-15,F,Consumer Discretionary,12.56,12.65,12.52,12.65,34296196,USD
2017-03-16,F,Consumer Discretionary,12.65,12.72,12.59,12.7,28954694,USD
2017-03-17,F,Consumer Discretionary,12.74,12.74,12.45,12.48,54929116,USD
2017-03-20,F,Consumer Discretionary,12.48,12.49,12.25,12.28,45329648,USD
2017-03-21,F,Consumer Discretionary,12.3,12.32,11.7,11.72,101559880,USD
2017-03-22,F,Consumer Discretionary,11.78,11.83,11.62,11.77,71107864,USD
2017-03-23,F,Consumer Discretionary,11.57,11.75,11.5,11.67,71209264,USD
2017-03-24,F,Consumer Discretionary,11.66,11.77,11.55,11.62,43772440,USD
2017-03-27,F,Consumer Discretionary,11.51,11.55,11.41,11.46,57713420,USD
2017-03-28,F,Consumer Discretionary,11.51,11.8,11.48,11.65,57662808,USD
2017-03-29,F,Consumer Discretionary,11.73,11.76,11.64,11.68,35795736,USD
2017-03-30,F,Consumer Discretionary,11.67,11.74,11.61,11.68,28008240,USD
2017-03-31,F,Consumer Discretionary,11.66,11.68,11.6,11.64,26717520,USD
2017-04-03,F,Consumer Discretionary,11.64,11.64,11.28,11.44,65671112,USD
2017-04-04,F,Consumer Discretionary,11.38,11.48,11.28,11.37,40068176,USD
2017-04-05,F,Consumer Discretionary,11.48,11.49,11.25,11.26,43316140,USD
2017-04-06,F,Consumer Discretionary,11.27,11.36,11.22,11.27,36165280,USD
2017-04-07,F,Consumer Discretionary,11.26,11.31,11.21,11.23,28874908,USD
2017-04-10,F,Consumer Discretionary,11.26,11.35,11.24,11.25,25857108,USD
2017-04-11,F,Consumer Discretionary,11.27,11.28,11.17,11.28,36366316,USD
2017-04-12,F,Consumer Discretionary,11.27,11.29,11.2,11.23,56588424,USD
2017-04-13,F,Consumer Discretionary,11.22,11.25,11.11,11.11,32789904,USD
2017-04-17,F,Consumer Discretionary,11.22,11.3,11.14,11.28,44731736,USD
2017-04-18,F,Consumer Discretionary,11.15,11.18,11.08,11.14,35659988,USD
2017-04-19,F,Consumer Discretionary,11.19,11.28,11.17,11.19,37524444,USD
2017-04-20,F,Consumer Discretionary,11.25,11.5,11.24,11.47,49990192,USD
2017-04-21,F,Consumer Discretionary,11.46,11.48,11.32,11.34,26076186,USD
2017-04-24,F,Consumer Discretionary,11.48,11.5,11.36,11.43,41071328,USD
2017-04-25,F,Consumer Discretionary,11.47,11.5,11.43,11.48,35862520,USD
2017-04-26,F,Consumer Discretionary,11.47,11.7,11.45,11.6,51685768,USD
2017-04-27,F,Consumer Discretionary,11.66,11.68,11.34,11.47,50203740,USD
2017-04-28,F,Consumer Discretionary,11.51,11.51,11.4,11.47,41415144,USD
2017-05-01,F,Consumer Discretionary,11.49,11.54,11.4,11.42,32118380,USD
2017-05-02,F,Consumer Discretionary,11.3,11.37,10.9,10.92,99514736,USD
2017-05-03,F,Consumer Discretionary,10.92,11.09,10.91,11.07,57290560,USD
2017-05-04,F,Consumer Discretionary,11.09,11.11,10.96,11.0,34639752,USD
2017-05-05,F,Consumer Discretionary,11.01,11.16,10.98,11.14,28926000,USD
2017-05-08,F,Consumer Discretionary,11.18,11.24,11.09,11.13,35561764,USD
2017-05-09,F,Consumer Discretionary,11.14,11.26,11.1,11.16,44142864,USD
2017-05-10,F,Consumer Discretionary,11.16,11.2,11.03,11.04,34989256,USD
