Date,Name,Type,Open,High,Low,Close,Volume,Currency
2019-03-14,FOX,Communication Services,39.5,40.65,39.32,39.96,279685,USD
2019-03-15,FOX,Communication Services,40.55,41.05,40.5,41.02,164177,USD
2019-03-18,FOX,Communication Services,41.73,41.73,40.47,40.86,581717,USD
2019-03-19,FOX,Communication Services,41.4,41.4,39.05,39.55,2540234,USD
2019-03-20,FOX,Communication Services,39.85,39.85,37.46,37.6,5147908,USD
2019-03-21,FOX,Communication Services,38.0,38.91,37.84,38.88,8865546,USD
2019-03-22,FOX,Communication Services,38.76,38.84,36.55,37.46,4902540,USD
2019-03-25,FOX,Communication Services,37.57,37.81,36.35,36.45,4035118,USD
2019-03-26,FOX,Communication Services,36.46,37.35,36.46,36.71,3350854,USD
2019-03-27,FOX,Communication Services,36.75,37.17,36.06,36.2,2871305,USD
2019-03-28,FOX,Communication Services,36.14,36.47,35.55,35.67,2220583,USD
2019-03-29,FOX,Communication Services,35.88,36.17,35.39,35.88,2679171,USD
2019-04-01,FOX,Communication Services,36.17,36.34,35.94,36.15,4338366,USD
2019-04-02,FOX,Communication Services,36.21,36.46,35.21,35.7,1491180,USD
2019-04-03,FOX,Communication Services,35.78,35.89,35.3,35.5,2831551,USD
2019-04-04,FOX,Communication Services,35.56,36.07,35.39,36.03,2223200,USD
2019-04-05,FOX,Communication Services,35.99,37.09,35.94,36.98,2116209,USD
2019-04-08,FOX,Communication Services,36.94,36.94,36.65,36.85,1928972,USD
2019-04-09,FOX,Communication Services,36.81,37.07,36.59,36.89,1793850,USD
2019-04-10,FOX,Communication Services,36.91,37.05,35.86,35.93,843636,USD
2019-04-11,FOX,Communication Services,35.98,36.5,35.53,36.41,978211,USD
2019-04-12,FOX,Communication Services,36.47,37.08,35.92,36.95,3175196,USD
2019-04-15,FOX,Communication Services,36.91,36.99,36.47,36.98,891220,USD
2019-04-16,FOX,Communication Services,37.11,37.28,36.93,37.21,1869325,USD
2019-04-17,FOX,Communication Services,37.18,38.25,37.18,38.21,2122111,USD
2019-04-18,FOX,Communication Services,38.34,38.37,37.92,37.92,2315174,USD
2019-04-22,FOX,Communication Services,37.84,37.88,37.11,37.24,1665002,USD
2019-04-23,FOX,Communication Services,37.22,37.82,37.07,37.6,5455096,USD
2019-04-24,FOX,Communication Services,37.51,37.76,37.33,37.45,1230821,USD
2019-04-25,FOX,Communication Services,37.48,37.68,37.04,37.64,1422924,USD
2019-04-26,FOX,Communication Services,37.8,37.94,37.4,37.91,2505690,USD
2019-04-29,FOX,Communication Services,37.74,38.91,37.69,38.73,1716829,USD
2019-04-30,FOX,Communication Services,38.59,38.78,37.89,38.5,1809965,USD
2019-05-01,FOX,Communication Services,38.66,38.8,38.09,38.74,1474972,USD
2019-05-02,FOX,Communication Services,38.75,38.8,36.5,36.84,2627742,USD
2019-05-03,FOX,Communication Services,36.86,37.26,36.64,37.02,1229683,USD
2019-05-06,FOX,Communication Services,36.72,37.4,36.47,37.31,1534153,USD
2019-05-07,FOX,Communication Services,36.97,37.22,36.58,36.7,1412324,USD
2019-05-08,FOX,Communication Services,36.56,37.08,36.27,36.82,2108681,USD
2019-05-09,FOX,Communication Services,38.08,38.63,36.95,37.97,3458170,USD
2019-05-10,FOX,Communication Services,37.9,38.25,36.98,38.05,1633502,USD
2019-05-13,FOX,Communication Services,37.48,38.15,37.22,37.5,1598369,USD
2019-05-14,FOX,Communication Services,37.54,38.02,37.41,37.48,1663135,USD
2019-05-15,FOX,Communication Services,37.24,37.48,37.13,37.23,873872,USD
2019-05-16,FOX,Communication Services,37.28,37.6,36.28,36.32,2679971,USD
2019-05-17,FOX,Communication Services,36.08,37.07,36.08,36.83,1084397,USD
2019-05-20,FOX,Communication Services,36.54,37.14,36.54,36.68,996354,USD
2019-05-21,FOX,Communication Services,36.82,37.52,36.64,37.18,1272400,USD
2019-05-22,FOX,Communication Services,37.1,37.29,36.62,36.67,830229,USD
2019-05-23,FOX,Communication Services,36.39,36.63,36.18,36.51,1860127,USD
2019-05-24,FOX,Communication Services,36.51,36.76,36.4,36.45,828141,USD
2019-05-28,FOX,Communication Services,36.59,36.95,36.11,36.16,2384643,USD
2019-05-29,FOX,Communication Services,36.0,36.16,35.28,35.3,1437579,USD
2019-05-30,FOX,Communication Services,35.36,35.7,34.69,34.81,1079668,USD
2019-05-31,FOX,Communication Services,34.55,34.81,34.25,34.71,1736450,USD
2019-06-03,FOX,Communication Services,34.61,34.81,33.32,33.78,2219530,USD
2019-06-04,FOX,Communication Services,34.03,34.81,33.75,34.09,2276227,USD
2019-06-05,FOX,Communication Services,34.24,34.57,33.9,34.02,1346948,USD
2019-06-06,FOX,Communication Services,34.01,34.23,33.6,33.74,1209050,USD
2019-06-07,FOX,Communication Services,33.84,34.05,33.66,33.68,925130,USD
2019-06-10,FOX,Communication Services,33.86,34.04,33.56,33.74,1142811,USD
2019-06-11,FOX,Communication Services,33.77,34.04,33.65,33.83,1201832,USD
2019-06-12,FOX,Communication Services,33.81,34.73,33.8,34.7,2240306,USD
2019-06-13,FOX,Communication Services,34.96,35.12,34.6,34.94,1315426,USD
2019-06-14,FOX,Communication Services,34.99,35.16,34.56,34.96,2414743,USD
2019-06-17,FOX,Communication Services,35.18,35.97,35.04,35.8,2287969,USD
2019-06-18,FOX,Communication Services,36.09,36.72,35.71,35.83,2680862,USD
2019-06-19,FOX,Communication Services,35.88,36.08,35.35,35.74,2011514,USD
2019-06-20,FOX,Communication Services,36.15,36.15,35.31,35.35,1879719,USD
2019-06-21,FOX,Communication Services,35.36,37.0,35.04,35.88,4338334,USD
2019-06-24,FOX,Communication Services,35.72,35.79,35.39,35.54,1621068,USD
2019-06-25,FOX,Communication Services,35.45,35.52,34.9,35.19,1853675,USD
2019-06-26,FOX,Communication Services,35.46,35.89,35.16,35.31,2271879,USD
2019-06-27,FOX,Communication Services,35.36,36.12,35.06,35.75,2880867,USD
2019-06-28,FOX,Communication Services,35.89,36.64,35.67,36.53,4921105,USD
2019-07-01,FOX,Communication Services,36.82,36.87,35.72,35.96,2691314,USD
2019-07-02,FOX,Communication Services,35.96,36.57,35.96,36.53,1431153,USD
2019-07-03,FOX,Communication Services,36.7,36.77,36.31,36.35,918880,USD
2019-07-05,FOX,Communication Services,36.28,36.77,36.07,36.56,1190558,USD
2019-07-08,FOX,Communication Services,36.36,36.94,36.05,36.13,910742,USD
2019-07-09,FOX,Communication Services,35.98,36.29,35.79,36.01,1661275,USD
2019-07-10,FOX,Communication Services,36.11,36.41,36.03,36.14,1177618,USD
2019-07-11,FOX,Communication Services,36.13,36.37,35.85,36.31,1206502,USD
2019-07-12,FOX,Communication Services,36.32,37.01,36.32,36.96,1582893,USD
2019-07-15,FOX,Communication Services,37.12,37.21,36.61,37.04,1344926,USD
