Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,HFC,Energy,33.21,34.3,32.89,33.57,3075907,USD
2017-01-04,HFC,Energy,34.13,34.78,33.62,34.3,4063523,USD
2017-01-05,HFC,Energy,34.19,34.25,33.29,33.75,3319815,USD
2017-01-06,HFC,Energy,33.78,33.9,31.98,32.01,3791794,USD
2017-01-09,HFC,Energy,31.71,31.75,30.86,30.95,3569887,USD
2017-01-10,HFC,Energy,30.9,31.84,30.67,30.71,3829141,USD
2017-01-11,HFC,Energy,30.73,31.43,30.66,31.05,2231700,USD
2017-01-12,HFC,Energy,31.39,31.53,30.3,30.55,1979659,USD
2017-01-13,HFC,Energy,30.12,30.54,29.98,30.03,2114723,USD
2017-01-17,HFC,Energy,30.33,30.79,29.75,30.05,2223165,USD
2017-01-18,HFC,Energy,29.93,30.41,29.88,30.21,1836803,USD
2017-01-19,HFC,Energy,30.26,30.26,29.6,29.85,2450891,USD
2017-01-20,HFC,Energy,30.28,30.4,29.71,29.98,2020580,USD
2017-01-23,HFC,Energy,29.75,30.03,29.2,29.3,2547915,USD
2017-01-24,HFC,Energy,29.59,30.6,29.37,30.59,3348704,USD
2017-01-25,HFC,Energy,30.66,30.94,29.95,30.86,2520972,USD
2017-01-26,HFC,Energy,30.84,31.0,29.64,29.7,2744637,USD
2017-01-27,HFC,Energy,29.8,29.99,28.96,29.09,3142535,USD
2017-01-30,HFC,Energy,28.98,29.43,28.66,29.39,3152618,USD
2017-01-31,HFC,Energy,29.54,29.59,28.43,28.97,4132043,USD
2017-02-01,HFC,Energy,29.44,29.49,27.85,28.12,3446663,USD
2017-02-02,HFC,Energy,28.24,28.5,27.66,28.17,3668927,USD
2017-02-03,HFC,Energy,28.25,28.66,27.88,28.66,1804577,USD
2017-02-06,HFC,Energy,28.67,29.0,28.44,28.59,1955011,USD
2017-02-07,HFC,Energy,28.75,28.88,28.29,28.43,1646424,USD
2017-02-08,HFC,Energy,28.25,29.59,28.1,29.55,3802329,USD
2017-02-09,HFC,Energy,29.87,30.4,29.75,30.18,2547911,USD
2017-02-10,HFC,Energy,30.49,30.62,29.89,30.15,1648904,USD
2017-02-13,HFC,Energy,29.83,30.12,29.51,29.66,2745119,USD
2017-02-14,HFC,Energy,29.53,29.94,29.21,29.92,1598128,USD
2017-02-15,HFC,Energy,29.84,30.2,29.64,30.15,1983582,USD
2017-02-16,HFC,Energy,30.17,30.33,29.81,30.0,2566277,USD
2017-02-17,HFC,Energy,29.75,29.98,29.5,29.92,1617007,USD
2017-02-21,HFC,Energy,30.09,30.19,29.58,29.99,2349800,USD
2017-02-22,HFC,Energy,29.41,29.55,28.58,28.9,4612823,USD
2017-02-23,HFC,Energy,29.17,29.7,28.96,29.4,3296366,USD
2017-02-24,HFC,Energy,28.82,28.96,28.27,28.94,2677485,USD
2017-02-27,HFC,Energy,28.62,29.07,28.41,28.51,2814898,USD
2017-02-28,HFC,Energy,28.51,29.68,28.45,29.28,7185197,USD
2017-03-01,HFC,Energy,29.6,30.16,29.24,29.38,3905579,USD
2017-03-02,HFC,Energy,29.26,29.29,28.02,28.13,4263322,USD
2017-03-03,HFC,Energy,28.24,28.6,27.96,28.09,2407865,USD
2017-03-06,HFC,Energy,28.01,28.24,27.62,28.21,2023461,USD
2017-03-07,HFC,Energy,28.23,28.44,27.34,27.41,3152045,USD
2017-03-08,HFC,Energy,27.42,27.83,27.19,27.27,4626577,USD
2017-03-09,HFC,Energy,27.15,27.21,26.65,27.01,2978523,USD
2017-03-10,HFC,Energy,27.16,27.49,27.03,27.45,2061119,USD
2017-03-13,HFC,Energy,27.53,28.49,27.53,27.88,2876631,USD
2017-03-14,HFC,Energy,27.57,27.62,27.21,27.59,2196682,USD
2017-03-15,HFC,Energy,27.86,28.36,27.79,28.31,3288709,USD
2017-03-16,HFC,Energy,28.49,28.74,28.21,28.5,3009832,USD
2017-03-17,HFC,Energy,28.59,28.68,28.16,28.28,4263019,USD
2017-03-20,HFC,Energy,28.21,28.62,27.9,28.54,4222758,USD
2017-03-21,HFC,Energy,28.5,28.59,27.42,27.52,3223620,USD
2017-03-22,HFC,Energy,27.38,27.75,27.13,27.53,2471376,USD
2017-03-23,HFC,Energy,27.56,27.68,27.01,27.04,3182598,USD
2017-03-24,HFC,Energy,27.18,27.25,26.64,26.65,2839023,USD
2017-03-27,HFC,Energy,26.46,27.0,26.23,26.61,2728935,USD
2017-03-28,HFC,Energy,26.7,27.0,26.33,26.8,4433308,USD
2017-03-29,HFC,Energy,27.04,28.55,26.97,28.47,5131579,USD
2017-03-30,HFC,Energy,28.45,28.6,28.08,28.1,4263307,USD
2017-03-31,HFC,Energy,28.02,28.43,28.02,28.34,2594176,USD
2017-04-03,HFC,Energy,28.3,28.32,27.34,27.71,3140111,USD
2017-04-04,HFC,Energy,27.71,28.05,27.51,27.77,2124456,USD
