Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,JNJ,Health Care,115.78,116.0,115.23,115.84,5953048,USD
2017-01-04,JNJ,Health Care,115.5,116.23,115.31,115.65,5828946,USD
2017-01-05,JNJ,Health Care,116.0,116.97,115.44,116.86,6217214,USD
2017-01-06,JNJ,Health Care,116.67,117.0,115.76,116.3,5221381,USD
2017-01-09,JNJ,Health Care,116.35,116.61,115.89,116.28,5457539,USD
2017-01-10,JNJ,Health Care,116.03,117.0,115.87,116.16,5312812,USD
2017-01-11,JNJ,Health Care,116.08,116.25,114.02,114.73,8887197,USD
2017-01-12,JNJ,Health Care,114.27,114.73,113.37,114.62,6627250,USD
2017-01-13,JNJ,Health Care,114.94,115.02,114.44,114.6,4935188,USD
2017-01-17,JNJ,Health Care,113.94,115.05,113.67,114.87,6255447,USD
2017-01-18,JNJ,Health Care,114.94,115.1,114.41,114.7,5014570,USD
2017-01-19,JNJ,Health Care,114.68,114.9,113.92,114.2,5540831,USD
2017-01-20,JNJ,Health Care,114.49,115.03,114.08,114.15,7502425,USD
2017-01-23,JNJ,Health Care,114.51,114.77,113.8,113.91,7989760,USD
2017-01-24,JNJ,Health Care,112.91,113.3,111.15,111.76,12450307,USD
2017-01-25,JNJ,Health Care,111.93,112.8,110.76,112.8,9385502,USD
2017-01-26,JNJ,Health Care,112.0,112.84,111.6,111.84,10164341,USD
2017-01-27,JNJ,Health Care,112.0,113.54,111.9,113.38,8886070,USD
2017-01-30,JNJ,Health Care,113.4,113.6,112.85,113.13,6969430,USD
2017-01-31,JNJ,Health Care,112.79,113.4,112.43,113.25,8713408,USD
2017-02-01,JNJ,Health Care,112.48,113.32,112.47,113.23,7082322,USD
2017-02-02,JNJ,Health Care,112.82,113.62,112.77,113.57,7826308,USD
2017-02-03,JNJ,Health Care,113.5,113.66,112.66,113.64,7267569,USD
2017-02-06,JNJ,Health Care,113.46,113.59,112.62,113.4,6178433,USD
2017-02-07,JNJ,Health Care,113.6,113.62,113.05,113.48,5507915,USD
2017-02-08,JNJ,Health Care,113.3,113.69,113.15,113.4,5271951,USD
2017-02-09,JNJ,Health Care,113.47,114.65,113.4,114.08,5854606,USD
2017-02-10,JNJ,Health Care,114.32,115.99,114.23,115.24,6438536,USD
2017-02-13,JNJ,Health Care,115.28,116.12,115.22,115.88,5710779,USD
2017-02-14,JNJ,Health Care,115.44,116.4,115.32,116.36,5539136,USD
2017-02-15,JNJ,Health Care,115.9,117.46,115.59,117.2,5979679,USD
2017-02-16,JNJ,Health Care,117.0,118.28,117.0,118.08,7119291,USD
2017-02-17,JNJ,Health Care,118.19,118.9,118.05,118.86,8691397,USD
2017-02-21,JNJ,Health Care,118.4,119.89,118.32,119.66,8595110,USD
2017-02-22,JNJ,Health Care,119.28,119.77,119.25,119.52,5103903,USD
2017-02-23,JNJ,Health Care,119.52,121.9,119.48,121.7,9980945,USD
2017-02-24,JNJ,Health Care,121.5,122.74,120.9,122.73,10834986,USD
2017-02-27,JNJ,Health Care,122.13,122.88,122.1,122.4,5946157,USD
2017-02-28,JNJ,Health Care,122.01,122.65,121.94,122.21,8885513,USD
2017-03-01,JNJ,Health Care,122.49,124.45,122.42,123.86,9393869,USD
2017-03-02,JNJ,Health Care,123.75,124.36,123.02,123.63,6950220,USD
2017-03-03,JNJ,Health Care,123.41,123.93,123.23,123.79,5593811,USD
2017-03-06,JNJ,Health Care,123.01,124.43,122.6,123.71,6670681,USD
2017-03-07,JNJ,Health Care,122.58,124.46,122.39,123.83,6643988,USD
2017-03-08,JNJ,Health Care,123.75,124.68,123.5,124.1,7909858,USD
2017-03-09,JNJ,Health Care,124.58,126.21,124.17,125.95,8571147,USD
2017-03-10,JNJ,Health Care,126.04,126.49,125.54,126.21,7395375,USD
2017-03-13,JNJ,Health Care,125.83,126.95,125.79,126.68,7162476,USD
2017-03-14,JNJ,Health Care,126.86,127.75,126.77,127.05,7679707,USD
2017-03-15,JNJ,Health Care,127.05,129.0,126.6,128.96,8360637,USD
2017-03-16,JNJ,Health Care,128.44,128.7,127.77,128.46,7610720,USD
2017-03-17,JNJ,Health Care,128.45,128.94,127.95,128.06,13300756,USD
2017-03-20,JNJ,Health Care,128.04,128.42,127.97,128.07,5827497,USD
2017-03-21,JNJ,Health Care,128.38,128.45,127.14,127.25,7578634,USD
2017-03-22,JNJ,Health Care,127.05,127.65,126.21,126.26,10272668,USD
2017-03-23,JNJ,Health Care,126.1,127.0,125.66,125.9,8508073,USD
2017-03-24,JNJ,Health Care,125.86,126.36,125.13,125.48,6490304,USD
2017-03-27,JNJ,Health Care,125.16,126.14,125.15,125.8,5004285,USD
2017-03-28,JNJ,Health Care,125.62,125.78,124.78,125.66,5287559,USD
2017-03-29,JNJ,Health Care,125.05,125.33,124.36,124.92,3971828,USD
2017-03-30,JNJ,Health Care,124.74,125.43,124.28,124.66,4711693,USD
2017-03-31,JNJ,Health Care,124.11,124.83,124.03,124.55,5657560,USD
2017-04-03,JNJ,Health Care,124.73,125.31,124.28,124.69,4956532,USD
2017-04-04,JNJ,Health Care,124.51,124.77,124.22,124.68,5358474,USD
2017-04-05,JNJ,Health Care,124.72,125.6,124.41,124.8,5646251,USD
2017-04-06,JNJ,Health Care,124.85,125.46,124.5,125.05,4324385,USD
2017-04-07,JNJ,Health Care,125.12,125.47,124.83,124.92,3615126,USD
2017-04-10,JNJ,Health Care,124.87,124.95,124.23,124.34,4594234,USD
2017-04-11,JNJ,Health Care,124.26,124.79,123.95,124.22,4161540,USD
2017-04-12,JNJ,Health Care,124.54,125.46,124.36,125.4,5556604,USD
2017-04-13,JNJ,Health Care,125.13,125.65,124.96,124.99,5396539,USD
2017-04-17,JNJ,Health Care,125.02,125.81,124.93,125.72,5367465,USD
2017-04-18,JNJ,Health Care,123.18,123.37,120.95,121.82,13485682,USD
2017-04-19,JNJ,Health Care,122.1,122.28,121.11,121.37,6993098,USD
2017-04-20,JNJ,Health Care,121.86,122.15,121.35,121.87,6330136,USD
2017-04-21,JNJ,Health Care,121.78,122.04,121.54,121.76,6021721,USD
2017-04-24,JNJ,Health Care,122.52,123.21,122.15,122.89,5679021,USD
2017-04-25,JNJ,Health Care,123.34,123.75,123.01,123.43,5089987,USD
2017-04-26,JNJ,Health Care,123.79,124.26,123.48,123.51,5021839,USD
2017-04-27,JNJ,Health Care,123.58,124.31,123.4,123.74,4225165,USD
2017-04-28,JNJ,Health Care,123.85,123.9,123.13,123.47,4381766,USD
2017-05-01,JNJ,Health Care,123.4,123.78,123.0,123.34,4556360,USD
2017-05-02,JNJ,Health Care,123.52,123.74,122.89,123.7,4881641,USD
2017-05-03,JNJ,Health Care,123.59,123.7,123.04,123.33,3736531,USD
2017-05-04,JNJ,Health Care,123.69,123.95,123.23,123.95,3753701,USD
2017-05-05,JNJ,Health Care,123.8,123.8,122.86,123.51,4139755,USD
2017-05-08,JNJ,Health Care,123.53,123.8,123.02,123.25,3609058,USD
2017-05-09,JNJ,Health Care,123.23,123.47,122.88,123.21,3762488,USD
2017-05-10,JNJ,Health Care,122.91,123.06,122.38,122.81,4237412,USD
2017-05-11,JNJ,Health Care,122.5,123.21,122.34,123.2,4095893,USD
2017-05-12,JNJ,Health Care,123.11,124.1,123.01,123.64,4097060,USD
2017-05-15,JNJ,Health Care,124.41,127.36,124.33,126.99,9854621,USD
2017-05-16,JNJ,Health Care,127.34,128.37,127.06,127.77,7233801,USD
2017-05-17,JNJ,Health Care,126.6,127.89,126.45,126.67,6480802,USD
2017-05-18,JNJ,Health Care,126.46,127.87,125.96,126.97,6571254,USD
2017-05-19,JNJ,Health Care,127.03,127.39,126.44,127.0,6957196,USD
2017-05-22,JNJ,Health Care,126.63,127.65,126.63,127.26,4858199,USD
2017-05-23,JNJ,Health Care,127.31,128.15,127.31,127.52,3973025,USD
2017-05-24,JNJ,Health Care,127.79,128.0,127.29,127.51,3968185,USD
2017-05-25,JNJ,Health Care,126.74,127.62,126.33,127.53,5294263,USD
2017-05-26,JNJ,Health Care,127.23,127.67,126.83,126.92,4005234,USD
2017-05-30,JNJ,Health Care,126.7,127.39,126.19,127.11,3665353,USD
2017-05-31,JNJ,Health Care,127.35,128.8,127.35,128.25,8813511,USD
2017-06-01,JNJ,Health Care,128.32,128.78,128.12,128.78,5790899,USD
2017-06-02,JNJ,Health Care,129.05,130.14,128.83,130.08,6562557,USD
2017-06-05,JNJ,Health Care,129.97,130.7,129.8,130.36,4634663,USD
2017-06-06,JNJ,Health Care,130.18,131.33,130.03,130.83,5619093,USD
2017-06-07,JNJ,Health Care,131.0,131.48,130.58,130.75,5765471,USD
2017-06-08,JNJ,Health Care,131.0,131.4,129.96,130.55,8101669,USD
2017-06-09,JNJ,Health Care,130.37,131.7,130.31,131.53,5993031,USD
2017-06-12,JNJ,Health Care,131.64,132.04,131.09,131.82,8020951,USD
2017-06-13,JNJ,Health Care,131.75,132.73,131.4,132.02,5733817,USD
