Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,NFLX,Communication Services,124.96,128.19,124.31,127.49,9437856,USD
2017-01-04,NFLX,Communication Services,127.49,130.17,126.55,129.41,7843559,USD
2017-01-05,NFLX,Communication Services,129.22,132.75,128.9,131.81,10185516,USD
2017-01-06,NFLX,Communication Services,132.08,133.88,129.81,131.07,10657878,USD
2017-01-09,NFLX,Communication Services,131.48,131.99,129.89,130.95,5771835,USD
2017-01-10,NFLX,Communication Services,131.27,132.22,129.29,129.89,5985809,USD
2017-01-11,NFLX,Communication Services,130.91,131.5,129.25,130.5,5615061,USD
2017-01-12,NFLX,Communication Services,130.63,130.85,128.5,129.18,5388880,USD
2017-01-13,NFLX,Communication Services,131.15,133.93,130.58,133.7,10515015,USD
2017-01-17,NFLX,Communication Services,135.04,135.4,132.09,132.89,12220202,USD
2017-01-18,NFLX,Communication Services,133.21,133.65,131.06,133.26,16168617,USD
2017-01-19,NFLX,Communication Services,142.01,143.46,138.25,138.41,23203440,USD
2017-01-20,NFLX,Communication Services,139.36,140.79,137.66,138.6,9497394,USD
2017-01-23,NFLX,Communication Services,138.65,139.49,137.31,137.39,7433896,USD
2017-01-24,NFLX,Communication Services,138.11,140.93,137.03,140.11,7754673,USD
2017-01-25,NFLX,Communication Services,140.8,141.39,139.05,139.52,7612888,USD
2017-01-26,NFLX,Communication Services,140.45,141.21,138.51,138.96,6038313,USD
2017-01-27,NFLX,Communication Services,139.46,142.49,139.0,142.45,8323866,USD
2017-01-30,NFLX,Communication Services,141.77,141.97,138.8,141.22,8122481,USD
2017-01-31,NFLX,Communication Services,140.55,141.83,139.7,140.71,4411631,USD
2017-02-01,NFLX,Communication Services,141.2,142.41,139.3,140.78,6033422,USD
2017-02-02,NFLX,Communication Services,140.61,141.04,139.05,139.2,3462370,USD
2017-02-03,NFLX,Communication Services,139.51,140.64,139.1,140.25,3512568,USD
2017-02-06,NFLX,Communication Services,140.0,141.0,139.16,140.97,3552066,USD
