Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,PKG,Materials,85.16,85.9,84.01,85.0,1053646,USD
2017-01-04,PKG,Materials,85.44,86.44,85.05,86.37,925849,USD
2017-01-05,PKG,Materials,86.37,87.04,84.68,85.33,605185,USD
2017-01-06,PKG,Materials,85.37,87.45,85.15,87.2,773456,USD
2017-01-09,PKG,Materials,86.9,88.47,86.34,87.77,1083893,USD
2017-01-10,PKG,Materials,87.7,88.58,87.36,87.98,861677,USD
2017-01-11,PKG,Materials,88.06,89.28,87.88,88.52,566231,USD
2017-01-12,PKG,Materials,88.1,88.8,85.99,86.88,654448,USD
2017-01-13,PKG,Materials,86.96,88.02,86.61,87.22,438779,USD
2017-01-17,PKG,Materials,86.82,86.82,85.4,85.67,661858,USD
2017-01-18,PKG,Materials,85.83,86.92,85.37,86.66,561750,USD
2017-01-19,PKG,Materials,86.7,87.62,85.36,85.76,410238,USD
2017-01-20,PKG,Materials,86.17,86.97,85.76,86.05,739115,USD
2017-01-23,PKG,Materials,86.44,88.46,86.41,88.33,669016,USD
2017-01-24,PKG,Materials,88.94,92.27,88.82,92.08,1358509,USD
2017-01-25,PKG,Materials,95.5,95.5,93.01,94.7,1152529,USD
2017-01-26,PKG,Materials,94.63,94.94,93.27,94.02,878552,USD
2017-01-27,PKG,Materials,94.3,94.69,93.33,93.58,713233,USD
2017-01-30,PKG,Materials,93.5,93.5,91.48,91.82,1286440,USD
2017-01-31,PKG,Materials,94.83,96.87,90.93,92.18,2027667,USD
2017-02-01,PKG,Materials,91.97,93.62,91.05,93.1,1190258,USD
2017-02-02,PKG,Materials,92.87,93.45,91.07,93.37,959318,USD
2017-02-03,PKG,Materials,94.25,94.95,93.71,94.22,723452,USD
2017-02-06,PKG,Materials,92.6,94.43,89.83,94.2,1201808,USD
2017-02-07,PKG,Materials,94.14,96.54,93.85,95.08,1119534,USD
2017-02-08,PKG,Materials,95.09,95.37,90.95,94.18,3162136,USD
2017-02-09,PKG,Materials,93.96,93.96,91.4,93.75,1159852,USD
2017-02-10,PKG,Materials,93.84,94.5,92.76,94.09,588981,USD
2017-02-13,PKG,Materials,94.43,96.04,93.7,94.87,1000536,USD
2017-02-14,PKG,Materials,94.42,95.39,94.27,95.14,426373,USD
2017-02-15,PKG,Materials,95.43,96.13,95.25,95.46,704554,USD
2017-02-16,PKG,Materials,95.93,96.73,95.58,96.62,778909,USD
2017-02-17,PKG,Materials,96.04,96.59,94.43,95.26,786351,USD
2017-02-21,PKG,Materials,95.2,96.0,94.89,95.81,722761,USD
2017-02-22,PKG,Materials,95.39,95.64,93.65,94.0,1246061,USD
2017-02-23,PKG,Materials,94.8,95.22,93.35,93.99,783293,USD
2017-02-24,PKG,Materials,93.68,94.15,92.94,93.45,614803,USD
2017-02-27,PKG,Materials,93.45,94.19,93.15,93.66,706180,USD
2017-02-28,PKG,Materials,93.42,93.99,92.18,92.43,971606,USD
