Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,PM,Consumer Staples,91.79,92.0,90.92,91.23,5020899,USD
2017-01-04,PM,Consumer Staples,90.53,91.12,90.12,90.42,6694960,USD
2017-01-05,PM,Consumer Staples,90.69,91.75,90.53,91.13,4840145,USD
2017-01-06,PM,Consumer Staples,91.39,91.96,90.73,91.84,3826077,USD
2017-01-09,PM,Consumer Staples,91.09,91.44,90.83,91.31,3529324,USD
2017-01-10,PM,Consumer Staples,91.66,91.66,90.31,90.52,4203360,USD
2017-01-11,PM,Consumer Staples,90.65,90.96,90.33,90.44,3603539,USD
2017-01-12,PM,Consumer Staples,90.45,90.86,90.25,90.51,3000708,USD
2017-01-13,PM,Consumer Staples,90.42,90.7,89.97,90.4,3054565,USD
2017-01-17,PM,Consumer Staples,90.63,92.56,90.15,92.36,6363309,USD
2017-01-18,PM,Consumer Staples,92.6,93.52,92.54,93.49,5236822,USD
2017-01-19,PM,Consumer Staples,93.36,93.97,93.23,93.85,5563269,USD
2017-01-20,PM,Consumer Staples,94.13,94.68,94.07,94.57,5628698,USD
2017-01-23,PM,Consumer Staples,94.61,94.81,94.32,94.76,3350306,USD
2017-01-24,PM,Consumer Staples,94.92,95.94,94.88,95.78,4945315,USD
2017-01-25,PM,Consumer Staples,95.67,96.97,95.49,96.39,5352985,USD
2017-01-26,PM,Consumer Staples,96.56,96.89,96.26,96.36,3524600,USD
2017-01-27,PM,Consumer Staples,96.58,96.84,95.83,96.32,3055309,USD
2017-01-30,PM,Consumer Staples,96.51,96.52,95.63,95.96,3403157,USD
2017-01-31,PM,Consumer Staples,96.11,96.39,95.75,96.13,4173356,USD
2017-02-01,PM,Consumer Staples,95.61,97.0,95.2,95.95,5264332,USD
2017-02-02,PM,Consumer Staples,97.93,99.32,97.25,98.84,6169575,USD
2017-02-03,PM,Consumer Staples,99.18,101.43,99.1,101.11,6655181,USD
2017-02-06,PM,Consumer Staples,100.83,100.84,99.92,100.0,5905702,USD
2017-02-07,PM,Consumer Staples,100.0,101.78,99.94,101.63,5450109,USD
2017-02-08,PM,Consumer Staples,101.45,102.99,101.39,102.63,4881531,USD
2017-02-09,PM,Consumer Staples,102.33,102.91,101.73,102.77,3125812,USD
2017-02-10,PM,Consumer Staples,102.32,102.84,101.78,102.63,3412676,USD
2017-02-13,PM,Consumer Staples,102.81,103.13,102.2,102.73,2886517,USD
2017-02-14,PM,Consumer Staples,102.67,102.89,101.79,102.58,3311851,USD
2017-02-15,PM,Consumer Staples,102.29,103.04,101.77,102.93,3395970,USD
2017-02-16,PM,Consumer Staples,102.9,103.13,102.31,102.99,4888558,USD
2017-02-17,PM,Consumer Staples,102.93,103.73,102.77,103.66,5092977,USD
2017-02-21,PM,Consumer Staples,103.37,104.75,103.05,104.56,4570234,USD
2017-02-22,PM,Consumer Staples,104.49,104.87,103.8,104.53,3660478,USD
2017-02-23,PM,Consumer Staples,104.95,106.67,104.76,106.52,4286136,USD
2017-02-24,PM,Consumer Staples,106.44,107.77,105.8,107.72,5549728,USD
2017-02-27,PM,Consumer Staples,107.53,108.9,107.23,108.7,5557339,USD
2017-02-28,PM,Consumer Staples,108.31,109.99,108.3,109.35,7336639,USD
2017-03-01,PM,Consumer Staples,109.0,110.3,108.68,110.22,5140681,USD
2017-03-02,PM,Consumer Staples,110.0,110.3,109.52,109.8,4419458,USD
2017-03-03,PM,Consumer Staples,109.61,110.25,109.27,110.21,3725014,USD
2017-03-06,PM,Consumer Staples,109.81,110.17,109.46,109.73,7192096,USD
2017-03-07,PM,Consumer Staples,109.52,110.64,109.5,110.55,3929137,USD
2017-03-08,PM,Consumer Staples,110.19,110.5,109.39,109.72,3681918,USD
2017-03-09,PM,Consumer Staples,109.94,110.5,109.71,110.28,3465860,USD
2017-03-10,PM,Consumer Staples,110.5,110.71,110.1,110.54,5141633,USD
2017-03-13,PM,Consumer Staples,110.67,111.1,110.39,111.02,3166315,USD
2017-03-14,PM,Consumer Staples,110.72,111.38,110.42,110.77,3518645,USD
2017-03-15,PM,Consumer Staples,111.0,112.76,110.96,112.42,3665596,USD
2017-03-16,PM,Consumer Staples,112.8,112.94,112.03,112.7,4002047,USD
2017-03-17,PM,Consumer Staples,113.2,114.46,112.73,113.0,8830954,USD
2017-03-20,PM,Consumer Staples,113.04,114.11,113.0,114.01,5682566,USD
2017-03-21,PM,Consumer Staples,113.3,114.65,113.19,113.49,6947199,USD
2017-03-22,PM,Consumer Staples,113.9,114.1,112.85,113.0,5343115,USD
2017-03-23,PM,Consumer Staples,112.82,113.81,112.68,112.95,4522071,USD
2017-03-24,PM,Consumer Staples,112.32,112.32,110.01,111.79,6601566,USD
2017-03-27,PM,Consumer Staples,111.23,112.57,110.8,112.38,4521639,USD
2017-03-28,PM,Consumer Staples,112.14,112.95,111.59,112.8,4000864,USD
2017-03-29,PM,Consumer Staples,112.74,113.53,112.47,113.4,3613159,USD
2017-03-30,PM,Consumer Staples,113.16,114.06,112.87,113.52,2968113,USD
2017-03-31,PM,Consumer Staples,113.54,113.72,112.87,112.9,3790727,USD
2017-04-03,PM,Consumer Staples,112.91,113.4,112.55,112.91,3333431,USD
2017-04-04,PM,Consumer Staples,113.17,113.67,113.04,113.45,7336774,USD
2017-04-05,PM,Consumer Staples,113.5,114.06,113.06,113.19,4072787,USD
2017-04-06,PM,Consumer Staples,113.38,113.77,112.38,112.59,4358874,USD
2017-04-07,PM,Consumer Staples,112.86,114.02,112.83,113.6,5636945,USD
2017-04-10,PM,Consumer Staples,113.6,113.97,112.83,113.05,4973466,USD
2017-04-11,PM,Consumer Staples,113.48,113.68,113.0,113.42,3587119,USD
2017-04-12,PM,Consumer Staples,113.69,113.95,113.25,113.78,4141751,USD
