Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,WFC,Financials,55.67,56.35,55.46,56.0,22063790,USD
2017-01-04,WFC,Financials,56.16,56.31,55.61,56.05,15036148,USD
2017-01-05,WFC,Financials,55.49,55.82,54.48,55.18,18831628,USD
2017-01-06,WFC,Financials,55.26,55.57,54.7,55.04,18715908,USD
2017-01-09,WFC,Financials,54.68,54.81,54.18,54.24,21794060,USD
2017-01-10,WFC,Financials,54.35,55.18,54.26,54.62,17978220,USD
2017-01-11,WFC,Financials,54.6,54.8,53.72,54.8,21100588,USD
2017-01-12,WFC,Financials,54.65,54.78,53.9,54.5,20566604,USD
2017-01-13,WFC,Financials,55.11,56.2,54.65,55.31,37231592,USD
2017-01-17,WFC,Financials,54.8,54.96,53.58,53.78,26974416,USD
2017-01-18,WFC,Financials,53.78,54.29,53.34,54.27,21186748,USD
2017-01-19,WFC,Financials,54.24,54.77,53.86,54.58,20906892,USD
2017-01-20,WFC,Financials,54.75,55.11,54.62,55.07,24160824,USD
2017-01-23,WFC,Financials,54.71,55.0,54.15,54.25,17227384,USD
2017-01-24,WFC,Financials,54.36,55.07,54.13,54.7,18523328,USD
2017-01-25,WFC,Financials,55.38,56.83,55.28,56.62,32252076,USD
2017-01-26,WFC,Financials,56.61,57.33,56.59,57.18,23769752,USD
2017-01-27,WFC,Financials,57.03,57.11,56.41,56.59,17186210,USD
2017-01-30,WFC,Financials,56.12,56.32,55.75,56.08,15961389,USD
2017-01-31,WFC,Financials,55.98,56.38,55.8,56.33,22409080,USD
2017-02-01,WFC,Financials,56.54,57.07,55.77,55.91,21157698,USD
2017-02-02,WFC,Financials,55.56,55.96,55.4,55.75,13044449,USD
2017-02-03,WFC,Financials,56.88,57.28,56.43,57.27,19879774,USD
2017-02-06,WFC,Financials,57.08,57.41,56.49,56.55,13940158,USD
2017-02-07,WFC,Financials,56.86,57.19,56.27,56.34,14937421,USD
2017-02-08,WFC,Financials,56.21,56.21,55.16,55.63,18592180,USD
2017-02-09,WFC,Financials,55.98,56.77,55.67,56.73,15907818,USD
2017-02-10,WFC,Financials,57.02,57.04,56.66,56.86,12268103,USD
2017-02-13,WFC,Financials,57.07,57.51,56.89,57.08,15325274,USD
2017-02-14,WFC,Financials,57.13,58.0,56.99,57.98,16382857,USD
