Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,XOM,Energy,90.94,91.34,90.15,90.89,10360622,USD
2017-01-04,XOM,Energy,91.12,91.15,89.75,89.89,9434240,USD
2017-01-05,XOM,Energy,90.19,90.3,88.44,88.55,14443183,USD
2017-01-06,XOM,Energy,88.79,88.98,87.82,88.5,16518128,USD
2017-01-09,XOM,Energy,88.22,88.22,86.55,87.04,13762259,USD
2017-01-10,XOM,Energy,87.17,87.31,85.91,85.93,13283083,USD
2017-01-11,XOM,Energy,85.9,86.95,85.86,86.81,11183689,USD
2017-01-12,XOM,Energy,87.27,87.38,86.07,86.34,10407049,USD
2017-01-13,XOM,Energy,86.27,86.68,86.17,86.35,8415603,USD
2017-01-17,XOM,Energy,86.58,87.39,86.25,87.36,13237348,USD
2017-01-18,XOM,Energy,87.06,87.41,86.05,86.28,11831695,USD
2017-01-19,XOM,Energy,85.97,86.1,84.59,84.73,16382903,USD
2017-01-20,XOM,Energy,85.44,85.96,85.05,85.89,18739660,USD
2017-01-23,XOM,Energy,85.68,85.88,84.75,84.97,11433897,USD
2017-01-24,XOM,Energy,84.98,85.47,84.83,85.09,11858111,USD
2017-01-25,XOM,Energy,85.34,85.88,85.25,85.34,9578522,USD
2017-01-26,XOM,Energy,85.69,85.83,85.12,85.6,8779446,USD
2017-01-27,XOM,Energy,85.3,85.75,85.04,85.51,10947882,USD
2017-01-30,XOM,Energy,85.42,85.45,84.17,84.86,12789183,USD
2017-01-31,XOM,Energy,85.04,85.07,83.13,83.89,19128106,USD
2017-02-01,XOM,Energy,84.0,84.16,82.54,82.94,15111832,USD
2017-02-02,XOM,Energy,83.21,83.53,82.55,83.45,12200100,USD
2017-02-03,XOM,Energy,83.7,83.72,82.9,83.54,12746286,USD
2017-02-06,XOM,Energy,83.55,83.65,82.93,83.31,9938198,USD
2017-02-07,XOM,Energy,83.23,83.62,82.45,82.77,11705199,USD
2017-02-08,XOM,Energy,81.99,82.12,81.17,81.48,14006281,USD
2017-02-09,XOM,Energy,81.8,82.05,81.67,81.84,9602988,USD
2017-02-10,XOM,Energy,82.26,82.77,82.13,82.52,8739814,USD
2017-02-13,XOM,Energy,82.77,83.18,82.35,83.0,9071638,USD
2017-02-14,XOM,Energy,82.91,83.1,82.06,82.82,11370525,USD
2017-02-15,XOM,Energy,82.64,83.18,82.46,83.16,11768513,USD
2017-02-16,XOM,Energy,83.12,83.42,82.17,82.3,10614956,USD
2017-02-17,XOM,Energy,82.09,82.19,81.44,81.76,15645973,USD
2017-02-21,XOM,Energy,82.12,82.15,81.3,81.89,16419612,USD
2017-02-22,XOM,Energy,81.65,81.7,80.87,80.93,12917374,USD
2017-02-23,XOM,Energy,81.42,82.22,81.03,81.78,13847038,USD
2017-02-24,XOM,Energy,81.6,81.8,80.76,81.08,11338715,USD
2017-02-27,XOM,Energy,81.13,81.71,80.81,81.54,13465948,USD
2017-02-28,XOM,Energy,81.53,81.99,81.05,81.32,16834164,USD
2017-03-01,XOM,Energy,81.7,83.33,81.7,83.02,17482122,USD
2017-03-02,XOM,Energy,82.8,84.25,82.79,83.3,14170309,USD
2017-03-03,XOM,Energy,83.56,83.6,82.26,82.46,12304096,USD
2017-03-06,XOM,Energy,82.44,82.9,82.33,82.83,9617240,USD
2017-03-07,XOM,Energy,83.11,83.29,82.14,82.52,12711508,USD
2017-03-08,XOM,Energy,82.35,82.38,81.01,81.03,16817744,USD
2017-03-09,XOM,Energy,80.64,81.72,80.31,81.67,14721795,USD
2017-03-10,XOM,Energy,82.44,82.47,81.16,81.61,11355151,USD
2017-03-13,XOM,Energy,81.5,81.94,81.05,81.42,9571361,USD
2017-03-14,XOM,Energy,81.0,81.23,80.44,80.99,11335678,USD
2017-03-15,XOM,Energy,81.35,82.06,81.05,82.0,11970300,USD
2017-03-16,XOM,Energy,82.03,82.2,81.67,82.07,9923804,USD
2017-03-17,XOM,Energy,82.03,82.26,81.82,82.0,18834128,USD
2017-03-20,XOM,Energy,81.72,82.04,81.44,82.0,7700258,USD
2017-03-21,XOM,Energy,82.16,82.35,81.6,81.83,13387665,USD
2017-03-22,XOM,Energy,81.96,82.09,81.43,81.76,11168417,USD
2017-03-23,XOM,Energy,81.63,82.22,81.46,81.86,8927991,USD
2017-03-24,XOM,Energy,82.03,82.03,81.15,81.23,9128489,USD
2017-03-27,XOM,Energy,80.82,81.43,80.79,81.25,8481162,USD
2017-03-28,XOM,Energy,81.32,82.02,80.96,81.84,11028598,USD
2017-03-29,XOM,Energy,81.69,82.28,81.55,82.02,8495457,USD
2017-03-30,XOM,Energy,82.03,83.87,81.94,83.7,44704932,USD
2017-03-31,XOM,Energy,83.26,83.31,81.86,82.01,21750398,USD
2017-04-03,XOM,Energy,82.02,82.31,81.35,82.07,11438652,USD
2017-04-04,XOM,Energy,82.1,82.42,81.33,82.37,9270872,USD
2017-04-05,XOM,Energy,82.85,83.55,82.47,82.53,13809062,USD
2017-04-06,XOM,Energy,82.75,83.21,82.46,83.01,9554910,USD
2017-04-07,XOM,Energy,83.24,83.36,82.68,82.76,8909620,USD
2017-04-10,XOM,Energy,83.12,83.47,82.92,83.13,8885298,USD
2017-04-11,XOM,Energy,83.08,83.17,82.42,82.84,8576521,USD
2017-04-12,XOM,Energy,82.86,83.35,82.7,82.97,9516100,USD
2017-04-13,XOM,Energy,82.72,82.73,81.57,81.69,8667873,USD
2017-04-17,XOM,Energy,81.85,81.97,81.44,81.58,9577168,USD
2017-04-18,XOM,Energy,81.32,81.82,81.03,81.05,8821414,USD
2017-04-19,XOM,Energy,81.17,81.51,80.3,80.49,10764437,USD
2017-04-20,XOM,Energy,80.95,81.74,80.7,81.01,11649051,USD
2017-04-21,XOM,Energy,80.93,81.0,80.47,80.69,9816669,USD
2017-04-24,XOM,Energy,81.28,81.4,80.81,81.11,8729701,USD
2017-04-25,XOM,Energy,81.43,81.93,81.28,81.73,10733813,USD
2017-04-26,XOM,Energy,81.52,82.33,81.39,81.4,9445925,USD
2017-04-27,XOM,Energy,81.07,81.3,80.94,81.26,12385262,USD
2017-04-28,XOM,Energy,82.46,82.49,81.56,81.65,12072169,USD
2017-05-01,XOM,Energy,81.51,82.21,81.48,82.06,8664074,USD
2017-05-02,XOM,Energy,82.14,82.59,81.9,82.05,9102893,USD
2017-05-03,XOM,Energy,81.97,83.07,81.91,82.7,10289047,USD
2017-05-04,XOM,Energy,82.29,82.36,81.4,81.64,16164528,USD
2017-05-05,XOM,Energy,81.63,82.23,81.61,82.02,10213004,USD
2017-05-08,XOM,Energy,82.0,82.94,82.0,82.89,8097077,USD
2017-05-09,XOM,Energy,82.96,83.0,82.16,82.31,8647093,USD
2017-05-10,XOM,Energy,82.12,82.37,81.65,81.91,9520322,USD
2017-05-11,XOM,Energy,82.59,82.71,82.1,82.61,10047312,USD
2017-05-12,XOM,Energy,82.39,82.71,82.25,82.55,7480240,USD
2017-05-15,XOM,Energy,83.0,83.18,82.65,82.8,10881472,USD
2017-05-16,XOM,Energy,82.9,83.23,82.45,82.55,9574192,USD
2017-05-17,XOM,Energy,82.3,83.04,81.96,81.99,11151066,USD
2017-05-18,XOM,Energy,81.77,82.15,81.42,81.75,9905799,USD
2017-05-19,XOM,Energy,82.0,82.09,81.69,81.93,13028511,USD
2017-05-22,XOM,Energy,82.11,82.33,81.93,82.29,9218736,USD
2017-05-23,XOM,Energy,82.32,82.89,82.24,82.58,6857205,USD
2017-05-24,XOM,Energy,82.42,82.54,82.01,82.29,8263795,USD
2017-05-25,XOM,Energy,82.33,82.71,81.52,81.75,12370873,USD
2017-05-26,XOM,Energy,81.61,81.8,80.83,81.55,8227074,USD
2017-05-30,XOM,Energy,81.28,81.34,81.04,81.1,8973580,USD
2017-05-31,XOM,Energy,80.94,80.95,80.47,80.5,13572313,USD
2017-06-01,XOM,Energy,80.37,80.9,80.19,80.7,9884090,USD
2017-06-02,XOM,Energy,80.59,80.68,79.26,79.5,21687304,USD
2017-06-05,XOM,Energy,79.44,80.39,79.4,80.12,11527068,USD
2017-06-06,XOM,Energy,80.3,81.32,80.22,81.21,12208648,USD
2017-06-07,XOM,Energy,81.05,81.4,80.34,80.91,13096541,USD
2017-06-08,XOM,Energy,80.51,81.08,80.49,80.62,11720670,USD
2017-06-09,XOM,Energy,81.15,82.14,80.69,82.13,13553887,USD
2017-06-12,XOM,Energy,82.67,83.69,82.64,82.93,18172938,USD
2017-06-13,XOM,Energy,82.85,83.27,82.57,82.96,12175524,USD
2017-06-14,XOM,Energy,82.81,82.82,81.56,82.07,13713956,USD
