Date,Name,Type,Open,High,Low,Close,Volume,Currency
2017-01-03,S&P500,Index,2251.57,2263.88,2245.13,2257.83,0,USD
2017-01-04,S&P500,Index,2261.6,2272.82,2261.6,2270.75,0,USD
2017-01-05,S&P500,Index,2268.18,2271.5,2260.45,2269.0,0,USD
2017-01-06,S&P500,Index,2271.14,2282.1,2264.06,2276.98,0,USD
2017-01-09,S&P500,Index,2273.59,2275.49,2268.9,2268.9,0,USD
2017-01-10,S&P500,Index,2269.72,2279.27,2265.27,2268.9,0,USD
2017-01-11,S&P500,Index,2268.6,2275.32,2260.83,2275.32,0,USD
2017-01-12,S&P500,Index,2271.14,2271.78,2254.25,2270.44,0,USD
2017-01-13,S&P500,Index,2272.74,2278.68,2271.51,2274.64,0,USD
2017-01-17,S&P500,Index,2269.14,2272.08,2262.81,2267.89,0,USD
2017-01-18,S&P500,Index,2269.14,2272.01,2263.35,2271.89,0,USD
2017-01-19,S&P500,Index,2271.9,2274.33,2258.41,2263.69,0,USD
2017-01-20,S&P500,Index,2269.96,2276.96,2265.01,2271.31,0,USD
2017-01-23,S&P500,Index,2267.78,2271.78,2257.02,2265.2,0,USD
2017-01-24,S&P500,Index,2267.88,2284.63,2266.68,2280.07,0,USD
2017-01-25,S&P500,Index,2288.88,2299.55,2288.88,2298.37,0,USD
2017-01-26,S&P500,Index,2298.63,2300.99,2294.08,2296.68,0,USD
2017-01-27,S&P500,Index,2299.02,2299.02,2291.62,2294.69,0,USD
2017-01-30,S&P500,Index,2286.01,2286.01,2268.04,2280.9,0,USD
2017-01-31,S&P500,Index,2274.02,2279.09,2267.21,2278.87,0,USD
2017-02-01,S&P500,Index,2285.59,2289.14,2272.44,2279.55,0,USD
2017-02-02,S&P500,Index,2276.69,2283.97,2271.65,2280.85,0,USD
2017-02-03,S&P500,Index,2288.54,2298.31,2287.88,2297.42,0,USD
2017-02-06,S&P500,Index,2294.28,2296.18,2288.57,2292.56,0,USD
2017-02-07,S&P500,Index,2295.87,2299.4,2290.16,2293.08,0,USD
2017-02-08,S&P500,Index,2289.55,2295.91,2285.38,2294.67,0,USD
2017-02-09,S&P500,Index,2296.7,2311.08,2296.61,2307.87,0,USD
